# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 13:15:04 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535994905;2195054886;1839104;25740544;0.00;0.00;0.00;7184;100549;430932;402196;135;33;0;0;1865728;25917184;0.00;0.00;0.00;7288;101239;434108;404956;135;33;0;0;1821952;25823488;0.00;0.00;0.00;7117;100873;431960;403492;134;33;0;0;1861888;25772800;0.00;0.00;0.00;7273;100675;431792;402700;136;33;0;0;1868032;25726976;0.00;0.00;0.00;7297;100496;431172;401984;135;33;0;0;1804288;25537536;0.00;0.00;0.00;7048;99756;427216;399024;135;33;0;0;1815808;25370880;0.00;0.00;0.00;7093;99105;424792;396420;103;33;0;0;1854464;25321984;0.00;0.00;0.00;7244;98914;424632;395656;102;33;0;0;1797632;25263616;0.00;0.00;0.00;7022;98686;422832;394744;102;33;0;0;1849856;25242624;0.00;0.00;0.00;7226;98604;423320;394416;102;33;0;0;1852672;25234176;0.00;0.00;0.00;7237;98571;423232;394284;102;33;0;0;1784576;25383168;0.00;0.00;0.00;6971;99153;424496;396612;102;33;0;0;
1535994906;2195341218;2162432;29970944;0.00;0.00;0.00;8447;117074;502084;468296;134;33;0;0;2216704;30640640;0.00;0.00;0.00;8659;119690;513396;478760;135;33;0;0;2215680;31229184;0.00;0.00;0.00;8655;121989;522576;487956;135;33;0;0;2311168;32182272;0.00;0.00;0.00;9028;125712;538960;502848;135;33;0;0;2375936;32927744;0.00;0.00;0.00;9281;128624;551620;514496;134;33;0;0;2372096;33356544;0.00;0.00;0.00;9266;130299;558260;521196;136;33;0;0;2456576;33905920;0.00;0.00;0.00;9596;132445;568164;529780;102;33;0;0;2527232;34458112;0.00;0.00;0.00;9872;134602;577896;538408;102;33;0;0;3054592;42777088;0.00;0.00;0.00;11932;167098;716120;668392;102;33;0;0;3156736;43963904;0.00;0.00;0.00;12331;171734;736260;686936;102;33;0;0;1133250560;928596992;0.47;0.33;0.35;4426760;3627332;32216368;14509328;8316418;5406484;0;0;3239168;45602816;0.00;0.00;0.00;12653;178136;763156;712544;101;33;0;0;
1535994907;2195254706;2201600;30517504;0.00;0.00;0.00;8600;119209;511236;476836;134;33;0;0;2202368;30416128;0.00;0.00;0.00;8603;118813;509664;475252;134;33;0;0;2184960;30862592;0.00;0.00;0.00;8535;120557;516368;482228;134;33;0;0;2211840;30631936;0.00;0.00;0.00;8640;119656;513184;478624;134;33;0;0;2197760;30515456;0.00;0.00;0.00;8585;119201;511144;476804;135;33;0;0;2199552;30810624;0.00;0.00;0.00;8592;120354;515784;481416;135;33;0;0;2222080;30869760;0.00;0.00;0.00;8680;120585;517060;482340;102;33;0;0;2809856;38084352;0.00;0.00;0.00;10976;148767;638972;595068;101;33;0;0;2446592;34646016;0.00;0.00;0.00;9557;135336;579572;541344;101;33;0;0;2494208;34140160;0.00;0.00;0.00;9743;133360;572412;533440;101;33;0;0;2118700288;1679044352;0.44;0.28;0.29;8276173;6558767;59339760;26235068;14821001;9057419;0;0;6373888;89765632;0.00;0.00;0.00;24898;350647;1502180;1402588;101;33;0;0;
1535994911;8780246102;9103104;126418432;0.00;0.00;0.00;35559;493822;2117524;1975288;135;33;0;0;13262336;182492928;0.00;0.00;0.00;51806;712863;3058676;2851452;135;33;0;0;16921088;238668544;0.00;0.00;0.00;66098;932299;3993588;3729196;135;33;0;0;20407296;283430656;0.00;0.00;0.00;79716;1107151;4747468;4428604;134;33;0;0;25468416;351437312;0.00;0.00;0.00;99486;1372802;5889152;5491208;134;33;0;0;28998656;408679680;0.00;0.00;0.00;113276;1596405;6838724;6385620;134;33;0;0;33622272;464751360;0.00;0.00;0.00;131337;1815435;7787088;7261740;101;33;0;0;36907776;503123968;0.00;0.00;0.00;144171;1965328;8437996;7861312;101;33;0;0;40188160;566059008;0.00;0.00;0.00;156985;2211168;9472612;8844672;102;33;0;0;44917248;622033920;0.00;0.00;0.00;175458;2429820;10421112;9719280;101;33;0;0;23235604224;21831950848;0.52;0.27;0.28;90764079;85281058;704180548;341124232;188014919;117228257;0;0;48246784;679960832;0.00;0.00;0.00;188464;2656097;11378244;10624388;101;33;0;0;
1535994943;70235334168;58975488;818805760;0.00;0.00;0.00;230373;3198460;13715332;12793840;134;33;0;0;59641600;820461568;0.00;0.00;0.00;232975;3204928;13751612;12819712;134;33;0;0;58206464;820673536;0.00;0.00;0.00;227369;3205756;13732500;12823024;134;33;0;0;59912960;834340608;0.00;0.00;0.00;234035;3259143;13972712;13036572;134;33;0;0;60027648;827292928;0.00;0.00;0.00;234483;3231613;13864384;12926452;134;33;0;0;58720000;828055552;0.00;0.00;0.00;229375;3234592;13855868;12938368;134;33;0;0;58923008;814247168;0.00;0.00;0.00;230168;3180653;13643284;12722612;101;33;0;0;60186624;821502464;0.00;0.00;0.00;235104;3208994;13776392;12835976;102;33;0;0;57480448;810139136;0.00;0.00;0.00;224533;3164606;13556556;12658424;101;33;0;0;57939968;800005888;0.00;0.00;0.00;226328;3125023;13405404;12500092;101;33;0;0;26906539008;26557432832;0.53;0.27;0.30;105103668;103739972;835374560;414959888;225540431;142795074;0;0;57358848;808247296;0.00;0.00;0.00;224058;3157216;13525096;12628864;101;33;0;0;
1535994975;70235225768;58931200;818700288;0.00;0.00;0.00;230200;3198048;13712992;12792192;150;33;0;0;59473920;818091264;0.00;0.00;0.00;232320;3195669;13711956;12782676;134;33;0;0;58183936;819555840;0.00;0.00;0.00;227281;3201390;13714684;12805560;134;33;0;0;58956800;820115456;0.00;0.00;0.00;230300;3203576;13735504;12814304;134;33;0;0;59873280;821969152;0.00;0.00;0.00;233880;3210817;13778788;12843268;134;33;0;0;59624704;840733184;0.00;0.00;0.00;232909;3284114;14068092;13136456;134;33;0;0;63456512;877432320;0.00;0.00;0.00;247877;3427470;14701388;13709880;101;33;0;0;66631936;907884032;0.00;0.00;0.00;260281;3546422;15226812;14185688;101;33;0;0;66316288;933349888;0.00;0.00;0.00;259048;3645898;15619784;14583592;101;33;0;0;69945600;968979712;0.00;0.00;0.00;273225;3785077;16233208;15140308;101;33;0;0;34555462144;28362400768;0.51;0.27;0.29;134982274;110790628;983091608;443162512;277143119;152260095;0;0;70256640;990414080;0.00;0.00;0.00;274440;3868805;16572980;15475220;101;33;0;0;
1535995039;140470399902;118712064;1648353536;0.00;0.00;0.00;463719;6438881;27610400;25755524;139;33;0;0;121232640;1665087744;0.00;0.00;0.00;473565;6504249;27911256;26016996;134;33;0;0;119069696;1677971712;0.00;0.00;0.00;465116;6554577;28078772;26218308;134;33;0;0;121932544;1694413568;0.00;0.00;0.00;476299;6618803;28380408;26475212;134;33;0;0;123938816;1710827264;0.00;0.00;0.00;484136;6682919;28668220;26731676;134;33;0;0;121568000;1710978816;0.00;0.00;0.00;474875;6683511;28633544;26734044;134;33;0;0;123773184;1708945920;0.00;0.00;0.00;483489;6675570;28636236;26702280;101;33;0;0;125483520;1709592320;0.00;0.00;0.00;490170;6678095;28673060;26712380;101;33;0;0;117047040;1648837888;0.00;0.00;0.00;457215;6440773;27591952;25763092;101;33;0;0;113134080;1565427200;0.00;0.00;0.00;441930;6114950;26227520;24459800;101;33;0;0;55743469568;36359300864;0.49;0.27;0.31;217747928;142028519;1439105788;568114076;424849526;195277758;0;0;101072896;1422444032;0.00;0.00;0.00;394816;5556422;23804952;22225688;101;33;0;0;
1535995103;140470346400;119440128;1659392512;0.00;0.00;0.00;466563;6482002;27794260;25928008;147;33;0;0;121027840;1664889856;0.00;0.00;0.00;472765;6503476;27904964;26013904;134;33;0;0;117138944;1649729536;0.00;0.00;0.00;457574;6444256;27607320;25777024;134;33;0;0;118714624;1647513856;0.00;0.00;0.00;463729;6435601;27597320;25742404;134;33;0;0;119107584;1640214528;0.00;0.00;0.00;465264;6407088;27489408;25628352;134;33;0;0;115738624;1631472896;0.00;0.00;0.00;452104;6372941;27300180;25491764;134;33;0;0;117770240;1626368768;0.00;0.00;0.00;460040;6353003;27252172;25412012;101;33;0;0;119389696;1626551552;0.00;0.00;0.00;466366;6353717;27280332;25414868;101;33;0;0;119269376;1680197376;0.00;0.00;0.00;465896;6563271;28116668;26253084;101;33;0;0;127120128;1758359296;0.00;0.00;0.00;496563;6868591;29460616;27474364;101;33;0;0;78327872512;44617519104;0.54;0.28;0.31;305968252;174287184;1921021744;697148736;667693228;242135368;0;0;136013824;1916189952;0.00;0.00;0.00;531304;7485117;32065684;29940468;101;33;0;0;
1535995167;140470238722;118116352;1639277568;0.00;0.00;0.00;461392;6403428;27459280;25613712;145;33;0;0;118868480;1635046144;0.00;0.00;0.00;464330;6386899;27404916;25547596;134;33;0;0;117188096;1651342080;0.00;0.00;0.00;457766;6450555;27633284;25802220;134;33;0;0;119319040;1655537920;0.00;0.00;0.00;466090;6466945;27732140;25867780;134;33;0;0;120471808;1660852224;0.00;0.00;0.00;470593;6487704;27833188;25950816;134;33;0;0;118163712;1667240960;0.00;0.00;0.00;461577;6512660;27896948;26050640;134;33;0;0;120903680;1671426048;0.00;0.00;0.00;472280;6529008;28005152;26116032;101;33;0;0;123105024;1674876928;0.00;0.00;0.00;480879;6542488;28093468;26169952;101;33;0;0;118658048;1670933248;0.00;0.00;0.00;463508;6527083;27962364;26108332;101;33;0;0;120890368;1666790144;0.00;0.00;0.00;472228;6510899;27932508;26043596;101;33;0;0;63286690304;41167021824;0.48;0.27;0.30;247213634;160808679;1632089252;643234716;476625161;220500326;0;0;117717248;1660925696;0.00;0.00;0.00;459833;6487991;27791296;25951964;101;33;0;0;
1535995231;140470403008;118496768;1646085376;0.00;0.00;0.00;462878;6430021;27571596;25720084;138;33;0;0;120000256;1646765568;0.00;0.00;0.00;468751;6432678;27605716;25730712;134;33;0;0;116804864;1645860864;0.00;0.00;0.00;456269;6429144;27541652;25716576;134;33;0;0;117316608;1628456704;0.00;0.00;0.00;458268;6361159;27277708;25444636;134;33;0;0;117859840;1625078016;0.00;0.00;0.00;460390;6347961;27233404;25391844;134;33;0;0;115326208;1623373056;0.00;0.00;0.00;450493;6341301;27167176;25365204;134;33;0;0;117179136;1623410432;0.00;0.00;0.00;457731;6341447;27196712;25365788;101;33;0;0;118639872;1617454848;0.00;0.00;0.00;463437;6318183;27126480;25272732;101;33;0;0;109832448;1546441728;0.00;0.00;0.00;429033;6040788;25879284;24163152;101;33;0;0;106635776;1471068160;0.00;0.00;0.00;416546;5746360;24651624;22985440;101;33;0;0;53079841024;34436316672;0.48;0.27;0.31;207343129;134516862;1367439964;538067448;400452326;184670004;0;0;93628928;1321316352;0.00;0.00;0.00;365738;5161392;22108520;20645568;101;33;0;0;
