# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 20:30:24 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536021025;2195027900;1840896;25645312;0.00;0.00;0.00;7191;100177;429472;400708;404;99;0;0;1856512;25691392;0.00;0.00;0.00;7252;100357;430436;401428;404;99;0;0;1830400;25739776;0.00;0.00;0.00;7150;100546;430784;402184;406;99;0;0;1838848;25776640;0.00;0.00;0.00;7183;100690;431492;402760;406;99;0;0;1825536;25764864;0.00;0.00;0.00;7131;100644;431100;402576;406;99;0;0;1862656;25982464;0.00;0.00;0.00;7276;101494;435080;405976;406;99;0;0;2051328;26255104;0.00;0.00;0.00;8013;102559;442288;410236;308;99;0;0;1940992;26236160;0.00;0.00;0.00;7582;102485;440268;409940;308;99;0;0;1889280;26286848;0.00;0.00;0.00;7380;102683;440252;410732;309;99;0;0;1899776;26292992;0.00;0.00;0.00;7421;102707;440512;410828;309;99;0;0;1906176;26377984;0.00;0.00;0.00;7446;103039;441940;412156;309;269;0;0;1866240;26327040;0.00;0.00;0.00;7290;102840;440520;411360;308;99;0;0;
1536021026;2195026574;1863680;25782784;0.00;0.00;0.00;7280;100714;431976;402856;134;33;0;0;1862144;25869824;0.00;0.00;0.00;7274;101054;433312;404216;134;33;0;0;1853696;26024704;0.00;0.00;0.00;7241;101659;435600;406636;134;33;0;0;1874176;26136320;0.00;0.00;0.00;7321;102095;437664;408380;134;33;0;0;1862400;26288640;0.00;0.00;0.00;7275;102690;439860;410760;135;33;0;0;1858048;26271232;0.00;0.00;0.00;7258;102622;439520;410488;134;33;0;0;2007040;26294016;0.00;0.00;0.00;7840;102711;442204;410844;102;33;0;0;1977856;26368000;0.00;0.00;0.00;7726;103000;442904;412000;102;33;0;0;1891584;26430464;0.00;0.00;0.00;7389;103244;442532;412976;101;33;0;0;1975808;26538496;0.00;0.00;0.00;7718;103666;445536;414664;101;33;0;0;2459648;50533376;0.00;0.00;0.00;9608;197396;828016;789584;102;93668;0;0;1900032;26762496;0.00;0.00;0.00;7422;104541;447852;418164;102;33;0;0;
1536021027;2195093516;1841152;25663232;0.00;0.00;0.00;7192;100247;429756;400988;134;33;0;0;1866240;25680896;0.00;0.00;0.00;7290;100316;430424;401264;135;33;0;0;1828352;25584640;0.00;0.00;0.00;7142;99940;428328;399760;134;33;0;0;1818368;25490944;0.00;0.00;0.00;7103;99574;426708;398296;135;33;0;0;1790208;25308928;0.00;0.00;0.00;6993;98863;423424;395452;136;33;0;0;1792000;25230592;0.00;0.00;0.00;7000;98557;422228;394228;136;33;0;0;1932800;25221376;0.00;0.00;0.00;7550;98521;424284;394084;102;33;0;0;1854208;24997888;0.00;0.00;0.00;7243;97648;419564;390592;101;33;0;0;1770752;24985856;0.00;0.00;0.00;6917;97601;418072;390404;102;33;0;0;1835264;25015040;0.00;0.00;0.00;7169;97715;419536;390860;101;33;0;0;1798656;24889344;0.00;0.00;0.00;7026;97224;417000;388896;102;33;0;0;1771264;24832256;0.00;0.00;0.00;6919;97001;415680;388004;103;33;0;0;
1536021028;2195095416;1871872;25723648;0.00;0.00;0.00;7312;100483;431180;401932;270;66;0;0;1838336;25683200;0.00;0.00;0.00;7181;100325;430024;401300;135;33;0;0;1830912;25795328;0.00;0.00;0.00;7152;100763;431660;403052;135;33;0;0;1859328;25935104;0.00;0.00;0.00;7263;101309;434288;405236;134;33;0;0;1841152;26058752;0.00;0.00;0.00;7192;101792;435936;407168;134;33;0;0;1866752;26252032;0.00;0.00;0.00;7292;102547;439356;410188;135;33;0;0;2045440;26550272;0.00;0.00;0.00;7990;103712;446808;414848;102;33;0;0;2003968;26681344;0.00;0.00;0.00;7828;104224;448208;416896;101;33;0;0;1891072;26630400;0.00;0.00;0.00;7387;104025;445648;416100;101;33;0;0;1981440;26709760;0.00;0.00;0.00;7740;104335;448300;417340;102;33;0;0;1938432;26694144;0.00;0.00;0.00;7572;104274;447384;417096;102;33;0;0;1894912;26821632;0.00;0.00;0.00;7402;104772;448696;419088;101;33;0;0;
1536021029;2195039094;1832448;25618944;0.00;0.00;0.25;7158;100074;428928;400296;403;99;0;0;1854208;25584384;0.00;0.00;0.00;7243;99939;428728;399756;537;132;0;0;1817856;25482752;0.00;0.00;0.00;7101;99542;426572;398168;537;132;0;0;1818368;25341184;0.00;0.00;0.00;7103;98989;424368;395956;539;132;0;0;1756928;25136384;0.00;0.00;0.00;6863;98189;420208;392756;539;132;0;0;1789952;25033472;0.00;0.00;0.00;6992;97787;419116;391148;538;132;0;0;1930496;24949504;0.00;0.00;0.00;7541;97459;420000;389836;409;132;0;0;1823744;24689408;0.00;0.00;0.00;7124;96443;414268;385772;409;132;0;0;1762560;24483072;0.00;0.00;0.00;6885;95637;410088;382548;409;132;0;0;1842688;24365568;0.00;0.00;0.00;7198;95178;409504;380712;410;132;0;0;1790208;24230912;0.00;0.00;0.00;6993;94652;406580;378608;410;132;0;0;1707520;24016640;0.00;0.00;0.00;6670;93815;401940;375260;409;132;0;0;
1536021030;2195374890;4603392;64120064;0.00;0.00;0.00;17982;250469;1073804;1001876;268;66;0;0;11450880;157510912;0.00;0.00;0.00;44730;615277;2640028;2461108;268;66;0;0;21682432;304146432;0.00;0.00;0.00;84697;1188072;5091076;4752288;269;66;0;0;31973376;442742272;0.00;0.00;0.00;124896;1729462;7417432;6917848;268;66;0;0;39717632;562614784;0.00;0.00;0.00;155147;2197714;9411444;8790856;268;66;0;0;49377280;696904960;0.00;0.00;0.00;192880;2722285;11660660;10889140;268;66;0;0;63454464;848902656;0.00;0.00;0.00;247869;3316026;14255580;13264104;203;66;0;0;75261696;1006805248;0.00;0.00;0.00;293991;3932833;16907296;15731332;203;66;0;0;82948864;1163889152;0.00;0.00;0.00;324019;4546442;19481844;18185768;203;66;0;0;99914752;1325967360;0.00;0.00;0.00;390292;5179560;22279408;20718240;203;66;0;0;56395599104;37114482944;0.48;0.28;0.28;220295309;144978449;1461095032;579913796;427075465;201202453;0;0;115480576;1626736128;0.00;0.00;0.00;451096;6354438;27222136;25417752;203;66;0;0;
1536021094;140470315472;123321344;1711736320;0.00;0.00;0.00;481724;6686470;28672776;26745880;298;66;0;0;129245184;1775896320;0.00;0.00;0.00;504864;6937095;29767836;27748380;268;66;0;0;132951040;1866584576;0.00;0.00;0.00;519340;7291346;31242744;29165384;268;66;0;0;140486912;1952920832;0.00;0.00;0.00;548777;7628597;32709496;30514388;268;66;0;0;146001920;2064022016;0.00;0.00;0.00;570320;8062586;34531624;32250344;268;66;0;0;153808128;2162857216;0.00;0.00;0.00;600813;8448661;36197896;33794644;268;66;0;0;167487232;2241595648;0.00;0.00;0.00;654247;8756233;37641920;35024932;202;66;0;0;173732864;2325024256;0.00;0.00;0.00;678644;9082126;39043080;36328504;202;66;0;0;180457984;2530487552;0.00;0.00;0.00;704914;9884717;42358524;39538868;202;66;0;0;212883200;2756871936;0.00;0.00;0.00;831575;10769031;46402424;43076124;202;66;0;0;110903031808;72850373376;0.49;0.27;0.29;433214968;284571771;2871146956;1138287084;845614805;392180995;0;0;222789376;3134112256;0.00;0.00;0.00;870271;12242626;52451588;48970504;202;66;0;0;
1536021222;280940209296;228601600;3178130432;0.00;0.00;0.00;892975;12414572;53230188;49658288;1097;264;0;0;220273152;3021040128;0.00;0.00;0.00;860442;11800938;50645520;47203752;1077;264;0;0;198188544;2781401344;0.00;0.00;0.00;774174;10864849;46556092;43459396;1078;264;0;0;184011008;2558212864;0.00;0.00;0.00;718793;9993019;42847248;39972076;1078;264;0;0;164041984;2319633664;0.00;0.00;0.00;640789;9061069;38807432;36244276;1078;264;0;0;148861440;2092327424;0.00;0.00;0.00;581490;8173154;35018576;32692616;1077;264;0;0;142883328;1873395200;0.00;0.00;0.00;558138;7317950;31504352;29271800;810;264;0;0;121767424;1630232576;0.00;0.00;0.00;475654;6368096;27375000;25472384;814;264;0;0;89626368;1258345216;0.00;0.00;0.00;350103;4915411;21062056;19661644;812;264;0;0;68747264;887591936;0.00;0.00;0.00;268544;3467156;14942800;13868624;811;264;0;0;24827373056;10572628480;0.64;0.30;0.52;96981926;41299330;553125024;165197320;267959085;59046557;0;0;13626368;191752192;0.00;0.00;0.00;53228;749032;3209040;2996128;811;264;0;0;
1536021350;280941181500;253259264;3520441856;0.00;0.00;0.00;989294;13751726;58964080;55006904;2032;495;0;0;279779328;3841698560;0.00;0.00;0.00;1092888;15006635;64398092;60026540;2020;495;0;0;289019648;4045753088;0.00;0.00;0.00;1128983;15803723;67730824;63214892;2018;495;0;0;307506176;4276290304;0.00;0.00;0.00;1201196;16704259;71621820;66817036;2017;495;0;0;323914496;4501782016;0.00;0.00;0.00;1265291;17585086;75401508;70340344;2020;495;0;0;336699136;4723354880;0.00;0.00;0.00;1315231;18450605;79063344;73802420;2021;495;0;0;379565824;4945965056;0.00;0.00;0.00;1482679;19320176;83211420;77280704;1528;495;0;0;370620928;4947922688;0.00;0.00;0.00;1447738;19327823;83102244;77311292;1527;495;0;0;352934144;4938867456;0.00;0.00;0.00;1378649;19292451;82684400;77169804;1527;495;0;0;377850112;4955524864;0.00;0.00;0.00;1475977;19357519;83333984;77430076;1525;495;0;0;183380346112;119650198528;0.49;0.28;0.30;716329477;467383588;4734852260;1869534352;1393816004;646247995;0;0;351959296;4942137344;0.00;0.00;0.00;1374841;19305224;82720260;77220896;1529;495;0;0;
1536021478;280941559832;230424064;3201137664;0.00;0.00;0.00;900094;12504444;53618152;50017776;686;165;0;0;220564224;3035096064;0.00;0.00;0.00;861579;11855844;50869692;47423376;670;165;0;0;216539648;3026172672;0.00;0.00;0.00;845858;11820987;50667380;47283948;670;165;0;0;217790464;3028927744;0.00;0.00;0.00;850744;11831749;50729972;47326996;670;165;0;0;212407552;2997368832;0.00;0.00;0.00;829717;11708472;50152756;46833888;670;165;0;0;214366720;3007768832;0.00;0.00;0.00;837370;11749097;50345868;46996388;670;165;0;0;220695040;3023331328;0.00;0.00;0.00;862090;11809888;50687912;47239552;505;165;0;0;242446592;3236595968;0.00;0.00;0.00;947057;12642953;54360040;50571812;505;165;0;0;247651072;3459448320;0.00;0.00;0.00;967387;13513470;57923428;54053880;505;165;0;0;293669120;3851559168;0.00;0.00;0.00;1147145;15045153;64769192;60180612;505;165;0;0;168234477824;103136448768;0.51;0.28;0.30;657165929;402876753;4240170728;1611507012;1349352374;556786420;0;0;329393664;4614585088;0.00;0.00;0.00;1286694;18025723;77249668;72102892;505;165;0;0;
