# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Sep  5 17:06:12 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536181573;2195016020;1996288;25867008;0.00;0.00;0.00;7798;101043;435364;404172;135;33;0;0;1912064;25884928;0.00;0.00;0.00;7469;101113;434328;404452;135;33;0;0;1841152;25947904;0.00;0.00;0.00;7192;101359;434204;405436;136;33;0;0;2131968;26226176;0.00;0.00;0.00;8328;102446;443096;409784;136;33;0;0;1881856;26031616;0.00;0.00;0.00;7351;101686;436148;406744;136;33;0;0;1851136;26040320;0.00;0.00;0.00;7231;101720;435804;406880;135;33;0;0;1877504;26039552;0.00;0.00;0.00;7334;101717;436204;406868;103;33;0;0;2003968;26153728;0.00;0.00;0.00;7828;102163;439964;408652;103;33;0;0;1835520;26046976;0.00;0.00;0.00;7170;101746;435664;406984;103;33;0;0;1889280;26058496;0.00;0.00;0.00;7380;101791;436684;407164;103;33;0;0;1912064;26089984;0.00;0.00;0.00;7469;101914;437532;407656;103;84;0;0;1844480;26055424;0.00;0.00;0.00;7205;101779;435936;407116;103;33;0;0;
1536181574;2195300016;2706176;34587904;0.00;0.00;0.00;10571;135109;582720;540436;134;33;0;0;2573824;35359488;0.00;0.00;0.00;10054;138123;592708;552492;135;33;0;0;3770112;53316608;0.00;0.00;0.00;14727;208268;891980;833072;134;33;0;0;4275456;54571008;0.00;0.00;0.00;16701;213168;919476;852672;134;33;0;0;4036352;55507200;0.00;0.00;0.00;15767;216825;930368;867300;135;33;0;0;3982592;56241920;0.00;0.00;0.00;15557;219695;941008;878780;134;33;0;0;5374208;74252288;0.00;0.00;0.00;20993;290048;1244164;1160192;102;33;0;0;5618944;75530496;0.00;0.00;0.00;21949;295041;1267960;1180164;102;33;0;0;5401088;75995392;0.00;0.00;0.00;21098;296857;1271820;1187428;102;33;0;0;6929920;95554816;0.00;0.00;0.00;27070;373261;1601324;1493044;102;33;0;0;4746837504;3036744192;0.48;0.32;0.32;18542334;11862282;121618464;47449128;35413744;17323385;0;0;12750336;179167232;0.00;0.00;0.00;49806;699872;2998712;2799488;102;33;0;0;
1536181582;17559688038;17320448;225909504;0.00;0.00;0.00;67658;882459;3800468;3529836;134;33;0;0;19738624;270277120;0.00;0.00;0.00;77104;1055770;4531496;4223080;135;33;0;0;21342208;301075712;0.00;0.00;0.00;83368;1176077;5037780;4704308;135;33;0;0;27359232;351062272;0.00;0.00;0.00;106872;1371337;5912836;5485348;134;33;0;0;28646144;393639424;0.00;0.00;0.00;111899;1537654;6598212;6150616;134;33;0;0;31168000;440031232;0.00;0.00;0.00;121750;1718872;7362488;6875488;134;33;0;0;34466560;474623744;0.00;0.00;0.00;134635;1853999;7954536;7415996;101;33;0;0;39010048;524524032;0.00;0.00;0.00;152383;2048922;8805220;8195688;101;33;0;0;40307968;568255744;0.00;0.00;0.00;157453;2219749;9508808;8878996;101;33;0;0;43358464;598124800;0.00;0.00;0.00;169369;2336425;10023176;9345700;101;33;0;0;22963363072;15891096320;0.49;0.28;0.29;89700637;62074595;607100928;248298380;176442401;86249844;0;0;43659520;614668544;0.00;0.00;0.00;170545;2401049;10286376;9604196;101;33;0;0;
1536181614;70236692420;63903744;829554688;0.00;0.00;0.00;249624;3240448;13960288;12961792;136;33;0;0;61004544;828873472;0.00;0.00;0.00;238299;3237787;13904344;12951148;134;33;0;0;58638848;827323648;0.00;0.00;0.00;229058;3231733;13843164;12926932;134;33;0;0;65135872;828913664;0.00;0.00;0.00;254437;3237944;13969524;12951776;134;33;0;0;60294656;830876416;0.00;0.00;0.00;235526;3245611;13924548;12982444;134;33;0;0;59214080;835092224;0.00;0.00;0.00;231305;3262079;13973536;13048316;134;33;0;0;60130560;829037568;0.00;0.00;0.00;234885;3238428;13893252;12953712;101;33;0;0;61793536;830573056;0.00;0.00;0.00;241381;3244426;13943228;12977704;101;33;0;0;59470336;837099008;0.00;0.00;0.00;232306;3269918;14008896;13079672;101;33;0;0;61717760;848960000;0.00;0.00;0.00;241085;3316250;14229340;13265000;101;33;0;0;31531930368;21977185280;0.50;0.28;0.31;123171603;85848380;836079932;343393520;244583908;119101746;0;0;60736000;854788352;0.00;0.00;0.00;237250;3339017;14305068;13356068;101;33;0;0;
1536181646;70235604054;63577344;825592576;0.00;0.00;0.00;248349;3224971;13893280;12899884;142;33;0;0;60250880;821289984;0.00;0.00;0.00;235355;3208164;13774076;12832656;134;33;0;0;58554368;825977856;0.00;0.00;0.00;228728;3226476;13820816;12905904;134;33;0;0;64927744;838041344;0.00;0.00;0.00;253624;3273599;14108892;13094396;134;33;0;0;60563200;832637440;0.00;0.00;0.00;236575;3252490;13956260;13009960;134;33;0;0;58898944;830088448;0.00;0.00;0.00;230074;3242533;13890428;12970132;134;33;0;0;60421376;834457856;0.00;0.00;0.00;236021;3259601;13982488;13038404;101;33;0;0;62209280;838173184;0.00;0.00;0.00;243005;3274114;14068476;13096456;101;33;0;0;59304448;837104128;0.00;0.00;0.00;231658;3269938;14006384;13079752;101;33;0;0;59839232;825375744;0.00;0.00;0.00;233747;3224124;13831484;12896496;101;33;0;0;30131869696;21109665280;0.50;0.28;0.31;117702616;82459630;800648984;329838520;235144063;114185653;0;0;57830912;816904192;0.00;0.00;0.00;225902;3191032;13667736;12764128;101;33;0;0;
1536181678;70235979184;63585024;823692032;0.00;0.00;0.00;248379;3217547;13863704;12870188;139;33;0;0;60259584;821779712;0.00;0.00;0.00;235389;3210077;13781864;12840308;134;33;0;0;57982464;817865472;0.00;0.00;0.00;226494;3194787;13685124;12779148;134;33;0;0;64302592;815725312;0.00;0.00;0.00;251182;3186427;13750436;12745708;134;33;0;0;58943488;811277824;0.00;0.00;0.00;230248;3169054;13597208;12676216;134;33;0;0;57420544;809150464;0.00;0.00;0.00;224299;3160744;13540172;12642976;134;33;0;0;58735616;809635072;0.00;0.00;0.00;229436;3162637;13568292;12650548;101;33;0;0;60714496;812145152;0.00;0.00;0.00;237166;3172442;13638432;12689768;101;33;0;0;57522432;810735104;0.00;0.00;0.00;224697;3166934;13566524;12667736;101;33;0;0;59036672;815059712;0.00;0.00;0.00;230612;3183827;13657756;12735308;101;33;0;0;29968814336;20813060608;0.50;0.28;0.31;117065681;81301018;793466796;325204072;232798677;112521633;0;0;71697408;1009363456;0.00;0.00;0.00;280068;3942826;16891576;15771304;101;33;0;0;
1536181710;70235535732;78420224;1016846336;0.00;0.00;0.00;306329;3972056;17113540;15888224;678;165;0;0;88986624;1211537920;0.00;0.00;0.00;347604;4732570;20320696;18930280;670;165;0;0;99501312;1402644480;0.00;0.00;0.00;388677;5479080;23471028;21916320;670;165;0;0;122502912;1574899456;0.00;0.00;0.00;478527;6151951;26521912;24607804;670;165;0;0;110437120;1519930368;0.00;0.00;0.00;431395;5937228;25474492;23748912;670;165;0;0;104238592;1470393088;0.00;0.00;0.00;407182;5743723;24603620;22974892;670;165;0;0;103024640;1418557184;0.00;0.00;0.00;402440;5541239;23774716;22164956;404;132;0;0;101629440;1367661312;0.00;0.00;0.00;396990;5342427;22957668;21369708;101;33;0;0;93142784;1313148160;0.00;0.00;0.00;363839;5129485;21973296;20517940;304;99;0;0;91293440;1258323456;0.00;0.00;0.00;356615;4915326;21087764;19661304;101;33;0;0;45136537344;30762649344;0.50;0.28;0.30;176314599;120166599;1185924792;480666396;353833783;166814198;0;0;68672768;968866816;0.00;0.00;0.00;268253;3784636;16211556;15138544;101;33;0;0;
1536181774;140470179950;105786112;1421107712;0.00;0.00;0.00;413227;5551202;23857716;22204808;143;33;0;0;85828608;1171472128;0.00;0.00;0.00;335268;4576063;19645324;18304252;134;33;0;0;65923328;929409792;0.00;0.00;0.00;257513;3630507;15552080;14522028;134;33;0;0;56067840;724235520;0.00;0.00;0.00;219015;2829045;12192240;11316180;134;33;0;0;51946752;717748224;0.00;0.00;0.00;202917;2803704;12026484;11214816;134;33;0;0;50905344;717309440;0.00;0.00;0.00;198849;2801990;12003356;11207960;134;33;0;0;52373248;717469184;0.00;0.00;0.00;204583;2802614;12028788;11210456;202;66;0;0;53325568;718400256;0.00;0.00;0.00;208303;2806251;12058216;11225004;506;165;0;0;50882048;716679168;0.00;0.00;0.00;198758;2799528;11993144;11198112;303;99;0;0;51973888;716494336;0.00;0.00;0.00;203023;2798806;12007316;11195224;506;165;0;0;167812615936;4379648000;0.22;0.27;0.54;655518031;17108000;2690504124;68432000;843259100;23294180;0;0;50755840;716103936;0.00;0.00;0.00;198265;2797281;11982184;11189124;505;165;0;0;
1536181838;140470135244;119167488;1642869760;0.00;0.00;0.00;465498;6417460;27531832;25669840;682;165;0;0;120153088;1642816256;0.00;0.00;0.00;469348;6417251;27546396;25669004;672;165;0;0;116380416;1642012928;0.00;0.00;0.00;454611;6414113;27474896;25656452;673;165;0;0;128924416;1651543296;0.00;0.00;0.00;503611;6451341;27819808;25805364;671;165;0;0;118446848;1642389504;0.00;0.00;0.00;462683;6415584;27513068;25662336;672;165;0;0;116379136;1641847808;0.00;0.00;0.00;454606;6413468;27472296;25653872;671;165;0;0;119276800;1641749760;0.00;0.00;0.00;465925;6413085;27516040;25652340;509;165;0;0;122336512;1644549376;0.00;0.00;0.00;477877;6424021;27607592;25696084;506;165;0;0;116513280;1641848576;0.00;0.00;0.00;455130;6413471;27474404;25653884;506;165;0;0;118901248;1641219840;0.00;0.00;0.00;464458;6411015;27501892;25644060;505;165;0;0;439710272512;3456740608;0.18;0.00;0.00;1717618252;13502893;6924484580;54011572;2093638529;7512;0;0;116428800;1641622528;0.00;0.00;0.00;454800;6412588;27469552;25650352;506;165;0;0;
1536181902;140470124634;119065088;1642670848;0.00;0.00;0.00;465098;6416683;27527124;25666732;143;33;0;0;119775488;1642656000;0.00;0.00;0.00;467873;6416625;27537992;25666500;134;33;0;0;116417536;1641939200;0.00;0.00;0.00;454756;6413825;27474324;25655300;134;33;0;0;129380864;1651825664;0.00;0.00;0.00;505394;6452444;27831352;25809776;135;33;0;0;118552576;1642281472;0.00;0.00;0.00;463096;6415162;27513032;25660648;135;33;0;0;116364288;1641509376;0.00;0.00;0.00;454548;6412146;27466776;25648584;136;33;0;0;119160832;1641085696;0.00;0.00;0.00;465472;6410491;27503852;25641964;102;33;0;0;122907904;1644375296;0.00;0.00;0.00;480109;6423341;27613800;25693364;102;33;0;0;116421632;1640978176;0.00;0.00;0.00;454772;6410071;27459372;25640284;102;33;0;0;118750720;1640314112;0.00;0.00;0.00;463870;6407477;27485388;25629908;103;33;0;0;437978467328;3446637312;0.37;0.00;0.00;1710853388;13463427;6897267260;53853708;2715838959;5012;0;0;116532736;1640604160;0.00;0.00;0.00;455206;6408610;27455264;25634440;102;33;0;0;
