# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 20:39:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536107999;2195102298;1861376;25823232;0.00;0.00;0.00;7271;100872;432572;403488;135;352;0;0;1894400;25881088;0.00;0.00;0.00;7400;101098;433992;404392;135;33;0;0;1858560;25918720;0.00;0.00;0.00;7260;101245;434020;404980;134;33;0;0;1834496;25776640;0.00;0.00;0.00;7166;100690;431424;402760;135;33;0;0;1821184;25706240;0.00;0.00;0.00;7114;100415;430116;401660;136;33;0;0;1818112;25636864;0.00;0.00;0.00;7102;100144;428984;400576;135;33;0;0;1855488;25602816;0.00;0.00;0.67;7248;100011;429036;400044;102;33;0;0;1947136;25657344;0.00;0.00;0.00;7606;100224;431320;400896;102;33;0;0;1848832;25586688;0.00;0.00;0.00;7222;99948;428680;399792;103;33;0;0;2018560;25707008;0.00;0.00;0.00;7885;100418;433212;401672;103;33;0;0;1870336;25582592;0.00;0.00;0.00;7306;99932;428952;399728;103;33;0;0;1821696;25562368;0.00;0.00;0.00;7116;99853;427876;399412;103;33;0;0;
1536108000;2195154544;2302976;33088000;0.00;0.00;0.00;8996;129250;552984;517000;134;8192;0;0;2299648;31717120;0.00;0.00;0.00;8983;123895;531512;495580;135;33;0;0;2328576;32621312;0.00;0.00;0.00;9096;127427;546092;509708;135;33;0;0;2400768;33397760;0.00;0.00;0.00;9378;130460;559352;521840;134;33;0;0;2478592;34934784;0.00;0.00;0.00;9682;136464;584584;545856;134;33;0;0;3633920;50953216;0.00;0.00;0.00;14195;199036;852924;796144;135;33;0;0;3766528;51997952;0.00;0.00;0.00;14713;203117;871320;812468;103;33;0;0;3963904;53192192;0.00;0.00;0.00;15484;207782;893064;831128;103;33;0;0;3887360;54124800;0.00;0.00;0.00;15185;211425;906440;845700;103;33;0;0;4308224;55311616;0.00;0.00;0.00;16829;216061;931560;864244;102;33;0;0;1657265920;977026048;0.49;0.34;0.36;6473695;3816508;41160812;15266032;12645461;5804538;0;0;4095488;57400320;0.00;0.00;0.00;15998;224220;960872;896880;102;33;0;0;
1536108002;4393779454;3442432;48569856;0.00;0.00;0.00;13447;189726;812692;758904;134;7005;0;0;3434496;46866432;0.00;0.00;0.00;13416;183072;785952;732288;134;33;0;0;3350016;46625280;0.00;0.00;0.00;13086;182130;780864;728520;134;33;0;0;3336704;46537216;0.00;0.00;0.00;13034;181786;779280;727144;134;33;0;0;3215872;45575168;0.00;0.00;0.00;12562;178028;762360;712112;134;33;0;0;3289088;46252288;0.00;0.00;0.00;12848;180673;774084;722692;134;33;0;0;3335424;46098944;0.00;0.00;0.00;13029;180074;772412;720296;102;33;0;0;3474432;46149376;0.00;0.00;0.00;13572;180271;775372;721084;102;33;0;0;3259648;45811456;0.00;0.00;0.00;12733;178951;766736;715804;101;33;0;0;3599616;46189824;0.00;0.00;0.00;14061;180429;777960;721716;101;33;0;0;1842692096;1108633088;0.47;0.30;0.34;7198016;4330598;46114456;17322392;13635101;6222970;0;0;4513792;63107840;0.00;0.00;0.00;17632;246515;1056588;986060;102;33;0;0;
1536108004;4390654422;5967360;83510272;0.00;0.00;0.00;23310;326212;1398088;1304848;134;6719;0;0;8829696;121406720;0.00;0.00;0.00;34491;474245;2034944;1896980;134;33;0;0;12432640;173486592;0.00;0.00;0.00;48565;677682;2904988;2710728;134;33;0;0;16101888;222594304;0.00;0.00;0.00;62898;869509;3729628;3478036;134;33;0;0;19256320;271191296;0.00;0.00;0.00;75220;1059341;4538244;4237364;134;33;0;0;21690880;304952320;0.00;0.00;0.00;84730;1191220;5103800;4764880;134;33;0;0;25745664;351163392;0.00;0.00;0.00;100569;1371732;5889204;5486928;101;33;0;0;29824256;394836736;0.00;0.00;0.00;116501;1542331;6635328;6169324;101;33;0;0;31754240;443532032;0.00;0.00;0.00;124040;1732547;7426348;6930188;102;33;0;0;38442752;496646656;0.00;0.00;0.00;150167;1940026;8360772;7760104;101;33;0;0;20784606464;13496004352;0.49;0.29;0.29;81189869;52718767;535634544;210875068;158303744;73910330;0;0;40923904;573696512;0.00;0.00;0.00;159859;2241002;9603444;8964008;101;33;0;0;
1536108036;70235845782;59816192;827583744;0.00;0.00;0.00;233657;3232749;13865624;12930996;719;19203;0;0;60459008;832199168;0.00;0.00;0.00;236168;3250778;13947784;13003112;134;33;0;0;59154432;825455616;0.00;0.00;0.00;231072;3224436;13822032;12897744;134;33;0;0;59494144;827909376;0.00;0.00;0.00;232399;3234021;13865680;12936084;134;33;0;0;70549504;825610496;0.00;0.00;0.00;275584;3225041;14002500;12900164;134;33;0;0;58596864;821673216;0.00;0.00;0.00;228894;3209661;13754220;12838644;134;33;0;0;59979776;819235328;0.00;0.00;0.00;234296;3200138;13737736;12800552;101;33;0;0;61986816;825568000;0.00;0.00;0.00;242136;3224875;13868044;12899500;101;33;0;0;59185664;826274048;0.00;0.00;0.00;231194;3227633;13835308;12910532;101;33;0;0;64454400;831133952;0.00;0.00;0.00;251775;3246617;13993568;12986468;101;33;0;0;30917616384;20484716032;0.49;0.28;0.31;120771939;80018422;803161444;320073688;238345582;111695056;0;0;59394304;831188480;0.00;0.00;0.00;232009;3246830;13915356;12987320;101;33;0;0;
1536108068;70235548008;59845888;824122112;0.00;0.00;0.00;233773;3219227;13812000;12876908;1685;4751;0;0;60243968;827615744;0.00;0.00;0.00;235328;3232874;13872808;12931496;134;33;0;0;59818496;834663424;0.00;0.00;0.00;233666;3260404;13976280;13041616;134;33;0;0;60109568;835782656;0.00;0.00;0.00;234803;3264776;13998316;13059104;135;33;0;0;73524992;839789312;0.00;0.00;0.00;287207;3280427;14270536;13121708;134;33;0;0;60487424;846311680;0.00;0.00;0.00;236279;3305905;14168736;13223620;134;33;0;0;62636032;857043456;0.00;0.00;0.00;244672;3347826;14369992;13391304;101;33;0;0;64276992;860405504;0.00;0.00;0.00;251082;3360959;14448164;13443836;101;33;0;0;61562880;859426304;0.00;0.00;0.00;240480;3357134;14390456;13428536;101;33;0;0;66496256;860528128;0.00;0.00;0.00;259751;3361438;14484756;13445752;101;33;0;0;31731501056;21072364032;0.50;0.28;0.31;123951176;82313922;825060392;329255688;246006542;114512498;0;0;61094400;855888896;0.00;0.00;0.00;238650;3343316;14327864;13373264;101;33;0;0;
1536108100;70235859758;74230528;1022706688;0.00;0.00;0.00;289963;3994948;17139644;15979792;927;1108;0;0;88926208;1220463872;0.00;0.00;0.00;347368;4767437;20459220;19069748;671;165;0;0;101976832;1422853888;0.00;0.00;0.00;398347;5558023;23825480;22232092;670;165;0;0;117463040;1632960000;0.00;0.00;0.00;458840;6378750;27350360;25515000;637;165;0;0;146067456;1828923392;0.00;0.00;0.00;570576;7144232;30859232;28576928;670;165;0;0;144814848;2025031168;0.00;0.00;0.00;565683;7910278;33903844;31641112;670;165;0;0;166140928;2240201984;0.00;0.00;0.00;648988;8750789;37599108;35003156;505;165;0;0;182513664;2440693248;0.00;0.00;0.00;712944;9533958;40987608;38135832;505;165;0;0;171710464;2396246272;0.00;0.00;0.00;670744;9360337;40124324;37441348;505;165;0;0;172624384;2347842304;0.00;0.00;0.00;674314;9171259;39382292;36685036;506;165;0;0;85504574464;56513886208;0.50;0.28;0.29;334002244;220757368;2219038448;883029472;662289119;308303951;0;0;160563200;2246088960;0.00;0.00;0.00;627200;8773785;37603940;35095140;505;165;0;0;
1536108228;280940092040;221065984;3049673472;0.00;0.00;0.00;863539;11912787;51105304;47651148;695;260;0;0;207121152;2801345536;0.00;0.00;0.00;809067;10942756;47007292;43771024;671;165;0;0;182088704;2540418560;0.00;0.00;0.00;711284;9923510;42539176;39694040;671;165;0;0;163888640;2279226624;0.00;0.00;0.00;640190;8903229;38173676;35612916;671;165;0;0;153725952;2041195008;0.00;0.00;0.00;600492;7973418;34295640;31893672;670;165;0;0;127503616;1781523456;0.00;0.00;0.00;498061;6959076;29828548;27836304;671;165;0;0;116999936;1520347136;0.00;0.00;0.00;457031;5938856;25583548;23755424;507;165;0;0;94599424;1267989248;0.00;0.00;0.00;369529;4953083;21290448;19812332;505;165;0;0;89628160;1251803392;0.00;0.00;0.00;350110;4889857;20959868;19559428;505;165;0;0;91482624;1251503104;0.00;0.00;0.00;357354;4888684;20984152;19554736;507;165;0;0;319497018880;4316718848;0.16;0.09;0.78;1248035230;16862183;5059589652;67448732;1480902686;18616982;0;0;89355008;1250298368;0.00;0.00;0.00;349043;4883978;20932084;19535912;506;165;0;0;
1536108356;280940070158;244886016;3290818816;0.00;0.00;0.00;956586;12854761;55245388;51419044;709;165;0;0;238962432;3285448960;0.00;0.00;0.00;933447;12833785;55068928;51335140;671;165;0;0;235265792;3284035328;0.00;0.00;0.00;919007;12828263;54989080;51313052;672;165;0;0;236348928;3285126656;0.00;0.00;0.00;923238;12832526;55023056;51330104;672;165;0;0;241756672;3287787520;0.00;0.00;0.00;944362;12842920;55149128;51371680;672;165;0;0;234923008;3283872512;0.00;0.00;0.00;917668;12827627;54981180;51310508;673;165;0;0;253040128;3295524096;0.00;0.00;0.00;988438;12873141;55446316;51492564;508;165;0;0;246704896;3290607360;0.00;0.00;0.00;963691;12853935;55270504;51415740;510;165;0;0;235199744;3283420416;0.00;0.00;0.00;918749;12825861;54978440;51303444;508;165;0;0;240448256;3284677120;0.00;0.00;0.00;939251;12830770;55080084;51323080;506;165;0;0;873246093312;6809923840;0.28;0.00;0.00;3411117552;26601265;13750875268;106405060;4707339569;6653;0;0;234942976;3283117824;0.00;0.00;0.00;917746;12824679;54969700;51298716;507;165;0;0;
1536108484;280940067606;251369728;3295628032;0.00;0.00;0.00;981913;12873547;55421840;51494188;720;165;0;0;239134976;3285701632;0.00;0.00;0.00;934121;12834772;55075572;51339088;672;165;0;0;235161344;3284204288;0.00;0.00;0.00;918599;12828923;54990088;51315692;674;165;0;0;235970048;3285214208;0.00;0.00;0.00;921758;12832868;55018504;51331472;671;165;0;0;239194368;3286943232;0.00;0.00;0.00;934353;12839622;55095900;51358488;672;165;0;0;234917888;3284190208;0.00;0.00;0.00;917648;12828868;54986064;51315472;673;165;0;0;252782080;3296001792;0.00;0.00;0.00;987430;12875007;55449748;51500028;507;165;0;0;246224640;3291049984;0.00;0.00;0.00;961815;12855664;55269916;51422656;506;165;0;0;235117312;3284460800;0.00;0.00;0.00;918427;12829925;54993408;51319700;508;165;0;0;243292416;3288217344;0.00;0.00;0.00;950361;12844599;55179840;51378396;507;165;0;0;864356338176;6775044608;0.40;0.00;0.00;3376391946;26465018;13611427856;105860072;5618595193;3712;0;0;235090688;3284442880;0.00;0.00;0.00;918323;12829855;54992712;51319420;508;165;0;0;
