# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 20:33:45 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536021226;2195017240;1839872;25625600;0.00;0.00;0.00;7187;100100;429148;400400;268;66;0;0;1884160;25739776;0.00;0.00;0.00;7360;100546;431624;402184;268;66;0;0;1830912;25762304;0.00;0.00;0.00;7152;100634;431144;402536;269;66;0;0;1854208;25649920;0.00;0.00;0.00;7243;100195;429752;400780;270;66;0;0;1778176;25477632;0.00;0.00;0.00;6946;99522;425872;398088;271;66;0;0;1820928;25473280;0.00;0.00;0.00;7113;99505;426472;398020;271;66;0;0;1944832;25509632;0.00;0.00;0.00;7597;99647;428976;398588;205;66;0;0;1904896;25445120;0.00;0.00;0.00;7441;99395;427344;397580;203;66;0;0;1812224;25370368;0.00;0.00;0.00;7079;99103;424728;396412;204;66;0;0;1955584;25466880;0.00;0.00;0.00;7639;99480;428476;397920;205;66;0;0;1846016;25379584;0.00;0.00;0.00;7211;99139;425400;396556;205;66;0;0;1793536;25359360;0.00;0.00;0.00;7006;99060;424264;396240;205;66;0;0;
1536021227;2195110140;2959872;41124608;0.00;0.00;0.00;11562;160643;688820;642572;268;66;0;0;3593472;49249792;0.00;0.00;0.00;14037;192382;825676;769528;269;66;0;0;3576064;50360064;0.00;0.00;0.00;13969;196719;842752;786876;269;66;0;0;5253632;72827136;0.00;0.00;0.00;20522;284481;1220012;1137924;268;66;0;0;5143296;73714432;0.00;0.00;0.00;20091;287947;1232152;1151788;268;66;0;0;6844928;95810304;0.00;0.00;0.00;26738;374259;1603988;1497036;269;66;0;0;13724928;178064640;0.00;0.00;0.00;53613;695565;2996712;2782260;203;66;0;0;26251520;350010880;0.00;0.00;0.00;102545;1367230;5879100;5468920;203;66;0;0;39991552;559295744;0.00;0.00;0.00;156217;2184749;9363864;8738996;203;66;0;0;58873088;756992256;0.00;0.00;0.00;229973;2957001;12747896;11828004;203;66;0;0;36535672832;23490361344;0.48;0.28;0.28;142717472;91759224;937906784;367036896;275273042;127973477;0;0;83435776;1172470528;0.00;0.00;0.00;325921;4579963;19623536;18319852;203;66;0;0;
1536021291;140470468872;127621120;1773613824;0.00;0.00;0.00;498520;6928179;29706796;27712716;406;99;0;0;138972928;1909160448;0.00;0.00;0.00;542863;7457658;32002084;29830632;402;99;0;0;145670400;2039256576;0.00;0.00;0.00;569025;7965846;34139484;31863384;402;99;0;0;156388096;2176551424;0.00;0.00;0.00;610891;8502154;36452180;34008616;402;99;0;0;165372416;2305494272;0.00;0.00;0.00;645986;9005837;38607292;36023348;402;99;0;0;174199296;2443686912;0.00;0.00;0.00;680466;9545652;40904472;38182608;402;99;0;0;194892800;2520128000;0.00;0.00;0.00;761300;9844250;42422200;39377000;303;99;0;0;186514432;2492696576;0.00;0.00;0.00;728572;9737096;41862672;38948384;303;99;0;0;173984512;2435306496;0.00;0.00;0.00;679627;9512916;40770172;38051664;303;99;0;0;185240320;2392474112;0.00;0.00;0.00;723595;9345602;40276788;37382408;303;99;0;0;87005992960;56966640128;0.49;0.28;0.30;339867160;222525938;2249572392;890103752;662059537;307033288;0;0;169012992;2373161216;0.00;0.00;0.00;660207;9270161;39721472;37080644;303;99;0;0;
1536021419;280940770520;228498944;3176446976;0.00;0.00;0.00;892574;12407996;53202280;49631984;682;165;0;0;226835200;3116370432;0.00;0.00;0.00;886075;12173322;52237588;48693288;670;165;0;0;220315136;3081976832;0.00;0.00;0.00;860606;12038972;51598312;48155888;670;165;0;0;221028864;3073463296;0.00;0.00;0.00;863394;12005716;51476440;48022864;670;165;0;0;220241152;3069385984;0.00;0.00;0.00;860317;11989789;51400424;47959156;670;165;0;0;218743296;3070878208;0.00;0.00;0.00;854466;11995618;51400336;47982472;670;165;0;0;231627008;3087876352;0.00;0.00;0.00;904793;12062017;51867240;48248068;505;165;0;0;230882560;3079491584;0.00;0.00;0.00;901885;12029264;51724596;48117056;505;165;0;0;219294976;3065632000;0.00;0.00;0.00;856621;11975125;51326984;47900500;505;165;0;0;228041216;3060480256;0.00;0.00;0.00;890786;11955001;51383148;47820004;505;165;0;0;123324379904;73941938944;0.52;0.28;0.31;481735859;288835699;3082286232;1155342796;1012628530;401323919;0;0;207495168;2909164544;0.00;0.00;0.00;810528;11363924;48697808;45455696;505;165;0;0;
1536021547;280940424670;255133184;3542777856;0.00;0.00;0.00;996614;13838976;59342360;55355904;681;165;0;0;279063808;3836773632;0.00;0.00;0.00;1090093;14987397;64309960;59949588;670;165;0;0;295706880;4129531136;0.00;0.00;0.00;1155105;16130981;69144344;64523924;670;165;0;0;313641216;4365653248;0.00;0.00;0.00;1225161;17053333;73113976;68213332;670;165;0;0;304733440;4293049856;0.00;0.00;0.00;1190365;16769726;71840364;67078904;670;165;0;0;295327232;4140679168;0.00;0.00;0.00;1153622;16174528;69312600;64698112;670;165;0;0;291160320;3985840640;0.00;0.00;0.00;1137345;15569690;66828140;62278760;505;165;0;0;288433664;3851288832;0.00;0.00;0.00;1126694;15044097;64683164;60176388;506;165;0;0;264555776;3693977344;0.00;0.00;0.00;1033421;14429599;61852080;57718396;505;165;0;0;274949120;3576262912;0.00;0.00;0.00;1074020;13969777;60175188;55879108;505;165;0;0;131423831296;85245724416;0.49;0.27;0.30;513374341;332991111;3385461808;1331964444;1001708151;459136515;0;0;235694080;3300719104;0.00;0.00;0.00;920680;12893434;55256456;51573736;505;165;0;0;
1536021675;280942177424;230701312;3198796800;0.00;0.00;0.00;901177;12495300;53585908;49981200;2826;693;0;0;222511872;3056469504;0.00;0.00;0.00;869187;11939334;51234084;47757336;2828;693;0;0;206576640;2882037760;0.00;0.00;0.00;806940;11257960;48259600;45031840;2825;693;0;0;190160128;2646846720;0.00;0.00;0.00;742813;10339245;44328232;41356980;2824;693;0;0;232246784;2727423744;0.00;0.00;0.00;907214;10653999;46244852;42615996;2826;693;0;0;203742976;2853286656;0.00;0.00;0.00;795871;11145651;47766088;44582604;2829;693;0;0;219842816;3006285568;0.00;0.00;0.00;858761;11743303;50408256;46973212;2135;693;0;0;236883200;3170408960;0.00;0.00;0.00;925325;12384410;53238940;49537640;2138;693;0;0;237676288;3318521344;0.00;0.00;0.00;928423;12962974;55565588;51851896;2134;693;0;0;268815616;3546007808;0.00;0.00;0.00;1050061;13851593;59606616;55406372;2137;693;0;0;141025189632;87357796864;0.52;0.28;0.31;550879647;341241394;3568484164;1364965576;1143207478;472816832;0;0;294616064;4121940480;0.00;0.00;0.00;1150844;16101330;69008696;64405320;2138;693;0;0;
1536021803;280941433168;229256704;3180973568;0.00;0.00;0.00;895534;12425678;53284848;49702712;672;165;0;0;218234624;2951172608;0.00;0.00;0.00;852479;11528018;49521988;46112072;670;165;0;0;195458048;2728271616;0.00;0.00;0.00;763508;10657311;45683276;42629244;670;165;0;0;185753088;2582373376;0.00;0.00;0.00;725598;10087396;43251976;40349584;670;165;0;0;184811520;2449398528;0.00;0.00;0.00;721920;9567963;41159532;38271852;670;165;0;0;164956160;2309400832;0.00;0.00;0.00;644360;9021097;38661828;36084388;536;132;0;0;164269824;2161905664;0.00;0.00;0.00;641679;8444944;36346492;33779776;404;132;0;0;149394944;2000601600;0.00;0.00;0.00;583574;7814850;33593696;31259400;404;132;0;0;131932160;1842498560;0.00;0.00;0.00;515360;7197260;30850480;28789040;404;132;0;0;118660864;1624986368;0.00;0.00;0.00;463519;6347603;27244488;25390412;404;132;0;0;52693213952;34149461760;0.49;0.28;0.35;205832867;133396335;1356916808;533585340;406052550;184934551;0;0;74298624;1038483200;0.00;0.00;0.00;290229;4056575;17387216;16226300;404;132;0;0;
1536021931;280940208534;256379904;3451912192;0.00;0.00;0.00;1001484;13484032;57942064;53936128;688;165;0;0;272606464;3747987712;0.00;0.00;0.00;1064869;14640577;62821784;58562308;670;165;0;0;286518016;4000547584;0.00;0.00;0.00;1119211;15627139;66985400;62508556;670;165;0;0;309767680;4305319680;0.00;0.00;0.00;1210030;16817655;72110740;67270620;671;165;0;0;339584000;4620236288;0.00;0.00;0.00;1326500;18047798;77497192;72191192;670;165;0;0;345137920;4822812160;0.00;0.00;0.00;1348195;18839110;80749220;75356440;804;198;0;0;378834176;4933871104;0.00;0.00;0.00;1479821;19272934;83011020;77091736;606;198;0;0;368035584;4927773184;0.00;0.00;0.00;1437639;19249114;82747012;76996456;606;198;0;0;352325632;4918480640;0.00;0.00;0.00;1376272;19212815;82356348;76851260;606;198;0;0;359235328;4920165888;0.00;0.00;0.00;1403263;19219398;82490644;76877592;606;198;0;0;194335782144;120065148416;0.51;0.28;0.30;759124149;469004486;4912514540;1876017944;1545517299;648000768;0;0;351854848;4918935808;0.00;0.00;0.00;1374433;19214593;82356104;76858372;606;198;0;0;
1536022059;280940310024;235659776;3071609088;0.00;0.00;0.00;920546;11998473;51676076;47993892;2589;627;0;0;206240768;2832954112;0.00;0.00;0.00;805628;11066227;47487420;44264908;2558;627;0;0;188801792;2636119808;0.00;0.00;0.00;737507;10297343;44139400;41189372;2559;627;0;0;173019904;2405058048;0.00;0.00;0.00;675859;9394758;40282468;37579032;2563;627;0;0;156269312;2153626368;0.00;0.00;0.00;610427;8412603;36092120;33650412;2563;627;0;0;144173312;2015574528;0.00;0.00;0.00;563177;7873338;33746060;31493352;2564;627;0;0;152472320;1988771328;0.00;0.00;0.00;595595;7768638;33456932;31074552;1934;627;0;0;163126784;2183611392;0.00;0.00;0.00;637214;8529732;36667784;34118928;1929;627;0;0;171572224;2395137792;0.00;0.00;0.00;670204;9356007;40104844;37424028;1934;627;0;0;195600128;2607332096;0.00;0.00;0.00;764063;10184891;43795816;40739564;1939;627;0;0;105959943936;64351959808;0.53;0.28;0.32;413906031;251374843;2661123496;1005499372;880373575;349042309;0;0;219159040;3060905984;0.00;0.00;0.00;856090;11956664;51251016;47826656;1936;627;0;0;
1536022187;280940362704;265337344;3392779008;0.00;0.00;0.00;1036474;13253043;57158068;53012172;676;165;0;0;254082048;3490010112;0.00;0.00;0.00;992508;13632852;58501440;54531408;671;165;0;0;246012416;3434517504;0.00;0.00;0.00;960986;13416084;57508280;53664336;670;165;0;0;242030848;3363760384;0.00;0.00;0.00;945433;13139689;56340488;52558756;670;165;0;0;240139264;3305645824;0.00;0.00;0.00;938044;12912679;55402892;51650716;670;165;0;0;231316736;3232878080;0.00;0.00;0.00;903581;12628430;54128044;50513720;670;165;0;0;243700480;3184724992;0.00;0.00;0.00;951955;12440332;53569148;49761328;505;165;0;0;222394112;2979654144;0.00;0.00;0.00;868727;11639274;50032004;46557096;505;165;0;0;197333248;2758619648;0.00;0.00;0.00;770833;10775858;46186764;43103432;505;165;0;0;196763136;2560736000;0.00;0.00;0.00;768606;10002875;43085924;40011500;505;165;0;0;87590508032;57100343040;0.49;0.28;0.32;342150422;223048215;2260794548;892192860;667518741;308709879;0;0;149573888;2092409856;0.00;0.00;0.00;584273;8173476;35030996;32693904;505;165;0;0;
