# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 21:06:57 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536109618;2195064310;1853184;25720064;0.00;0.00;0.00;7239;100469;430832;401876;134;33;0;0;1901568;25888768;0.00;0.00;0.00;7428;101128;434224;404512;135;33;0;0;3106304;25775360;0.00;0.00;0.00;12134;100685;451276;402740;135;33;0;0;1846016;25999360;0.00;0.00;0.00;7211;101560;435084;406240;136;33;0;0;1895680;26058496;0.00;0.00;0.00;7405;101791;436784;407164;136;33;0;0;1857024;26070272;0.00;0.00;0.00;7254;101837;436364;407348;136;33;0;0;1902848;26080000;0.00;0.00;0.00;7433;101875;437232;407500;103;33;0;0;1949696;26115328;0.00;0.00;0.00;7616;102013;438516;408052;103;33;0;0;1857024;26074880;0.00;0.00;0.00;7254;101855;436436;407420;102;33;0;0;1925376;26091008;0.00;0.00;0.00;7521;101918;437756;407672;103;33;0;0;1917440;26155008;0.00;0.00;0.00;7490;102168;438632;408672;103;273;0;0;1860352;26077952;0.00;0.00;0.00;7267;101867;436536;407468;103;33;0;0;
1536109619;2195730692;3119872;42590720;0.00;0.00;0.00;12187;166370;714228;665480;134;33;0;0;4701440;63638016;0.00;0.00;0.00;18365;248586;1067804;994344;135;33;0;0;7691776;63719936;0.00;0.00;0.00;30046;248906;1115808;995624;135;33;0;0;4608256;64796672;0.00;0.00;0.00;18001;253112;1084452;1012448;135;33;0;0;5776896;79115008;0.00;0.00;0.00;22566;309043;1326436;1236172;134;33;0;0;7663872;108457216;0.00;0.00;0.00;29937;423661;1814392;1694644;135;33;0;0;10537216;143817728;0.00;0.00;0.00;41161;561788;2411796;2247152;102;33;0;0;14409472;192774912;0.00;0.00;0.00;56287;753027;3237256;3012108;102;33;0;0;16938496;238657792;0.00;0.00;0.00;66166;932257;3993692;3729028;102;33;0;0;21149952;289123328;0.00;0.00;0.00;82617;1129388;4848020;4517552;102;33;0;0;12074030592;7834767360;0.48;0.29;0.30;47164182;30604560;311074968;122418240;91212939;43364844;0;0;27289600;384007168;0.00;0.00;0.00;106600;1500028;6426512;6000112;102;33;0;0;
1536109635;35121412290;42671360;587303424;0.00;0.00;0.00;166685;2294154;9843356;9176616;672;165;0;0;61677568;819226112;0.00;0.00;0.00;240928;3200102;13764120;12800408;670;165;0;0;125020160;1069666816;0.00;0.00;0.00;488360;4178386;18666984;16713544;671;165;0;0;94099200;1326378240;0.00;0.00;0.00;367575;5181165;22194960;20724660;671;165;0;0;113492992;1559015424;0.00;0.00;0.00;443332;6089904;26132944;24359616;670;165;0;0;126772224;1786129664;0.00;0.00;0.00;495204;6977069;29889092;27908276;670;165;0;0;145926400;1994507008;0.00;0.00;0.00;570025;7791043;33444272;31164172;505;165;0;0;163699200;2192378368;0.00;0.00;0.00;639450;8563978;36813712;34255912;505;165;0;0;281679872;2408200448;0.00;0.00;0.00;1100312;9407033;42029380;37628132;505;165;0;0;188394240;2580063488;0.00;0.00;0.00;735915;10078373;43257152;40313492;505;165;0;0;103645824256;70306840320;0.49;0.28;0.29;404866501;274636095;2718010384;1098544380;800120115;382405880;0;0;245201408;2975037696;0.00;0.00;0.00;957818;11621241;50316236;46484964;505;165;0;0;
1536109763;280940690568;240431104;3309514752;0.00;0.00;0.00;939184;12927792;55467904;51711168;691;165;0;0;245524224;3321238272;0.00;0.00;0.00;959079;12973587;55730664;51894348;670;165;0;0;235071232;3309809664;0.00;0.00;0.00;918247;12928944;55388764;51715776;670;165;0;0;303488512;3115035136;0.00;0.00;0.00;1185502;12168106;53414432;48672424;670;165;0;0;209344512;2875378176;0.00;0.00;0.00;817752;11231946;48198792;44927784;268;66;0;0;290852608;2602406912;0.00;0.00;0.00;1136143;10165652;45207180;40662608;402;99;0;0;174513152;2376070400;0.00;0.00;0.00;681692;9281525;39852868;37126100;404;132;0;0;159769856;2135844352;0.00;0.00;0.00;624101;8343142;35868972;33372568;404;132;0;0;183671296;1906118400;0.00;0.00;0.00;717466;7445775;32652964;29783100;404;132;0;0;120172800;1645394688;0.00;0.00;0.00;469425;6427323;27586992;25709292;304;99;0;0;52746467072;35292246272;0.50;0.28;0.35;206040887;137860337;1375604896;551441348;414970581;192437115;0;0;140542208;1147170048;0.00;0.00;0.00;548993;4481133;20120504;17924532;101;33;0;0;
1536109891;280940430742;238674944;3285430272;0.00;0.00;0.00;932324;12833712;55064144;51334848;692;165;0;0;243329280;3288066304;0.00;0.00;0.00;950505;12844009;55178056;51376036;670;165;0;0;234121728;3301274624;0.00;0.00;0.00;914538;12895604;55240568;51582416;670;165;0;0;253400320;3487681280;0.00;0.00;0.00;989845;13623755;58454400;54495020;670;165;0;0;271414016;3731817984;0.00;0.00;0.00;1060211;14577414;62550500;58309656;1072;264;0;0;284556032;3980072448;0.00;0.00;0.00;1111547;15547158;66634820;62188632;938;231;0;0;310923008;4232752640;0.00;0.00;0.00;1214543;16534190;70994932;66136760;606;198;0;0;335673344;4490424832;0.00;0.00;0.00;1311224;17540722;75407784;70162888;607;198;0;0;328824064;4631043840;0.00;0.00;0.00;1284469;18090015;77497936;72360060;606;198;0;0;338526208;4633749760;0.00;0.00;0.00;1322368;18100585;77691812;72402340;708;231;0;0;181726441216;113816368896;0.51;0.28;0.30;709868911;444595191;4617856408;1778380764;1462215205;621079628;0;0;354999808;4636992000;0.00;0.00;0.00;1386718;18113250;77999872;72453000;910;297;0;0;
1536110019;280940337656;222902272;3066604032;0.00;0.00;0.00;870712;11978922;51398536;47915688;690;165;0;0;208207872;2811313920;0.00;0.00;0.00;813312;10981695;47180028;43926780;670;165;0;0;180672000;2545446400;0.00;0.00;0.00;705750;9943150;42595600;39772600;670;165;0;0;165841408;2294575616;0.00;0.00;0.00;647818;8963186;38444016;35852744;671;165;0;0;149533696;2053922560;0.00;0.00;0.00;584116;8023135;34429004;32092540;671;165;0;0;128942848;1801121792;0.00;0.00;0.00;503683;7035632;30157260;28142528;670;165;0;0;114301952;1552389120;0.00;0.00;0.00;446492;6064020;26042048;24256080;505;165;0;0;97283840;1300889088;0.00;0.00;0.00;380015;5081598;21846452;20326392;505;165;0;0;81602304;1149131520;0.00;0.00;0.00;318759;4488795;19230216;17955180;505;165;0;0;84259072;1149354240;0.00;0.00;0.00;329137;4489665;19275208;17958660;505;165;0;0;138987630848;35475840000;0.18;0.02;0.11;542920433;138577500;2725991732;554310000;666043520;141927731;0;0;82235136;1148398848;0.00;0.00;0.00;321231;4485933;19228656;17943732;505;165;0;0;
1536110147;280940173594;242690560;3288262656;0.00;0.00;0.00;948010;12844776;55171144;51379104;693;165;0;0;241947392;3287312384;0.00;0.00;0.00;945107;12841064;55144684;51364256;670;165;0;0;232987392;3284163584;0.00;0.00;0.00;910107;12828764;54955484;51315056;670;165;0;0;236489728;3285037824;0.00;0.00;0.00;923788;12832179;55023868;51328716;671;165;0;0;239314432;3286253312;0.00;0.00;0.00;934822;12836927;55086996;51347708;672;165;0;0;234163968;3283751424;0.00;0.00;0.00;914703;12827154;54967428;51308616;673;165;0;0;241725696;3286621440;0.00;0.00;0.00;944241;12838365;55130424;51353460;507;165;0;0;246462464;3290715392;0.00;0.00;0.00;962744;12854357;55268404;51417428;507;165;0;0;233427968;3284239360;0.00;0.00;0.00;911828;12829060;54963552;51316240;507;165;0;0;241372672;3286275072;0.00;0.00;0.00;942862;12837012;55119496;51348048;505;165;0;0;406289500416;108394952704;0.03;0.00;0.00;1587068361;423417784;8041944580;1693671136;1628496331;400209646;0;0;234869760;3283976192;0.00;0.00;0.00;917460;12828032;54981968;51312128;505;165;0;0;
1536110275;280940495048;239633152;3286033664;0.00;0.00;0.00;936067;12836069;55088544;51344276;691;165;0;0;243190528;3288317952;0.00;0.00;0.00;949963;12844992;55179820;51379968;671;165;0;0;232968192;3284052480;0.00;0.00;0.00;910032;12828330;54953448;51313320;671;165;0;0;236269824;3285212928;0.00;0.00;0.00;922929;12832863;55023168;51331452;670;165;0;0;238793472;3286394368;0.00;0.00;0.00;932787;12837478;55081060;51349912;670;165;0;0;232989696;3283767808;0.00;0.00;0.00;910116;12827218;54949336;51308872;670;165;0;0;241749248;3286588160;0.00;0.00;0.00;944333;12838235;55130272;51352940;505;165;0;0;246174208;3290693632;0.00;0.00;0.00;961618;12854272;55263560;51417088;505;165;0;0;233237504;3284076800;0.00;0.00;0.00;911084;12828425;54958036;51313700;506;165;0;0;241251840;3286197760;0.00;0.00;0.00;942390;12836710;55116400;51346840;505;165;0;0;406698073856;108414615040;0.03;0.00;0.00;1588664351;423494590;8048635764;1693978360;1629461430;399615727;0;0;232956672;3283920128;0.00;0.00;0.00;909987;12827813;54951200;51311252;505;165;0;0;
1536110403;280940271946;240364288;3286734080;0.00;0.00;0.00;938923;12838805;55110912;51355220;681;165;0;0;240978176;3286516480;0.00;0.00;0.00;941321;12837955;55117104;51351820;672;165;0;0;233202176;3284004608;0.00;0.00;0.00;910946;12828143;54956356;51312572;672;165;0;0;236213248;3284709632;0.00;0.00;0.00;922708;12830897;55014420;51323588;672;165;0;0;238808320;3285891584;0.00;0.00;0.00;932845;12835514;55073436;51342056;671;165;0;0;233183744;3283592960;0.00;0.00;0.00;910874;12826535;54949636;51306140;670;165;0;0;241423360;3285768448;0.00;0.00;0.00;943060;12835033;55112372;51340132;505;165;0;0;246947840;3290019584;0.00;0.00;0.00;964640;12851639;55265116;51406556;506;165;0;0;232992768;3282738176;0.00;0.00;0.00;910128;12823196;54933296;51292784;507;165;0;0;241866496;3285608192;0.00;0.00;0.00;944791;12834407;55116792;51337628;506;165;0;0;404069756928;107598745344;0.02;0.00;0.00;1578397488;420307599;7994820348;1681230396;1617954513;394954734;0;0;232850944;3282380544;0.00;0.00;0.00;909574;12821799;54925492;51287196;505;165;0;0;
1536110531;280940183578;238627328;3285975808;0.00;0.00;0.00;932138;12835843;55071924;51343372;684;165;0;0;240867840;3286537216;0.00;0.00;0.00;940890;12838036;55115704;51352144;670;165;0;0;232801536;3284036096;0.00;0.00;0.00;909381;12828266;54950588;51313064;672;165;0;0;236775680;3285543424;0.00;0.00;0.00;924905;12834154;55036236;51336616;671;165;0;0;238918144;3286612992;0.00;0.00;0.00;933274;12838332;55086424;51353328;670;165;0;0;232906240;3284144896;0.00;0.00;0.00;909790;12828691;54953924;51314764;671;165;0;0;239085312;3284688640;0.00;0.00;0.00;933927;12830815;55058968;51323260;505;165;0;0;246703360;3291090688;0.00;0.00;0.00;963685;12855823;55278032;51423292;506;165;0;0;233255936;3284432896;0.00;0.00;0.00;911156;12829816;54963888;51319264;505;165;0;0;242154496;3287253248;0.00;0.00;0.00;945916;12840833;55146996;51363332;505;165;0;0;390737510656;110698819072;0.09;0.00;0.00;1526318401;432417262;7834942652;1729669048;1676427350;406821857;0;0;233046784;3284176384;0.00;0.00;0.00;910339;12828814;54956612;51315256;505;165;0;0;
