# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Sep  6 07:54:46 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536234887;2195052674;1999360;25863936;0.00;0.00;0.00;7810;101031;435364;404124;135;33;0;0;1787392;25818624;0.00;0.00;0.00;6982;100854;431344;403416;135;33;0;0;1841664;25991168;0.00;0.00;0.00;7194;101528;434888;406112;135;33;0;0;2019840;26193664;0.00;0.00;0.00;7890;102319;440836;409276;136;33;0;0;1894144;26106880;0.00;0.00;0.00;7399;101980;437516;407920;136;33;0;0;1842944;26117888;0.00;0.00;0.00;7199;102023;436888;408092;136;33;0;0;1892864;26119424;0.00;0.00;0.00;7394;102029;437692;408116;102;33;0;0;1896704;25963264;0.00;0.00;0.00;7409;101419;435312;405676;102;33;0;0;1832960;25793024;0.00;0.00;0.00;7160;100754;431656;403016;103;33;0;0;1852160;25693952;0.00;0.00;0.00;7235;100367;430408;401468;103;33;0;0;1845248;26032896;0.00;0.00;0.00;7208;101691;435596;406764;102;1624;0;0;1815552;25616640;0.00;0.00;0.00;7092;100065;428628;400260;102;33;0;0;
1536234888;2195129426;2264832;29783040;0.00;0.00;0.00;8847;116340;500748;465360;134;33;0;0;2116864;30178560;0.00;0.00;0.00;8269;117885;504616;471540;134;33;0;0;2176512;30788608;0.00;0.00;0.00;8502;120268;515080;481072;135;33;0;0;2550528;32056576;0.00;0.00;0.00;9963;125221;540736;500884;134;33;0;0;2406656;33151744;0.00;0.00;0.00;9401;129499;555600;517996;134;33;0;0;2398208;34101248;0.00;0.00;0.00;9368;133208;570304;532832;134;33;0;0;2545664;34968064;0.00;0.00;0.00;9944;136594;586152;546376;102;33;0;0;2635776;35738368;0.00;0.00;0.00;10296;139603;599596;558412;102;33;0;0;2574080;36443136;0.00;0.00;0.00;10055;142356;609644;569424;103;33;0;0;3672320;50572288;0.00;0.00;0.00;14345;197548;847572;790192;102;33;0;0;1283872000;771075328;0.51;0.37;0.39;5015125;3012013;32108552;12048052;10295267;4789282;0;0;3730176;52720896;0.00;0.00;0.00;14571;205941;882048;823764;102;33;0;0;
1536234890;4392855090;3789056;48245248;0.00;0.00;0.00;14801;188458;813036;753832;134;33;0;0;3372032;48240384;0.00;0.00;0.00;13172;188439;806444;753756;135;33;0;0;3488512;48966144;0.00;0.00;0.00;13627;191274;819604;765096;134;33;0;0;3806720;48820736;0.00;0.00;0.00;14870;190706;822304;762824;134;33;0;0;4543744;62043136;0.00;0.00;0.00;17749;242356;1040420;969424;135;33;0;0;6313728;88804096;0.00;0.00;0.00;24663;346891;1486216;1387564;134;33;0;0;9399808;129605632;0.00;0.00;0.00;36718;506272;2171960;2025088;101;33;0;0;12822016;174356736;0.00;0.00;0.00;50086;681081;2924668;2724324;101;33;0;0;15691776;221407232;0.00;0.00;0.00;61296;864872;3704672;3459488;101;33;0;0;18518528;253435136;0.00;0.00;0.00;72338;989981;4249276;3959924;101;33;0;0;11759053824;7458885888;0.48;0.29;0.29;45933804;29136273;300280308;116545092;88291586;40836036;0;0;24775168;349241344;0.00;0.00;0.00;96778;1364224;5844008;5456896;101;33;0;0;
1536234906;35118078138;33646848;438681856;0.00;0.00;0.00;131433;1713601;7380136;6854404;135;33;0;0;36583168;489672960;0.00;0.00;0.00;142903;1912785;8222752;7651140;135;33;0;0;38096640;537624064;0.00;0.00;0.00;148815;2100094;8995636;8400376;134;33;0;0;45322496;579336704;0.00;0.00;0.00;177041;2263034;9760300;9052136;134;33;0;0;44082944;607147520;0.00;0.00;0.00;172199;2371670;10175476;9486680;134;33;0;0;44519936;627164160;0.00;0.00;0.00;173906;2449860;10495064;9799440;134;33;0;0;46210304;635793152;0.00;0.00;0.00;180509;2483567;10656304;9934268;101;33;0;0;47132416;641772800;0.00;0.00;0.00;184111;2506925;10764144;10027700;101;33;0;0;45748224;644016640;0.00;0.00;0.00;178704;2515690;10777576;10062760;101;33;0;0;47454208;650157312;0.00;0.00;0.00;185368;2539677;10900180;10158708;101;33;0;0;24475446272;16022441216;0.49;0.29;0.30;95607212;62587661;632779492;250350644;187712846;87559466;0;0;46687744;656952320;0.00;0.00;0.00;182374;2566220;10994376;10264880;101;33;0;0;
1536234938;70237648246;63088896;823934720;0.00;0.00;0.00;246441;3218495;13859744;12873980;138;33;0;0;59830784;820245760;0.00;0.00;0.00;233714;3204085;13751196;12816340;134;33;0;0;57931264;818364416;0.00;0.00;0.00;226294;3196736;13692120;12786944;134;33;0;0;65220096;835747328;0.00;0.00;0.00;254766;3264638;14077616;13058552;134;33;0;0;60785152;836391680;0.00;0.00;0.00;237442;3267155;14018388;13068620;134;33;0;0;74006784;1043547648;0.00;0.00;0.00;289089;4076358;17461788;16305432;134;33;0;0;90724096;1248216576;0.00;0.00;0.00;354391;4875846;20920948;19503384;101;33;0;0;106595072;1453666304;0.00;0.00;0.00;416387;5678384;24379084;22713536;101;33;0;0;117475328;1657806336;0.00;0.00;0.00;458888;6475806;27738776;25903224;101;33;0;0;135490816;1861723648;0.00;0.00;0.00;529261;7272358;31206476;29089432;101;33;0;0;76218657792;50394664448;0.49;0.28;0.29;297729132;196854158;1978333160;787416632;587422329;274059142;0;0;160826112;2268188672;0.00;0.00;0.00;628227;8860112;37953356;35440448;101;33;0;0;
1536235066;280941748718;254073856;3300850944;0.00;0.00;0.00;992476;12893949;55545700;51575796;684;165;0;0;239467520;3266813952;0.00;0.00;0.00;935420;12760992;54785648;51043968;670;165;0;0;228139264;3217080832;0.00;0.00;0.00;891169;12566722;53831564;50266888;670;165;0;0;231683840;3169091840;0.00;0.00;0.00;905015;12379265;53137120;49517060;670;165;0;0;226874624;3118282752;0.00;0.00;0.00;886229;12180792;52268084;48723168;670;165;0;0;202817792;2860100352;0.00;0.00;0.00;792257;11172267;47858096;44689068;670;165;0;0;189639424;2605682688;0.00;0.00;0.00;740779;10178448;43676908;40713792;505;165;0;0;172801792;2353016832;0.00;0.00;0.00;675007;9191472;39465916;36765888;505;165;0;0;148691200;2094735872;0.00;0.00;0.00;580825;8182562;35053548;32730248;505;165;0;0;133910528;1839222528;0.00;0.00;0.00;523088;7184463;30830204;28737852;505;165;0;0;59664995840;39179977728;0.49;0.28;0.34;233066390;153046788;1544452712;612187152;460780442;213353944;0;0;94092544;1327866368;0.00;0.00;0.00;367549;5186978;22218108;20747912;505;165;0;0;
1536235194;280940632884;254200576;3301786112;0.00;0.00;0.00;992971;12897602;55562292;51590408;678;165;0;0;242290432;3310823424;0.00;0.00;0.00;946447;12932904;55517404;51731616;670;165;0;0;238431744;3362540288;0.00;0.00;0.00;931374;13134923;56265188;52539692;671;165;0;0;247876352;3420019968;0.00;0.00;0.00;968267;13359453;57310880;53437812;670;165;0;0;260320000;3582802432;0.00;0.00;0.00;1016875;13995322;60048788;55981288;670;165;0;0;271036160;3824454144;0.00;0.00;0.00;1058735;14939274;63992036;59757096;670;165;0;0;297427456;4081650944;0.00;0.00;0.00;1161826;15943949;68423100;63775796;505;165;0;0;316859136;4317764096;0.00;0.00;0.00;1237731;16866266;72415988;67465064;505;165;0;0;324552192;4572902656;0.00;0.00;0.00;1267782;17862901;76522732;71451604;505;165;0;0;340466688;4682833408;0.00;0.00;0.00;1329948;18292318;78489064;73169272;505;165;0;0;182150276864;113774013440;0.52;0.28;0.31;711524519;444429740;4623817036;1777718960;1471272485;621064777;0;0;332252416;4684125184;0.00;0.00;0.00;1297861;18297364;78380900;73189456;505;165;0;0;
1536235322;280940563476;251784192;3266983680;0.00;0.00;0.00;983532;12761655;54980748;51046620;680;165;0;0;243831040;3211749120;0.00;0.00;0.00;952465;12545895;53993440;50183580;670;165;0;0;223252224;3146683392;0.00;0.00;0.00;872079;12291732;52655244;49166928;638;165;0;0;226715136;3094748672;0.00;0.00;0.00;885606;12088862;51897872;48355448;670;165;0;0;213278464;2931338752;0.00;0.00;0.00;833119;11450542;49134644;45802168;671;165;0;0;190370304;2684590592;0.00;0.00;0.00;743634;10486682;44921264;41946728;670;165;0;0;177167872;2428626688;0.00;0.00;0.00;692062;9486823;40715540;37947292;505;165;0;0;162409216;2198313728;0.00;0.00;0.00;634411;8587163;36886296;34348652;505;165;0;0;137521664;1936850176;0.00;0.00;0.00;537194;7565821;32412060;30263284;505;165;0;0;132805120;1827027456;0.00;0.00;0.00;518770;7136826;30622384;28547304;506;165;0;0;206529312512;54522821376;0.17;0.12;0.17;806755127;212979771;4078939592;851919084;967833256;241621728;0;0;129232128;1825597440;0.00;0.00;0.00;504813;7131240;30544212;28524960;508;165;0;0;
1536235450;280940365098;253864960;3298434816;0.00;0.00;0.00;991660;12884511;55504684;51538044;674;165;0;0;241487616;3286835712;0.00;0.00;0.00;943311;12839202;55130052;51356808;670;165;0;0;232818944;3284007424;0.00;0.00;0.00;909449;12828154;54950412;51312616;671;165;0;0;256453632;3301805824;0.00;0.00;0.00;1001772;12897679;55597804;51590716;670;165;0;0;239050496;3286608640;0.00;0.00;0.00;933791;12838315;55088424;51353260;672;165;0;0;232732160;3283977216;0.00;0.00;0.00;909110;12828036;54948584;51312144;671;165;0;0;239395840;3284524032;0.00;0.00;0.00;935140;12830172;55061248;51320688;507;165;0;0;244020224;3288884224;0.00;0.00;0.00;953204;12847204;55201632;51388816;508;165;0;0;233017344;3284239616;0.00;0.00;0.00;910224;12829061;54957140;51316244;506;165;0;0;239186688;3284574720;0.00;0.00;0.00;934323;12830370;55058772;51321480;505;165;0;0;384157657856;103216424192;0.06;0.05;0.08;1500615851;403189157;7615220032;1612756628;1590319896;426274430;0;0;232981504;3284283904;0.00;0.00;0.00;910084;12829234;54957272;51316936;506;165;0;0;
1536235578;280940136216;251969792;3296941056;0.00;0.00;0.00;984257;12878676;55451732;51514704;676;165;0;0;241676544;3286575616;0.00;0.00;0.00;944049;12838186;55128940;51352744;671;165;0;0;232913664;3284155648;0.00;0.00;0.00;909819;12828733;54954208;51314932;670;165;0;0;257509632;3302807040;0.00;0.00;0.00;1005897;12901590;55629948;51606360;671;165;0;0;238955264;3286475008;0.00;0.00;0.00;933419;12837793;55084848;51351172;671;165;0;0;232894720;3283979520;0.00;0.00;0.00;909745;12828045;54951160;51312180;670;165;0;0;239010048;3284134912;0.00;0.00;0.00;933633;12828652;55049140;51314608;505;165;0;0;244145920;3288557312;0.00;0.00;0.00;953695;12845927;55198488;51383708;505;165;0;0;232882432;3283724288;0.00;0.00;0.00;909697;12827048;54946980;51308192;506;165;0;0;238851584;3283672832;0.00;0.00;0.00;933014;12826847;55039444;51307388;505;165;0;0;382352574208;103484792576;0.08;0.04;0.07;1493564743;404237471;7591208856;1616949884;1615421943;423153802;0;0;232807680;3283424512;0.00;0.00;0.00;909405;12825877;54941128;51303508;505;165;0;0;
