# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 18:36:12 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536014173;2195057732;1838848;25741312;0.00;0.00;0.00;7183;100552;430940;402208;135;33;0;0;1886464;25908224;0.00;0.00;0.00;7369;101204;434292;404816;135;33;0;0;1853696;25997824;0.00;0.00;0.00;7241;101554;435180;406216;134;33;0;0;1881344;25902592;0.00;0.00;0.00;7349;101182;434124;404728;135;33;0;0;1862400;25765376;0.00;0.00;0.00;7275;100646;431684;402584;136;33;0;0;1829376;25694208;0.00;0.00;0.00;7146;100368;430056;401472;136;33;0;0;1933568;25690880;0.00;0.00;0.00;7553;100355;431632;401420;102;33;0;0;1838592;25583104;0.00;0.00;0.00;7182;99934;428464;399736;102;33;0;0;1821952;25585664;0.00;0.00;0.00;7117;99944;428244;399776;103;33;0;0;1873920;25598208;0.00;0.00;0.00;7320;99993;429252;399972;103;33;0;0;1742592;25479680;0.00;0.00;0.00;6807;99530;425348;398120;103;87;0;0;1792256;25555712;0.00;0.00;0.00;7001;99827;427312;399308;103;33;0;0;
1536014174;2195021484;1852160;25681152;0.00;0.00;0.00;7235;100317;430208;401268;136;33;0;0;1860352;25665280;0.00;0.00;0.00;7267;100255;430088;401020;135;33;0;0;1831936;25680128;0.00;0.00;0.00;7156;100313;429876;401252;135;33;0;0;1833984;25665536;0.00;0.00;0.00;7164;100256;429680;401024;135;33;0;0;1874432;25690624;0.00;0.00;0.00;7322;100354;430704;401416;135;33;0;0;1814016;25692416;0.00;0.00;0.00;7086;100361;429788;401444;135;33;0;0;1963776;25924096;0.00;0.00;0.00;7671;101266;435748;405064;103;33;0;0;1880832;26010368;0.00;0.00;0.00;7347;101603;435800;406412;102;33;0;0;1860096;26142720;0.00;0.00;0.00;7266;102120;437544;408480;103;33;0;0;1903872;26258944;0.00;0.00;0.00;7437;102574;440044;410296;102;33;0;0;2076416;40919296;0.00;0.00;0.00;8111;159841;671808;639364;102;57492;0;0;1873152;26430208;0.00;0.00;0.00;7317;103243;442240;412972;103;33;0;0;
1536014175;2195060168;1858816;25677824;0.00;0.00;0.00;7261;100304;430260;401216;135;33;0;0;1866240;25656320;0.00;0.00;0.00;7290;100220;430040;400880;134;33;0;0;1847040;25682688;0.00;0.00;0.00;7215;100323;430152;401292;135;33;0;0;1864448;25814016;0.00;0.00;0.00;7283;100836;432476;403344;134;33;0;0;1878272;25860096;0.00;0.00;0.00;7337;101016;433412;404064;134;33;0;0;1832960;25958400;0.00;0.00;0.00;7160;101400;434240;405600;134;33;0;0;1969152;26001920;0.00;0.00;0.00;7692;101570;437048;406280;101;33;0;0;1868544;25922560;0.00;0.00;0.00;7299;101260;434236;405040;102;33;0;0;1843712;25959680;0.00;0.00;0.00;7202;101405;434428;405620;101;33;0;0;1890048;25933568;0.00;0.00;0.00;7383;101303;434744;405212;102;33;0;0;1746688;25773312;0.00;0.00;0.00;6823;100677;430000;402708;116;423;0;0;1859072;25994752;0.00;0.00;0.00;7262;101542;435216;406168;101;33;0;0;
1536014176;2195067556;1840128;25662720;0.00;0.00;0.00;7188;100245;429732;400980;152;33;0;0;1890048;25699584;0.00;0.00;0.00;7383;100389;431088;401556;135;33;0;0;1835008;25779200;0.00;0.00;0.00;7168;100700;431472;402800;134;33;0;0;1858560;25737984;0.00;0.00;0.00;7260;100539;431196;402156;135;33;0;0;1879552;25863168;0.00;0.00;0.00;7342;101028;433480;404112;135;33;0;0;1846528;25831168;0.00;0.00;0.00;7213;100903;432464;403612;135;33;0;0;1976064;25950976;0.00;0.00;0.00;7719;101371;436360;405484;101;33;0;0;1862656;25847808;0.00;0.00;0.00;7276;100968;432976;403872;101;33;0;0;1851904;25941248;0.00;0.00;0.00;7234;101333;434268;405332;102;33;0;0;1881088;26011904;0.00;0.00;0.00;7348;101609;435828;406436;102;33;0;0;1773312;26043392;0.00;0.00;0.00;6927;101732;434636;406928;101;33;0;0;1835264;26108416;0.00;0.00;0.00;7169;101986;436620;407944;101;33;0;0;
1536014177;2195064454;1843968;25659904;0.00;0.00;0.00;7203;100234;429748;400936;134;33;0;0;1877248;25634304;0.00;0.00;0.00;7333;100134;429868;400536;134;33;0;0;1819136;25508864;0.00;0.00;0.00;7106;99644;427000;398576;135;33;0;0;1843712;25412864;0.00;0.00;0.00;7202;99269;425884;397076;135;33;0;0;1820416;25238016;0.00;0.00;0.00;7111;98586;422788;394344;135;33;0;0;1791232;25103104;0.00;0.00;0.00;6997;98059;420224;392236;135;33;0;0;1816576;24935168;0.00;0.00;0.00;7096;97403;417996;389612;101;33;0;0;1777920;24936704;0.00;0.00;0.00;6945;97409;417416;389636;101;33;0;0;1750272;24872960;0.00;0.00;0.00;6837;97160;415988;388640;101;33;0;0;1784832;24782848;0.00;0.00;0.00;6972;96808;415120;387232;102;33;0;0;1684992;24537856;0.00;0.00;0.00;6582;95851;409732;383404;102;33;0;0;1711616;24501248;0.00;0.00;0.00;6686;95708;409576;382832;103;33;0;0;
1536014178;2195060912;1836544;25671424;0.00;0.00;0.00;7174;100279;429812;401116;137;33;0;0;1859328;25681664;0.00;0.00;0.00;7263;100319;430328;401276;135;33;0;0;1829632;25688320;0.00;0.00;0.00;7147;100345;429968;401380;135;33;0;0;1850880;25711360;0.00;0.00;0.00;7230;100435;430660;401740;135;33;0;0;1871616;25703680;0.00;0.00;0.00;7311;100405;430864;401620;136;33;0;0;1824256;25857536;0.00;0.00;0.00;7126;101006;432528;404024;135;33;0;0;1933824;26031360;0.00;0.00;0.00;7554;101685;436956;406740;101;33;0;0;1885952;25889280;0.00;0.00;0.00;7367;101130;433988;404520;101;33;0;0;1847040;25844224;0.00;0.00;0.00;7215;100954;432676;403816;103;33;0;0;1872384;25794048;0.00;0.00;0.00;7314;100758;432288;403032;102;33;0;0;1781504;25709056;0.00;0.00;0.00;6959;100426;429540;401704;101;33;0;0;1828352;25954816;0.00;0.00;0.00;7142;101386;434112;405544;102;33;0;0;
1536014179;2195036170;1825024;25652224;0.00;0.00;0.00;7129;100204;429332;400816;137;33;0;0;1883136;25719808;0.00;0.00;0.00;7356;100468;431296;401872;135;33;0;0;1823232;25800448;0.00;0.00;0.00;7122;100783;431620;403132;134;33;0;0;1874176;25895168;0.00;0.00;0.00;7321;101153;433896;404612;134;33;0;0;1876736;25937920;0.00;0.00;0.00;7331;101320;434604;405280;136;33;0;0;1842944;25818624;0.00;0.00;0.00;7199;100854;432212;403416;134;33;0;0;1876480;25836032;0.00;0.00;0.00;7330;100922;433008;403688;102;33;0;0;1867008;25857536;0.00;0.00;0.00;7293;101006;433196;404024;102;33;0;0;1834496;25898240;0.00;0.00;0.00;7166;101165;433324;404660;102;33;0;0;1907968;25940736;0.00;0.00;0.00;7453;101331;435136;405324;102;33;0;0;1753088;25778688;0.00;0.00;0.00;6848;100698;430184;402792;101;33;0;0;1833472;25865472;0.00;0.00;0.00;7162;101037;432796;404148;101;33;0;0;
1536014180;2195031582;1856768;25665792;0.00;0.00;0.00;7253;100257;430040;401028;144;33;0;0;1878528;25665792;0.00;0.00;0.00;7338;100257;430380;401028;134;33;0;0;1805824;25539840;0.00;0.00;0.00;7054;99765;427276;399060;135;33;0;0;1844480;25502464;0.00;0.00;0.00;7205;99619;427296;398476;136;33;0;0;1835776;25449728;0.00;0.00;0.00;7171;99413;426336;397652;135;33;0;0;1805312;25553920;0.00;0.00;0.00;7052;99820;427488;399280;134;33;0;0;1925632;25563392;0.00;0.00;0.00;7522;99857;429516;399428;102;33;0;0;1833728;25434368;0.00;0.00;0.00;7163;99353;426064;397412;103;33;0;0;1783296;25401856;0.00;0.00;0.00;6966;99226;424768;396904;102;33;0;0;1848320;25398272;0.00;0.00;0.00;7220;99212;425728;396848;103;33;0;0;1747456;25318144;0.00;0.00;0.00;6826;98899;422900;395596;101;33;0;0;1803776;25447424;0.00;0.00;0.00;7046;99404;425800;397616;101;33;0;0;
1536014181;2195059442;1854976;25675520;0.00;0.00;0.00;7246;100295;430164;401180;137;33;0;0;1860096;25674496;0.00;0.00;0.00;7266;100291;430228;401164;135;33;0;0;1818112;25677312;0.00;0.00;0.00;7102;100302;429616;401208;135;33;0;0;1829888;25672960;0.00;0.00;0.00;7148;100285;429732;401140;134;33;0;0;1921280;25906688;0.00;0.00;0.00;7505;101198;434812;404792;134;33;0;0;1834496;25811200;0.00;0.00;0.00;7166;100825;431964;403300;134;33;0;0;1970944;25856256;0.00;0.00;0.00;7699;101001;434800;404004;102;33;0;0;1837568;25709056;0.00;0.00;0.00;7178;100426;430416;401704;101;33;0;0;1835264;25891328;0.00;0.00;0.00;7169;101138;433228;404552;101;33;0;0;1923072;25987328;0.00;0.00;0.00;7512;101513;436100;406052;101;33;0;0;1774592;25901568;0.00;0.00;0.00;6932;101178;432440;404712;101;33;0;0;1836800;25868800;0.00;0.00;0.00;7175;101050;432900;404200;102;33;0;0;
1536014182;2195054374;1847808;25663488;0.00;0.00;0.00;7218;100248;429864;400992;146;33;0;0;1860096;25668864;0.00;0.00;0.00;7266;100269;430140;401076;135;33;0;0;1844480;25686016;0.00;0.00;0.00;7205;100336;430164;401344;135;33;0;0;1858048;25803520;0.00;0.00;0.00;7258;100795;432212;403180;134;33;0;0;1863936;25719040;0.00;0.00;0.00;7281;100465;430984;401860;134;33;0;0;1842176;25658112;0.00;0.00;0.00;7196;100227;429692;400908;136;33;0;0;1958656;25654272;0.00;0.00;0.00;7651;100212;431452;400848;103;33;0;0;1862912;25563648;0.00;0.00;0.00;7277;99858;428540;399432;102;33;0;0;1833984;25567232;0.00;0.00;0.00;7164;99872;428144;399488;101;33;0;0;1874432;25617664;0.00;0.00;0.00;7322;100069;429564;400276;102;33;0;0;1747712;25467392;0.00;0.00;0.00;6827;99482;425236;397928;102;33;0;0;1826304;25592320;0.00;0.00;0.00;7134;99970;428416;399880;102;33;0;0;
