# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Sep  5 13:13:16 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536167597;2195099972;1863168;25751296;0.00;0.00;0.00;7278;100591;431476;402364;135;33;0;0;1894144;25894656;0.00;0.00;0.00;7399;101151;434200;404604;135;33;0;0;1836800;25955328;0.00;0.00;0.00;7175;101388;434252;405552;135;33;0;0;1875456;25987072;0.00;0.00;0.00;7326;101512;435352;406048;135;33;0;0;1856256;25824768;0.00;0.00;0.00;7251;100878;432516;403512;136;33;0;0;1824512;25754368;0.00;0.00;0.00;7127;100603;430920;402412;135;33;0;0;1852672;25712384;0.00;0.00;0.00;7237;100439;430704;401756;102;33;0;0;1882880;25701632;0.00;0.00;0.00;7355;100397;431008;401588;102;33;0;0;1824256;25592576;0.00;0.00;0.00;7126;99971;428388;399884;102;33;0;0;1838848;25447936;0.00;0.00;0.00;7183;99406;426356;397624;102;33;0;0;1824256;25440000;0.00;0.00;0.00;7126;99375;426004;397500;103;214;0;0;1795840;25510656;0.00;0.00;0.00;7015;99651;426664;398604;101;33;0;0;
1536167598;2196267524;1899008;26141696;0.00;0.00;0.00;7418;102116;438136;408464;134;33;0;0;2946304;40405248;0.00;0.00;0.00;11509;157833;677368;631332;135;33;0;0;3232000;45759232;0.00;0.00;0.00;12625;178747;765488;714988;135;33;0;0;3311104;46409472;0.00;0.00;0.00;12934;181287;776884;725148;134;33;0;0;3384064;47089920;0.00;0.00;0.00;13219;183945;788656;735780;134;33;0;0;3414528;47853056;0.00;0.00;0.00;13338;186926;801056;747704;136;33;0;0;3457280;48435200;0.00;0.00;0.00;13505;189200;810820;756800;102;33;0;0;4864256;66442240;0.00;0.00;0.00;19001;259540;1114164;1038160;102;33;0;0;4779520;67431680;0.00;0.00;0.00;18670;263405;1128300;1053620;102;33;0;0;4950784;68292096;0.00;0.00;0.00;19339;266766;1144420;1067064;101;33;0;0;2553452544;1528997120;0.48;0.34;0.35;9974424;5972645;63788276;23890580;19305937;9043746;0;0;4958208;69890816;0.00;0.00;0.00;19368;273011;1169516;1092044;101;33;0;0;
1536167602;8780210266;8762624;121269760;0.00;0.00;0.00;34229;473710;2031756;1894840;134;33;0;0;10615040;145867776;0.00;0.00;0.00;41465;569796;2445044;2279184;134;33;0;0;13333504;188272640;0.00;0.00;0.00;52084;735440;3150096;2941760;134;33;0;0;16578048;230857472;0.00;0.00;0.00;64758;901787;3866180;3607148;134;33;0;0;19855360;272532736;0.00;0.00;0.00;77560;1064581;4568564;4258324;134;33;0;0;22309120;314223616;0.00;0.00;0.00;87145;1227436;5258324;4909744;134;33;0;0;26256384;364591616;0.00;0.00;0.00;102564;1424186;6107000;5696744;101;33;0;0;28800000;391748352;0.00;0.00;0.00;112500;1530267;6571068;6121068;101;33;0;0;31538432;444321280;0.00;0.00;0.00;123197;1735630;7435308;6942520;101;33;0;0;35243520;488782592;0.00;0.00;0.00;137670;1909307;8187908;7637228;101;33;0;0;27750357760;17870605056;0.49;0.29;0.29;108399835;69807051;712827544;279228204;211379029;98171231;0;0;70418176;992528128;0.00;0.00;0.00;275071;3877063;16608536;15508252;101;33;0;0;
1536167666;140470694426;132805120;1835304704;0.00;0.00;0.00;518770;7169159;30751716;28676636;688;165;0;0;149843456;2060322304;0.00;0.00;0.00;585326;8048134;34533840;32192536;670;165;0;0;161298944;2273264896;0.00;0.00;0.00;630074;8879941;38040060;35519764;670;165;0;0;179103488;2489374976;0.00;0.00;0.00;699623;9724121;41694976;38896484;670;165;0;0;196270848;2699981568;0.00;0.00;0.00;766683;10546803;45253944;42187212;670;165;0;0;206084096;2904951808;0.00;0.00;0.00;805016;11347468;48609936;45389872;670;165;0;0;219874304;3046070784;0.00;0.00;0.00;858884;11898714;51030392;47594856;505;165;0;0;224525056;3060692736;0.00;0.00;0.00;877051;11955831;51331528;47823324;505;165;0;0;216884736;3053668352;0.00;0.00;0.00;847206;11928392;51102392;47713568;505;165;0;0;220600832;3059067136;0.00;0.00;0.00;861722;11949481;51244812;47797924;505;165;0;0;106751844096;70543778048;0.49;0.28;0.30;416999391;275561633;2770244096;1102246532;823517095;383645906;0;0;188347392;2653793536;0.00;0.00;0.00;735732;10366381;44408452;41465524;505;165;0;0;
1536167794;280940971972;224968448;3104016128;0.00;0.00;0.00;878783;12125063;52015384;48500252;686;165;0;0;210189056;2893012736;0.00;0.00;0.00;821051;11300831;48487528;45203324;670;165;0;0;189897984;2677004288;0.00;0.00;0.00;741789;10457048;44795348;41828192;670;165;0;0;176971776;2461539328;0.00;0.00;0.00;691296;9615388;41226736;38461552;670;165;0;0;164712192;2264618496;0.00;0.00;0.00;643407;8846166;37958292;35384664;670;165;0;0;146180864;2059363840;0.00;0.00;0.00;571019;8044390;34461636;32177560;671;165;0;0;138094080;1915372544;0.00;0.00;0.00;539430;7481924;32085416;29927696;505;165;0;0;140312832;1914324480;0.00;0.00;0.00;548097;7477830;32103708;29911320;505;165;0;0;135858176;1914407936;0.00;0.00;0.00;530696;7478156;32035408;29912624;505;165;0;0;137825024;1913467136;0.00;0.00;0.00;538379;7474481;32051440;29897924;507;165;0;0;80024358144;46217627392;0.54;0.29;0.34;312595149;180537607;1972531024;722150428;686680315;253967343;0;0;135968768;1916633856;0.00;0.00;0.00;531128;7486851;32071916;29947404;505;165;0;0;
1536167922;280940463194;250656512;3459642368;0.00;0.00;0.00;979127;13514228;57973420;54056912;688;165;0;0;265401856;3649218304;0.00;0.00;0.00;1036726;14254759;61165940;57019036;670;165;0;0;272051968;3834855680;0.00;0.00;0.00;1062703;14979905;64170432;59919620;670;165;0;0;289170176;4015558400;0.00;0.00;0.00;1129571;15685775;67261384;62743100;670;165;0;0;289671936;3983824640;0.00;0.00;0.00;1131531;15561815;66773384;62247260;670;165;0;0;279366144;3935542528;0.00;0.00;0.00;1091274;15373213;65857948;61492852;670;165;0;0;280178688;3882114816;0.00;0.00;0.00;1094448;15164511;65035836;60658044;505;165;0;0;281372160;3837162752;0.00;0.00;0.00;1099110;14988917;64352108;59955668;537;165;0;0;268713728;3782856448;0.00;0.00;0.00;1049663;14776783;63305784;59107132;505;165;0;0;268568832;3727635968;0.00;0.00;0.00;1049097;14561078;62440700;58244312;505;165;0;0;138693090304;90950260992;0.49;0.29;0.31;541769884;355274457;3588177364;1421097828;1070046075;496945374;0;0;257641984;3629992448;0.00;0.00;0.00;1006414;14179658;60744288;56718632;505;165;0;0;
1536168050;280940149732;223236096;3080741120;0.00;0.00;0.00;872016;12034145;51624644;48136580;682;165;0;0;206461952;2839484416;0.00;0.00;0.00;806492;11091736;47592912;44366944;670;165;0;0;184795136;2604300544;0.00;0.00;0.00;721856;10173049;43579620;40692196;670;165;0;0;171654400;2384191744;0.00;0.00;0.00;670525;9313249;39935096;37252996;672;165;0;0;172102912;2365034240;0.00;0.00;0.00;672277;9238415;39642768;36953660;671;165;0;0;167656960;2362832384;0.00;0.00;0.00;654910;9229814;39538896;36919256;671;165;0;0;170116352;2361520896;0.00;0.00;0.00;664517;9224691;39556832;36898764;505;165;0;0;173639424;2365251840;0.00;0.00;0.00;678279;9239265;39670176;36957060;505;165;0;0;167720704;2363173632;0.00;0.00;0.00;655159;9231147;39545224;36924588;505;165;0;0;170626304;2362064640;0.00;0.00;0.00;666509;9226815;39573296;36907260;505;165;0;0;272489446912;72215160064;0.13;0.09;0.13;1064411902;282090469;5386009484;1128361876;1222857731;309251037;0;0;167691776;2363652352;0.00;0.00;0.00;655046;9233017;39552252;36932068;505;165;0;0;
1536168178;280940199548;238040064;3285334784;0.00;0.00;0.00;929844;12833339;55052732;51333356;674;165;0;0;238872320;3285607680;0.00;0.00;0.00;933095;12834405;55070000;51337620;670;165;0;0;233020416;3284114176;0.00;0.00;0.00;910236;12828571;54955228;51314284;670;165;0;0;236435712;3285170176;0.00;0.00;0.00;923577;12832696;55025092;51330784;671;165;0;0;239022080;3286544128;0.00;0.00;0.00;933680;12838063;55086972;51352252;671;165;0;0;233185792;3284180992;0.00;0.00;0.00;910882;12828832;54958856;51315328;672;165;0;0;237086208;3282595328;0.00;0.00;0.00;926118;12822638;54995024;51290552;507;165;0;0;241297920;3286957312;0.00;0.00;0.00;942570;12839677;55128988;51358708;506;165;0;0;232993792;3283846400;0.00;0.00;0.00;910132;12827525;54950628;51310100;506;165;0;0;237019136;3282109696;0.00;0.00;0.00;925856;12820741;54986388;51282964;505;165;0;0;381844161024;103185603072;0.05;0.04;0.07;1491578754;403068762;7578590064;1612275048;1566568424;421522974;0;0;232998912;3283738112;0.00;0.00;0.00;910152;12827102;54949016;51308408;505;165;0;0;
1536168306;280940487850;238258176;3285648128;0.00;0.00;0.00;930696;12834563;55061036;51338252;677;165;0;0;238515456;3285418496;0.00;0.00;0.00;931701;12833666;55061468;51334664;673;165;0;0;233237760;3284486144;0.00;0.00;0.00;911085;12830024;54964436;51320096;670;165;0;0;236233728;3285287680;0.00;0.00;0.00;922788;12833155;55023772;51332620;670;165;0;0;238943232;3286847488;0.00;0.00;0.00;933372;12839248;55090480;51356992;670;165;0;0;233090816;3284268800;0.00;0.00;0.00;910511;12829175;54958744;51316700;671;165;0;0;236502528;3282199552;0.00;0.00;0.00;923838;12821092;54979720;51284368;506;165;0;0;242062848;3287789312;0.00;0.00;0.00;945558;12842927;55153940;51371708;508;165;0;0;233180672;3284347648;0.00;0.00;0.00;910862;12829483;54961380;51317932;506;165;0;0;236593152;3282217728;0.00;0.00;0.00;924192;12821163;54981420;51284652;506;165;0;0;385576331776;104970797056;0.08;0.04;0.07;1506157546;410042176;7664798888;1640168704;1629074274;426713880;0;0;232883968;3284124160;0.00;0.00;0.00;909703;12828610;54953252;51314440;506;165;0;0;
1536168434;280940349676;237734144;3285150976;0.00;0.00;0.00;928649;12832621;55045080;51330484;683;165;0;0;238895104;3285651456;0.00;0.00;0.00;933184;12834576;55071040;51338304;670;165;0;0;232869120;3283977472;0.00;0.00;0.00;909645;12828037;54950728;51312148;670;165;0;0;236600576;3285439232;0.00;0.00;0.00;924221;12833747;55031872;51334988;672;165;0;0;238840576;3286506240;0.00;0.00;0.00;932971;12837915;55083544;51351660;671;165;0;0;233024000;3284059648;0.00;0.00;0.00;910250;12828358;54954432;51313432;672;165;0;0;236717056;3282191872;0.00;0.00;0.00;924676;12821062;54982952;51284248;506;165;0;0;241453312;3287148800;0.00;0.00;0.00;943177;12840425;55134408;51361700;508;165;0;0;233240320;3284096000;0.00;0.00;0.00;911095;12828500;54958380;51314000;507;165;0;0;236666112;3282057984;0.00;0.00;0.00;924477;12820539;54980064;51282156;505;165;0;0;369342192128;104629327872;0.14;0.06;0.09;1442742938;408708312;7405805000;1634833248;1671779426;434849822;0;0;233242112;3284035072;0.00;0.00;0.00;911102;12828262;54957456;51313048;506;165;0;0;
