test, device, access, stride, pattern, starting cpu, ending cpu, buffer size, memory type, delay injection, latency, bandwidth
bw, pmem0p1, seq, 16, W2, 0, 23, 400000, pmem, 0, 1128.76, 4206.0
bw, pmem0p1, seq, 1024, R, 0, 23, 400000, pmem, 0, 8296.15, 1488.8
bw, pmem0p1, seq, 4096, W3, 0, 23, 400000, pmem, 0, 5513.07, 913.0
bw, pmem0p1, rand, 512, W6, 0, 23, 400000, pmem, 0, 1814.76, 396.5
bw, pmem0p1, seq, 64, W5, 0, 23, 400000, pmem, 0, 6903.28, 787.1
bw, pmem0p1, seq, 512, W5, 0, 23, 400000, pmem, 0, 6500.08, 669.3
bw, pmem0p1, seq, 256, W7, 0, 23, 400000, pmem, 0, 1182.06, 791.5
bw, pmem0p1, seq, 32, W10, 0, 23, 400000, pmem, 0, 225.52, 3313.8
bw, pmem0p1, seq, 16, W8, 0, 23, 400000, pmem, 0, 108.5, 3356.6
bw, pmem0p1, seq, 2048, W10, 0, 23, 400000, pmem, 0, 1286.65, 805.4
bw, pmem0p1, rand, 2048, W2, 0, 23, 400000, pmem, 0, 5972.3, 832.6
bw, pmem0p1, seq, 512, R, 0, 23, 400000, pmem, 0, 9085.51, 1317.3
bw, pmem0p1, seq, 2048, W3, 0, 23, 400000, pmem, 0, 5382.72, 906.1
bw, pmem0p1, seq, 32, W8, 0, 23, 400000, pmem, 0, 217.61, 2592.4
bw, pmem0p1, seq, 128, W5, 0, 23, 400000, pmem, 0, 6339.6, 713.0
bw, pmem0p1, seq, 32, W5, 0, 23, 400000, pmem, 0, 3792.18, 1580.4
bw, pmem0p1, seq, 64, W2, 0, 23, 400000, pmem, 0, 4942.09, 1033.0
bw, pmem0p1, seq, 16, R, 0, 23, 400000, pmem, 0, 1106.85, 16564.5
bw, pmem0p1, rand, 1024, R, 0, 23, 400000, pmem, 0, 5366.69, 1747.4
bw, pmem0p1, rand, 64, W6, 0, 23, 400000, pmem, 0, 1097.04, 426.0
bw, pmem0p1, rand, 64, W5, 0, 23, 400000, pmem, 0, 7029.09, 673.4
bw, pmem0p1, seq, 1024, W7, 0, 23, 400000, pmem, 0, 1253.75, 808.2
bw, pmem0p1, rand, 128, W6, 0, 23, 400000, pmem, 0, 1309.32, 413.3
bw, pmem0p1, seq, 2048, R, 0, 23, 400000, pmem, 0, 6255.86, 1504.7
bw, pmem0p1, seq, 1024, W5, 0, 23, 400000, pmem, 0, 7290.74, 667.5
bw, pmem0p1, seq, 256, R, 0, 23, 400000, pmem, 0, 9793.13, 1077.0
bw, pmem0p1, seq, 64, W7, 0, 23, 400000, pmem, 0, 816.81, 1576.2
bw, pmem0p1, rand, 4096, W2, 0, 23, 400000, pmem, 0, 5900.67, 829.1
bw, pmem0p1, seq, 2048, W6, 0, 23, 400000, pmem, 0, 1341.98, 405.5
bw, pmem0p1, seq, 32, W6, 0, 23, 400000, pmem, 0, 365.4, 1380.0
bw, pmem10, seq, 4096, W2, 0, 23, 400000, pmem, 0, 42689.13, 298.4
bw, pmem0p1, rand, 32, R, 0, 23, 400000, pmem, 0, 3448.38, 4296.1
bw, pmem0p1, rand, 256, W7, 0, 23, 400000, pmem, 0, 2588.34, 834.4
bw, pmem0p1, seq, 128, W10, 0, 23, 400000, pmem, 0, 805.46, 1075.2
bw, pmem0p1, seq, 64, W3, 0, 23, 400000, pmem, 0, 3601.64, 1248.3
bw, pmem0p1, rand, 1024, W5, 0, 23, 400000, pmem, 0, 7062.83, 666.0
bw, pmem0p1, rand, 1024, W2, 0, 23, 400000, pmem, 0, 6259.12, 834.1
bw, pmem0p1, seq, 32, R, 0, 23, 400000, pmem, 0, 2650.22, 8015.5
bw, pmem0p1, seq, 1024, W6, 0, 23, 400000, pmem, 0, 1358.66, 407.6
bw, pmem0p1, seq, 64, W10, 0, 23, 400000, pmem, 0, 823.55, 1534.3
bw, pmem0p1, seq, 512, W10, 0, 23, 400000, pmem, 0, 1143.32, 814.7
bw, pmem0p1, rand, 256, W6, 0, 23, 400000, pmem, 0, 1789.95, 396.5
bw, pmem0p1, seq, 4096, W5, 0, 23, 400000, pmem, 0, 7091.44, 661.1
bw, pmem0p1, seq, 128, W7, 0, 23, 400000, pmem, 0, 801.39, 1101.6
bw, pmem0p1, seq, 16, W3, 0, 23, 400000, pmem, 0, 855.09, 5189.1
bw, pmem0p1, seq, 128, R, 0, 23, 400000, pmem, 0, 6822.58, 1760.8
bw, pmem0p1, rand, 4096, W7, 0, 23, 400000, pmem, 0, 2509.79, 825.0
bw, pmem0p1, rand, 64, W7, 0, 23, 400000, pmem, 0, 1903.86, 853.9
bw, pmem0p1, rand, 256, R, 0, 23, 400000, pmem, 0, 5375.64, 1745.0
bw, pmem0p1, seq, 128, W3, 0, 23, 400000, pmem, 0, 3836.22, 992.5
bw, pmem0p1, seq, 512, W7, 0, 23, 400000, pmem, 0, 1142.98, 809.6
bw, pmem0p1, seq, 128, W6, 0, 23, 400000, pmem, 0, 1247.55, 514.0
bw, pmem0p1, seq, 16, W6, 0, 23, 400000, pmem, 0, 105.24, 2034.3
bw, pmem0p1, rand, 16, W2, 0, 23, 400000, pmem, 0, 1652.05, 3562.1
bw, pmem0p1, seq, 256, W2, 0, 23, 400000, pmem, 0, 5525.33, 769.2
bw, pmem0p1, seq, 256, W6, 0, 23, 400000, pmem, 0, 1301.01, 407.5
bw, pmem0p1, seq, 16, W7, 0, 23, 400000, pmem, 0, 109.15, 4638.1
bw, pmem0p1, seq, 64, R, 0, 23, 400000, pmem, 0, 6213.8, 3761.4
bw, pmem0p1, seq, 2048, W7, 0, 23, 400000, pmem, 0, 1286.9, 806.1
bw, pmem0p1, seq, 256, W10, 0, 23, 400000, pmem, 0, 1186.04, 785.6
bw, pmem10, rand, 4096, R, 0, 23, 400000, pmem, 0, 5679.02, 1727.8
bw, pmem0p1, seq, 32, W3, 0, 23, 400000, pmem, 0, 1727.19, 2528.8
bw, pmem0p1, seq, 256, W5, 0, 23, 400000, pmem, 0, 6933.36, 627.3
bw, pmem0p1, rand, 128, W2, 0, 23, 400000, pmem, 0, 5751.38, 840.7
bw, pmem0p1, seq, 512, W8, 0, 23, 400000, pmem, 0, 1179.27, 641.9
bw, pmem0p1, rand, 128, W5, 0, 23, 400000, pmem, 0, 7018.68, 670.8
bw, pmem0p1, rand, 512, W2, 0, 23, 400000, pmem, 0, 6080.29, 835.8
bw, pmem0p1, seq, 128, W2, 0, 23, 400000, pmem, 0, 4490.45, 865.4
bw, pmem0p1, seq, 4096, W2, 0, 23, 400000, pmem, 0, 5416.28, 817.6
bw, pmem0p1, seq, 4096, R, 0, 23, 400000, pmem, 0, 8241.11, 1455.1
bw, pmem0p1, seq, 4096, W8, 0, 23, 400000, pmem, 0, 1721.36, 628.5
bw, pmem0p1, seq, 512, W6, 0, 23, 400000, pmem, 0, 1268.2, 409.4
bw, pmem0p1, seq, 32, W7, 0, 23, 400000, pmem, 0, 229.3, 3376.6
bw, pmem0p1, rand, 512, W7, 0, 23, 400000, pmem, 0, 2537.82, 833.0
bw, pmem0p1, rand, 512, R, 0, 23, 400000, pmem, 0, 5340.34, 1746.3
