# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Sep  9 10:45:51 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536504352;2195066882;1979904;25857024;0.00;0.00;0.00;7734;101004;434952;404016;134;385;0;0;1863680;25745408;0.00;0.00;0.00;7280;100568;431392;402272;134;33;0;0;1832448;25828864;0.00;0.00;0.00;7158;100894;432208;403576;136;33;0;0;1986560;25970944;0.00;0.00;0.00;7760;101449;436836;405796;136;33;0;0;1907712;25935616;0.00;0.00;0.00;7452;101311;435052;405244;136;33;0;0;1820672;25762816;0.00;0.00;0.00;7112;100636;430992;402544;135;33;0;0;1943296;25731072;0.00;0.00;0.00;7591;100512;432412;402048;103;33;0;0;1915648;25640704;0.00;0.00;0.00;7483;100159;430568;400636;103;33;0;0;1804288;25547008;0.00;0.00;0.00;7048;99793;427364;399172;102;33;0;0;1920512;25582848;0.00;0.00;0.00;7502;99933;429740;399732;102;33;0;0;1850112;25505792;0.00;0.00;0.00;7227;99632;427436;398528;103;33;0;0;1809408;25500416;0.00;0.00;0.00;7068;99611;426716;398444;103;33;0;0;
1536504353;2195275206;434097152;1793023744;0.64;0.18;0.20;1695692;7003999;34798764;28015996;4696937;8592644;0;0;2975232;40777728;0.00;0.00;0.00;11622;159288;683640;637152;135;33;0;0;3568128;50440704;0.00;0.00;0.00;13938;197034;843888;788136;134;33;0;0;4700416;60325120;0.00;0.00;0.00;18361;235645;1016024;942580;134;33;0;0;5116160;70461696;0.00;0.00;0.00;19985;275241;1180904;1100964;134;33;0;0;5725440;80393984;0.00;0.00;0.00;22365;314039;1345616;1256156;135;33;0;0;6948608;91870464;0.00;0.00;0.00;27143;358869;1544048;1435476;102;33;0;0;7498496;102092544;0.00;0.00;0.00;29291;398799;1712360;1595196;102;33;0;0;7925248;111562496;0.00;0.00;0.00;30958;435791;1866996;1743164;102;33;0;0;9185280;121999104;0.00;0.00;0.00;35880;476559;2049756;1906236;102;33;0;0;9590528;132189696;0.00;0.00;0.00;37463;516366;2215316;2065464;102;33;0;0;10125312;142960384;0.00;0.00;0.00;39552;558439;2391964;2233756;102;33;0;0;
1536504361;17559139386;2960335360;12841942272;0.64;0.15;0.17;11563810;50163837;246910588;200655348;32322574;59307226;0;0;15177216;207294464;0.00;0.00;0.00;59286;809744;3476120;3238976;134;33;0;0;14765056;208048384;0.00;0.00;0.00;57676;812689;3481460;3250756;134;33;0;0;16537600;210718976;0.00;0.00;0.00;64600;823121;3550884;3292484;134;33;0;0;15358976;210138624;0.00;0.00;0.00;59996;820854;3523400;3283416;134;33;0;0;14927104;210114560;0.00;0.00;0.00;58309;820760;3516276;3283040;134;33;0;0;15830272;209738496;0.00;0.00;0.00;61837;819291;3524512;3277164;101;33;0;0;15320064;209176320;0.00;0.00;0.00;59844;817095;3507756;3268380;101;33;0;0;14888448;210048512;0.00;0.00;0.00;58158;820502;3514640;3282008;101;33;0;0;15858432;209647872;0.00;0.00;0.00;61947;818937;3523536;3275748;101;33;0;0;15178752;208639232;0.00;0.00;0.00;59292;814997;3497156;3259988;101;33;0;0;14720768;207669760;0.00;0.00;0.00;57503;811210;3474852;3244840;101;33;0;0;
1536504369;17559451084;2932326656;12738601472;0.64;0.15;0.16;11454401;49760162;244858252;199040648;31956771;58555231;0;0;15043584;204099584;0.00;0.00;0.00;58764;797264;3424112;3189056;134;33;0;0;14447872;203877376;0.00;0.00;0.00;56437;796396;3411332;3185584;134;33;0;0;16053504;204442112;0.00;0.00;0.00;62709;798602;3445244;3194408;134;33;0;0;14645248;201974528;0.00;0.00;0.00;57208;788963;3384684;3155852;134;33;0;0;14260224;201528832;0.00;0.00;0.00;55704;787222;3371704;3148888;134;33;0;0;15267584;201722880;0.00;0.00;0.00;59639;787980;3390476;3151920;101;33;0;0;14727680;200838912;0.00;0.00;0.00;57530;784527;3368228;3138108;101;33;0;0;14130944;199881216;0.00;0.00;0.00;55199;780786;3343940;3123144;101;33;0;0;15245824;201084672;0.00;0.00;0.00;59554;785487;3380164;3141948;101;33;0;0;14704640;200462336;0.00;0.00;0.00;57440;783056;3361984;3132224;101;33;0;0;14286080;201114112;0.00;0.00;0.00;55805;785602;3365628;3142408;101;33;0;0;
1536504377;17559061454;2937951232;12799089152;0.64;0.15;0.17;11476372;49996442;245891256;199985768;32077133;59057772;0;0;14854400;204635648;0.00;0.00;0.00;58025;799358;3429532;3197432;134;33;0;0;14390016;203604992;0.00;0.00;0.00;56211;795332;3406172;3181328;134;33;0;0;15728640;204776192;0.00;0.00;0.00;61440;799907;3445388;3199628;134;33;0;0;14835456;203348992;0.00;0.00;0.00;57951;794332;3409132;3177328;134;33;0;0;14415360;203438336;0.00;0.00;0.00;56310;794681;3403964;3178724;134;33;0;0;15476224;203998720;0.00;0.00;0.00;60454;796870;3429296;3187480;101;33;0;0;14943488;203405312;0.00;0.00;0.00;58373;794552;3411700;3178208;101;33;0;0;14422272;203421184;0.00;0.00;0.00;56337;794614;3403804;3178456;101;33;0;0;15387904;203889664;0.00;0.00;0.00;60109;796444;3426212;3185776;101;33;0;0;14794752;202944256;0.00;0.00;0.00;57792;792751;3402172;3171004;101;33;0;0;14338304;202438400;0.00;0.00;0.00;56009;790775;3387136;3163100;101;33;0;0;
1536504385;17559242690;2933009920;12801659904;0.64;0.15;0.17;11457070;50006484;245854216;200025936;32113830;59163341;0;0;15020032;206465024;0.00;0.00;0.00;58672;806504;3460704;3226016;134;33;0;0;14644736;206546176;0.00;0.00;0.00;57206;806821;3456108;3227284;134;33;0;0;16171776;207086336;0.00;0.00;0.00;63171;808931;3488408;3235724;134;33;0;0;15065344;206969344;0.00;0.00;0.00;58849;808474;3469292;3233896;134;33;0;0;14689792;207041280;0.00;0.00;0.00;57382;808755;3464548;3235020;134;33;0;0;15633152;207633664;0.00;0.00;0.00;61067;811069;3488544;3244276;101;33;0;0;15217664;207203840;0.00;0.00;0.00;59444;809390;3475336;3237560;101;33;0;0;14680064;206688000;0.00;0.00;0.00;57344;807375;3458876;3229500;101;33;0;0;15637504;207070208;0.00;0.00;0.00;61084;808868;3479808;3235472;101;33;0;0;15304448;207522560;0.00;0.00;0.00;59783;810635;3481672;3242540;101;33;0;0;14656512;206796800;0.00;0.00;0.00;57252;807800;3460208;3231200;101;33;0;0;
1536504393;17559168460;3229134336;12581171712;0.66;0.16;0.17;12613806;49145202;247036032;196580808;37019800;58189444;0;0;14428416;198008320;0.00;0.00;0.00;56361;773470;3319324;3093880;134;33;0;0;13627904;192369152;0.00;0.00;0.00;53234;751442;3218704;3005768;134;33;0;0;14428416;185773824;0.00;0.00;0.00;56361;725679;3128160;2902716;134;33;0;0;12849920;176080640;0.00;0.00;0.00;50195;687815;2952040;2751260;134;33;0;0;11740416;165727232;0.00;0.00;0.00;45861;647372;2772932;2589488;134;33;0;0;11789312;156454400;0.00;0.00;0.00;46052;611150;2628808;2444600;101;33;0;0;10754560;146875392;0.00;0.00;0.00;42010;573732;2462968;2294928;101;33;0;0;9713920;137196800;0.00;0.00;0.00;37945;535925;2295480;2143700;101;33;0;0;9724416;128315648;0.00;0.00;0.00;37986;501233;2156876;2004932;101;33;0;0;8851456;118009344;0.00;0.00;0.00;34576;460974;1982200;1843896;101;33;0;0;7676672;108325376;0.00;0.00;0.00;29987;423146;1812532;1692584;101;33;0;0;
1536504401;17558909742;39149525504;1578856704;0.41;0.42;0.49;152927834;6167409;636380972;24669636;259898355;10557150;0;0;14392064;196802304;0.00;0.00;0.00;56219;768759;3299912;3075036;134;33;0;0;13664768;192581632;0.00;0.00;0.00;53378;752272;3222600;3009088;134;33;0;0;15170304;191933952;0.00;0.00;0.00;59259;749742;3236004;2998968;134;33;0;0;13843456;190020096;0.00;0.00;0.00;54076;742266;3185368;2969064;134;33;0;0;13494272;189837312;0.00;0.00;0.00;52712;741552;3177056;2966208;135;33;0;0;14420736;190346240;0.00;0.00;0.00;56331;743540;3199484;2974160;102;33;0;0;14014976;189990144;0.00;0.00;0.00;54746;742149;3187580;2968596;102;33;0;0;13450752;189760768;0.00;0.00;0.00;52542;741253;3175180;2965012;101;33;0;0;14397952;190348032;0.00;0.00;0.00;56242;743547;3199156;2974188;101;33;0;0;14139136;190124288;0.00;0.00;0.00;55231;742673;3191616;2970692;102;33;0;0;13487872;189897728;0.00;0.00;0.00;52687;741788;3177900;2967152;101;33;0;0;
1536504409;17558921566;55996025344;433821952;0.00;0.00;0.00;218734474;1694617;881716364;6778468;218598722;187;0;0;14977024;205347584;0.00;0.00;0.00;58504;802139;3442572;3208556;134;33;0;0;14552320;205265664;0.00;0.00;0.00;56845;801819;3434656;3207276;134;33;0;0;16321280;206658304;0.00;0.00;0.00;63755;807259;3484056;3229036;134;33;0;0;15004416;205474304;0.00;0.00;0.00;58611;802634;3444980;3210536;135;33;0;0;14530560;205244416;0.00;0.00;0.00;56760;801736;3433984;3206944;135;33;0;0;15592448;205896448;0.00;0.00;0.00;60908;804283;3460764;3217132;101;33;0;0;15080448;205512960;0.00;0.00;0.00;58908;802785;3446772;3211140;102;33;0;0;14558464;205300480;0.00;0.00;0.00;56869;801955;3435296;3207820;101;33;0;0;15442688;205726208;0.00;0.00;0.00;60323;803618;3455764;3214472;101;33;0;0;15237632;205511424;0.00;0.00;0.00;59522;802779;3449204;3211116;101;33;0;0;14604544;205282816;0.00;0.00;0.00;57049;801886;3435740;3207544;101;33;0;0;
1536504417;17558901166;55994685440;433923584;0.00;0.00;0.00;218729240;1695014;881697016;6780056;218593140;776;0;0;14907392;205341184;0.00;0.00;0.00;58232;802114;3441384;3208456;134;33;0;0;14619392;205322752;0.00;0.00;0.00;57107;802042;3436596;3208168;134;33;0;0;16249600;206566400;0.00;0.00;0.00;63475;806900;3481500;3227600;134;33;0;0;15015680;205567744;0.00;0.00;0.00;58655;802999;3446616;3211996;135;33;0;0;14514176;205265664;0.00;0.00;0.00;56696;801819;3434060;3207276;134;33;0;0;15540992;205859840;0.00;0.00;0.00;60707;804140;3459388;3216560;101;33;0;0;15090944;205468160;0.00;0.00;0.00;58949;802610;3446236;3210440;101;33;0;0;14561280;205301504;0.00;0.00;0.00;56880;801959;3435356;3207836;101;33;0;0;15507456;205821184;0.00;0.00;0.00;60576;803989;3458260;3215956;101;33;0;0;14991104;205313536;0.00;0.00;0.00;58559;802006;3442260;3208024;103;33;0;0;14497024;205223424;0.00;0.00;0.00;56629;801654;3433132;3206616;102;33;0;0;
