# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep 10 03:27:52 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536564473;2195097476;91014912;408340480;0.60;0.20;0.25;355527;1595080;7802428;6380320;899930;1993880;0;0;2700032;37366784;0.00;0.00;0.00;10547;145964;626044;583856;135;33;0;0;3278592;45975808;0.00;0.00;0.00;12807;179593;769600;718372;135;33;0;0;3959552;55402240;0.00;0.00;0.00;15467;216415;927528;865660;135;33;0;0;4757248;64828672;0.00;0.00;0.00;18583;253237;1087280;1012948;135;33;0;0;5329152;75057152;0.00;0.00;0.00;20817;293192;1256036;1172768;135;33;0;0;6688000;85691904;0.00;0.00;0.00;26125;334734;1443436;1338936;102;33;0;0;7803392;104366848;0.00;0.00;0.00;30482;407683;1752660;1630732;102;33;0;0;8800768;123737088;0.00;0.00;0.00;34378;483348;2070904;1933392;102;33;0;0;11275776;144131584;0.00;0.00;0.00;44046;563014;2428240;2252056;102;33;0;0;11725056;160772864;0.00;0.00;0.00;45801;628019;2695280;2512076;102;33;0;0;12907264;181486848;0.00;0.00;0.00;50419;708933;3037408;2835732;102;33;0;0;
1536564481;17559320192;3102242048;13163688960;0.64;0.15;0.17;12118133;51420660;254155172;205682640;33332161;60793146;0;0;16320768;224801792;0.00;0.00;0.00;63753;878132;3767540;3512528;268;66;0;0;16788992;236345344;0.00;0.00;0.00;65582;923224;3955224;3692896;268;66;0;0;16985344;236444672;0.00;0.00;0.00;66349;923612;3959844;3694448;268;66;0;0;17443328;237734912;0.00;0.00;0.00;68138;928652;3987160;3714608;268;66;0;0;16873472;236867584;0.00;0.00;0.00;65912;925264;3964704;3701056;268;66;0;0;18379776;237594112;0.00;0.00;0.00;71796;928102;3999592;3712408;202;66;0;0;16951040;226928896;0.00;0.00;0.00;66215;886441;3810624;3545764;202;66;0;0;15429120;217175296;0.00;0.00;0.00;60270;848341;3634444;3393364;202;66;0;0;16238848;208431360;0.00;0.00;0.00;63433;814185;3510472;3256740;202;66;0;0;14541056;200156160;0.00;0.00;0.00;56801;781860;3354644;3127440;202;66;0;0;13358080;188354304;0.00;0.00;0.00;52180;735759;3151756;2943036;202;66;0;0;
1536564489;17559245994;2910601472;12474779904;0.64;0.15;0.17;11369537;48729609;240396584;194918436;31307733;57568645;0;0;13858816;190739968;0.00;0.00;0.00;54136;745078;3196856;2980312;134;33;0;0;12828928;180612608;0.00;0.00;0.00;50113;705518;3022524;2822072;134;33;0;0;12965888;180338432;0.00;0.00;0.00;50648;704447;3020380;2817788;134;33;0;0;13129728;179203328;0.00;0.00;0.00;51288;700013;3005204;2800052;134;33;0;0;12736768;179884800;0.00;0.00;0.00;49753;702675;3009712;2810700;134;33;0;0;14171136;181841664;0.00;0.00;0.00;55356;710319;3062700;2841276;101;33;0;0;14299904;192557824;0.00;0.00;0.00;55859;752179;3232152;3008716;101;33;0;0;14241792;200859392;0.00;0.00;0.00;55632;784607;3360956;3138428;101;33;0;0;16636672;213331456;0.00;0.00;0.00;64987;833326;3593252;3333304;101;33;0;0;16281600;222285312;0.00;0.00;0.00;63600;868302;3727608;3473208;101;33;0;0;16564992;232835072;0.00;0.00;0.00;64707;909512;3896876;3638048;101;33;0;0;
1536564497;17559131348;3044807424;13098538240;0.64;0.15;0.16;11893779;51166165;252239776;204664660;32820337;60256189;0;0;16101632;221138176;0.00;0.00;0.00;62897;863821;3706872;3455284;268;66;0;0;16342528;229949184;0.00;0.00;0.00;63838;898239;3848308;3592956;268;66;0;0;17242624;240111360;0.00;0.00;0.00;67354;937935;4021156;3751740;268;66;0;0;17541632;240424960;0.00;0.00;0.00;68522;939160;4030728;3756640;268;66;0;0;16982528;239137024;0.00;0.00;0.00;66338;934129;4001868;3736516;268;66;0;0;18708480;239540480;0.00;0.00;0.00;73080;935705;4035140;3742820;202;66;0;0;16946176;228418304;0.00;0.00;0.00;66196;892259;3833820;3569036;202;66;0;0;15561984;218894336;0.00;0.00;0.00;60789;855056;3663380;3420224;202;66;0;0;16249600;208259840;0.00;0.00;0.00;63475;813515;3507960;3254060;202;66;0;0;14893312;196986624;0.00;0.00;0.00;58177;769479;3310624;3077916;202;66;0;0;13252864;186475776;0.00;0.00;0.00;51769;728421;3120760;2913684;202;66;0;0;
1536564505;17559272940;2898312704;12473178624;0.64;0.15;0.17;11321534;48723354;240179552;194893416;31256414;57486734;0;0;13865472;190269440;0.00;0.00;0.00;54162;743240;3189608;2972960;134;33;0;0;12917760;181797120;0.00;0.00;0.00;50460;710145;3042420;2840580;134;33;0;0;12451072;172787968;0.00;0.00;0.00;48637;674953;2894360;2699812;134;33;0;0;12767744;173815808;0.00;0.00;0.00;49874;678968;2915368;2715872;134;33;0;0;12399872;174917120;0.00;0.00;0.00;48437;683270;2926828;2733080;134;33;0;0;14436864;185340416;0.00;0.00;0.00;56394;723986;3121520;2895944;101;33;0;0;14492416;197107200;0.00;0.00;0.00;56611;769950;3306244;3079800;134;33;0;0;15168512;213757184;0.00;0.00;0.00;59252;834989;3576964;3339956;101;33;0;0;17474816;224943872;0.00;0.00;0.00;68261;878687;3787792;3514748;101;33;0;0;17755904;233756672;0.00;0.00;0.00;69359;913112;3929884;3652448;101;33;0;0;17251328;243102208;0.00;0.00;0.00;67388;949618;4068024;3798472;101;33;0;0;
1536564513;17559234470;3011165952;12897338112;0.64;0.15;0.16;11762367;50380227;248570376;201520908;32626644;59277987;0;0;15386368;211915520;0.00;0.00;0.00;60103;827795;3551592;3311180;268;66;0;0;15105792;213314560;0.00;0.00;0.00;59007;833260;3569068;3333040;268;66;0;0;14870784;206760704;0.00;0.00;0.00;58089;807659;3462992;3230636;268;66;0;0;14414336;197488128;0.00;0.00;0.00;56306;771438;3310976;3085752;268;66;0;0;13260800;186767104;0.00;0.00;0.00;51800;729559;3125436;2918236;268;66;0;0;13081600;168174592;0.00;0.00;0.00;51100;656932;2832128;2627728;202;66;0;0;10802944;145279232;0.00;0.00;0.00;42199;567497;2438784;2269988;202;66;0;0;8422656;118821888;0.00;0.00;0.00;32901;464148;1988196;1856592;202;66;0;0;7799808;99896576;0.00;0.00;0.00;30468;390221;1682756;1560884;202;66;0;0;6195456;81382656;0.00;0.00;0.00;24201;317901;1368408;1271604;202;66;0;0;4366592;61583104;0.00;0.00;0.00;17057;240559;1030464;962236;202;66;0;0;
1536564521;17559094696;10946357248;6582978816;0.74;0.16;0.19;42759208;25714761;273895876;102859044;163808318;30713287;0;0;15557376;213678080;0.00;0.00;0.00;60771;834680;3581804;3338720;811;198;0;0;15584256;219617536;0.00;0.00;0.00;60876;857881;3675028;3431524;811;198;0;0;16964352;236054272;0.00;0.00;0.00;66267;922087;3953416;3688348;811;198;0;0;18703872;255146752;0.00;0.00;0.00;73062;996667;4278916;3986668;810;198;0;0;19438080;273461760;0.00;0.00;0.00;75930;1068210;4576560;4272840;810;198;0;0;22953216;295070464;0.00;0.00;0.00;89661;1152619;4969120;4610476;608;198;0;0;23380480;314536704;0.00;0.00;0.00;91330;1228659;5279956;4914636;612;198;0;0;23707648;334491392;0.00;0.00;0.00;92608;1306607;5596860;5226428;612;198;0;0;27776000;356600320;0.00;0.00;0.00;108500;1392970;6005880;5571880;612;198;0;0;27404544;374146560;0.00;0.00;0.00;107049;1461510;6274236;5846040;610;198;0;0;27958016;393915392;0.00;0.00;0.00;109211;1538732;6591772;6154928;610;198;0;0;
1536564537;35117848304;5912387584;25593283840;0.64;0.15;0.17;23095264;99973765;492276116;399895060;64256122;118071061;0;0;29967104;412290560;0.00;0.00;0.00;117059;1610510;6910276;6442040;268;66;0;0;29534976;415273216;0.00;0.00;0.00;115371;1622161;6950128;6488644;268;66;0;0;29935872;415825408;0.00;0.00;0.00;116937;1624318;6965020;6497272;268;66;0;0;30554112;416841216;0.00;0.00;0.00;119352;1628286;6990552;6513144;268;66;0;0;29650944;417132544;0.00;0.00;0.00;115824;1629424;6980992;6517696;268;66;0;0;32322304;417772288;0.00;0.00;0.00;126259;1631923;7032728;6527692;202;66;0;0;30813440;416005888;0.00;0.00;0.00;120365;1625023;6981552;6500092;202;66;0;0;29402112;414154752;0.00;0.00;0.00;114852;1617792;6930576;6471168;202;66;0;0;32248832;414980352;0.00;0.00;0.00;125972;1621017;6987956;6484068;202;66;0;0;29808896;412872960;0.00;0.00;0.00;116441;1612785;6916904;6451140;202;66;0;0;29214976;412070144;0.00;0.00;0.00;114121;1609649;6895080;6438596;202;66;0;0;
1536564553;35117716964;5870377216;25491695872;0.64;0.15;0.17;22931161;99576937;490032392;398307748;63911822;117521836;0;0;29782272;410526976;0.00;0.00;0.00;116337;1603621;6879832;6414484;268;66;0;0;29061888;409524736;0.00;0.00;0.00;113523;1599706;6852916;6398824;268;66;0;0;29545472;409709312;0.00;0.00;0.00;115412;1600427;6863356;6401708;268;66;0;0;29973248;409023744;0.00;0.00;0.00;117083;1597749;6859328;6390996;268;66;0;0;28989952;407743744;0.00;0.00;0.00;113242;1592749;6823964;6370996;268;66;0;0;31737088;408917760;0.00;0.00;0.00;123973;1597335;6885232;6389340;202;66;0;0;30019840;404680960;0.00;0.00;0.00;117265;1580785;6792200;6323140;202;66;0;0;28689920;404501248;0.00;0.00;0.00;112070;1580083;6768612;6320332;202;66;0;0;31204608;401057280;0.00;0.00;0.00;121893;1566630;6754092;6266520;202;66;0;0;28172032;388134656;0.00;0.00;0.00;110047;1516151;6504792;6064604;202;66;0;0;26375424;371620608;0.00;0.00;0.00;103029;1451643;6218688;5806572;202;66;0;0;
1536564569;35118016912;14826637312;23342728960;0.72;0.17;0.18;57916552;91182535;596396348;364730140;205828554;109327312;0;0;29802240;410032640;0.00;0.00;0.00;116415;1601690;6872420;6406760;268;66;0;0;29083136;409516800;0.00;0.00;0.00;113606;1599675;6853124;6398700;268;66;0;0;29436160;408767744;0.00;0.00;0.00;114985;1596749;6846936;6386996;268;66;0;0;30001920;409566976;0.00;0.00;0.00;117195;1599871;6868264;6399484;268;66;0;0;29148160;409904896;0.00;0.00;0.00;113860;1601191;6860204;6404764;268;66;0;0;32052224;413078272;0.00;0.00;0.00;125204;1613587;6955164;6454348;202;66;0;0;31050496;414448128;0.00;0.00;0.00;121291;1618938;6960916;6475752;202;66;0;0;29372672;414040064;0.00;0.00;0.00;114737;1617344;6928324;6469376;202;66;0;0;32751104;422299648;0.00;0.00;0.00;127934;1649608;7110168;6598432;202;66;0;0;31134720;431463168;0.00;0.00;0.00;121620;1685403;7228092;6741612;202;66;0;0;31754496;447612672;0.00;0.00;0.00;124041;1748487;7490112;6993948;202;66;0;0;
