# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep 10 03:03:10 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536562991;2195015100;1922560;25837312;0.00;0.00;0.00;7510;100927;433748;403708;135;231;0;0;1927424;25939712;0.00;0.00;0.00;7529;101327;435424;405308;134;33;0;0;1848576;25797632;0.00;0.00;0.00;7221;100772;431972;403088;134;33;0;0;1884672;25792768;0.00;0.00;0.00;7362;100753;432460;403012;136;33;0;0;1884160;25762304;0.00;0.00;0.00;7360;100634;431976;402536;135;33;0;0;1842944;25726720;0.00;0.00;0.00;7199;100495;430776;401980;135;33;0;0;1995520;25798912;0.00;0.00;0.00;7795;100777;434288;403108;102;33;0;0;1945856;25756928;0.00;0.00;0.00;7601;100613;432856;402452;103;33;0;0;2008832;25680640;0.00;0.00;0.00;7847;100315;432648;401260;103;33;0;0;2062592;25842944;0.00;0.00;0.00;8057;100949;436024;403796;103;33;0;0;1874176;25700352;0.00;0.00;0.00;7321;100392;430852;401568;103;33;0;0;1846528;25693184;0.00;0.00;0.00;7213;100364;430308;401456;103;33;0;0;
1536562992;2195249254;455748864;1893035776;0.64;0.18;0.19;1780269;7394671;36699760;29578684;4905469;9039283;0;0;3055104;41183488;0.00;0.00;0.00;11934;160873;691228;643492;135;33;0;0;3656192;51021312;0.00;0.00;0.00;14282;199302;854336;797208;135;33;0;0;4433920;61033984;0.00;0.00;0.00;17320;238414;1022936;953656;134;33;0;0;5172736;70179328;0.00;0.00;0.00;20206;274138;1177376;1096552;134;33;0;0;5673472;79292928;0.00;0.00;0.00;22162;309738;1327600;1238952;134;33;0;0;6779136;89280512;0.00;0.00;0.00;26481;348752;1500932;1395008;102;33;0;0;7234816;97601280;0.00;0.00;0.00;28261;381255;1638064;1525020;102;33;0;0;8422144;106413568;0.00;0.00;0.00;32899;415678;1794308;1662712;102;33;0;0;9336064;116841728;0.00;0.00;0.00;36469;456413;1971528;1825652;102;33;0;0;9033984;125579520;0.00;0.00;0.00;35289;490545;2103336;1962180;102;33;0;0;9700608;135518464;0.00;0.00;0.00;37893;529369;2269048;2117476;102;33;0;0;
1536563000;17559399932;2955755776;12765844480;0.64;0.16;0.17;11545921;49866580;245650004;199466320;32220260;59050025;0;0;15531264;205171712;0.00;0.00;0.00;60669;801452;3448484;3205808;134;33;0;0;14600448;204475904;0.00;0.00;0.00;57033;798734;3423068;3194936;134;33;0;0;14955776;205307904;0.00;0.00;0.00;58421;801984;3441620;3207936;134;33;0;0;15059200;205861376;0.00;0.00;0.00;58825;804146;3451884;3216584;134;33;0;0;14788608;205790464;0.00;0.00;0.00;57768;803869;3446548;3215476;134;33;0;0;15600128;205866752;0.00;0.00;0.00;60938;804167;3460420;3216668;101;33;0;0;15550208;207288320;0.00;0.00;0.00;60743;809720;3481852;3238880;101;33;0;0;16277248;207420928;0.00;0.00;0.00;63583;810238;3495284;3240952;101;33;0;0;16564736;209097728;0.00;0.00;0.00;64706;816788;3525976;3267152;101;33;0;0;15047936;208538368;0.00;0.00;0.00;58781;814603;3493536;3258412;101;33;0;0;14962944;208621824;0.00;0.00;0.00;58449;814929;3493512;3259716;101;33;0;0;
1536563008;17559685256;2937761792;12762221824;0.64;0.15;0.17;11475632;49852429;245312244;199409716;32000641;58950133;0;0;15153920;206239232;0.00;0.00;0.00;59195;805622;3459268;3222488;134;33;0;0;14727424;206045696;0.00;0.00;0.00;57529;804866;3449580;3219464;134;33;0;0;14923264;206220544;0.00;0.00;0.00;58294;805549;3455372;3222196;134;33;0;0;15116800;206761984;0.00;0.00;0.00;59050;807664;3466856;3230656;134;33;0;0;14819328;206957056;0.00;0.00;0.00;57888;808426;3465256;3233704;134;33;0;0;15718912;207594496;0.00;0.00;0.00;61402;810916;3489272;3243664;102;33;0;0;15606528;206836736;0.00;0.00;0.00;60963;807956;3475676;3231824;101;33;0;0;16264448;206155264;0.00;0.00;0.00;63533;805294;3475308;3221176;101;33;0;0;16491008;207848704;0.00;0.00;0.00;64418;811909;3505308;3247636;101;33;0;0;14895616;206529280;0.00;0.00;0.00;58186;806755;3459764;3227020;101;33;0;0;14869504;207126784;0.00;0.00;0.00;58084;809089;3468692;3236356;101;33;0;0;
1536563016;17559156592;2940856064;12814679296;0.64;0.15;0.17;11487719;50057341;246180240;200229364;32103673;58997449;0;0;15046400;206413568;0.00;0.00;0.00;58775;806303;3460312;3225212;134;33;0;0;14767360;205833472;0.00;0.00;0.00;57685;804037;3446888;3216148;134;33;0;0;14759168;204632832;0.00;0.00;0.00;57653;799347;3428000;3197388;134;33;0;0;14951936;204757504;0.00;0.00;0.00;58406;799834;3432960;3199336;134;33;0;0;14625536;204576000;0.00;0.00;0.00;57131;799125;3425024;3196500;134;33;0;0;15494400;204702208;0.00;0.00;0.00;60525;799618;3440572;3198472;101;33;0;0;15319040;202919168;0.00;0.00;0.00;59840;792653;3409972;3170612;101;33;0;0;15991808;202306304;0.00;0.00;0.00;62468;790259;3410908;3161036;101;33;0;0;16144640;203092992;0.00;0.00;0.00;63065;793332;3425588;3173328;101;33;0;0;14501120;201415424;0.00;0.00;0.00;56645;786779;3373696;3147116;101;33;0;0;14407680;200652800;0.00;0.00;0.00;56280;783800;3360320;3135200;101;33;0;0;
1536563024;17559236660;2925064960;12715310080;0.64;0.15;0.17;11426035;49669180;244380860;198676720;31898892;58727222;0;0;14769664;203018496;0.00;0.00;0.00;57694;793041;3402940;3172164;134;33;0;0;14551296;203712768;0.00;0.00;0.00;56841;795753;3410376;3183012;134;33;0;0;14798848;204968960;0.00;0.00;0.00;57808;800660;3433872;3202640;134;33;0;0;15030272;205397248;0.00;0.00;0.00;58712;802333;3444180;3209332;134;33;0;0;15540992;205607680;0.00;0.00;0.00;60707;803155;3455448;3212620;134;33;0;0;15757056;207801856;0.00;0.00;0.00;61551;811726;3493108;3246904;101;33;0;0;15735808;208910848;0.00;0.00;0.00;61468;816058;3510104;3264232;101;33;0;0;16480256;209028608;0.00;0.00;0.00;64376;816518;3523576;3266072;101;33;0;0;16590592;208879616;0.00;0.00;0.00;64807;815936;3522972;3263744;101;33;0;0;14869760;207202048;0.00;0.00;0.00;58085;809383;3469872;3237532;101;33;0;0;14947072;208420096;0.00;0.00;0.00;58387;814141;3490112;3256564;101;33;0;0;
1536563032;17559174196;3278608384;12582242560;0.66;0.16;0.17;12807064;49149385;247825796;196597540;37556260;58188204;0;0;14474240;198982400;0.00;0.00;0.00;56540;777275;3335260;3109100;134;33;0;0;13686016;192182016;0.00;0.00;0.00;53461;750711;3216688;3002844;134;33;0;0;13325824;184256256;0.00;0.00;0.00;52054;719751;3087220;2879004;134;33;0;0;12820992;174775296;0.00;0.00;0.00;50082;682716;2931192;2730864;134;33;0;0;13037056;164563456;0.00;0.00;0.00;50926;642826;2775008;2571304;134;33;0;0;11673600;154874880;0.00;0.00;0.00;45600;604980;2602320;2419920;101;33;0;0;10866688;145735680;0.00;0.00;0.00;42448;569280;2446912;2277120;101;33;0;0;10674688;135800320;0.00;0.00;0.00;41698;530470;2288672;2121880;101;33;0;0;10106624;128180736;0.00;0.00;0.00;39479;500706;2160740;2002824;101;33;0;0;8478464;117673728;0.00;0.00;0.00;33119;459663;1971128;1838652;101;33;0;0;7665408;107452416;0.00;0.00;0.00;29943;419736;1798716;1678944;101;33;0;0;
1536563040;17559135198;11552173312;10717837824;0.73;0.18;0.20;45125677;41866554;347968924;167466216;168168696;51189275;0;0;15716096;213697792;0.00;0.00;0.00;61391;834757;3584592;3339028;134;33;0;0;15522816;218333952;0.00;0.00;0.00;60636;852867;3654012;3411468;134;33;0;0;15942656;223349504;0.00;0.00;0.00;62276;872459;3738940;3489836;134;33;0;0;16980224;231719680;0.00;0.00;0.00;66329;905155;3885936;3620620;134;33;0;0;18774272;238980608;0.00;0.00;0.00;73337;933518;4027420;3734072;134;33;0;0;18917376;249383168;0.00;0.00;0.00;73896;974153;4192196;3896612;101;33;0;0;19353344;258575616;0.00;0.00;0.00;75599;1010061;4342640;4040244;101;33;0;0;21079808;267838464;0.00;0.00;0.00;82343;1046244;4514348;4184976;101;33;0;0;22096896;278559232;0.00;0.00;0.00;86316;1088122;4697752;4352488;101;33;0;0;20651520;286629376;0.00;0.00;0.00;80670;1119646;4801264;4478584;102;33;0;0;21210624;296280320;0.00;0.00;0.00;82854;1157345;4960796;4629380;102;33;0;0;
1536563048;17559243368;2949360896;12755782144;0.64;0.15;0.17;11520941;49827274;245392860;199309096;31971529;58876869;0;0;15277056;205061120;0.00;0.00;0.00;59676;801020;3442784;3204080;134;33;0;0;14731008;207282176;0.00;0.00;0.00;57543;809696;3468956;3238784;134;33;0;0;14989312;209989120;0.00;0.00;0.00;58552;820270;3515288;3281080;134;33;0;0;15460864;210803712;0.00;0.00;0.00;60394;823452;3535384;3293808;134;33;0;0;16688896;210802176;0.00;0.00;0.00;65191;823446;3554548;3293784;134;33;0;0;15867904;209500416;0.00;0.00;0.00;61984;818361;3521380;3273444;101;33;0;0;15677440;209179904;0.00;0.00;0.00;61240;817109;3513396;3268436;101;33;0;0;16376576;208912384;0.00;0.00;0.00;63971;816064;3520140;3264256;101;33;0;0;16694272;210782464;0.00;0.00;0.00;65212;823369;3554324;3293476;101;33;0;0;15012352;208632576;0.00;0.00;0.00;58642;814971;3494452;3259884;101;33;0;0;16371968;209050368;0.00;0.00;0.00;63953;816603;3522224;3266412;101;33;0;0;
1536563056;17559478112;2957012224;12799990016;0.64;0.15;0.17;11550829;49999961;246203160;199999844;32056054;59078744;0;0;15232512;205697280;0.00;0.00;0.00;59502;803505;3452028;3214020;134;33;0;0;14458368;203809792;0.00;0.00;0.00;56478;796132;3410440;3184528;134;33;0;0;14588672;203329280;0.00;0.00;0.00;56987;794255;3404968;3177020;134;33;0;0;14921216;204480768;0.00;0.00;0.00;58286;798753;3428156;3195012;134;33;0;0;16284160;205816832;0.00;0.00;0.00;63610;803972;3470328;3215888;134;33;0;0;15798528;208814080;0.00;0.00;0.00;61713;815680;3509572;3262720;101;33;0;0;15586560;207950336;0.00;0.00;0.00;60885;812306;3492764;3249224;101;33;0;0;16408832;208050432;0.00;0.00;0.00;64097;812697;3507176;3250788;101;33;0;0;16418816;208680960;0.00;0.00;0.00;64136;815160;3517184;3260640;101;33;0;0;14944512;207649280;0.00;0.00;0.00;58377;811130;3478028;3244520;101;33;0;0;16367104;207492352;0.00;0.00;0.00;63934;810517;3497804;3242068;101;33;0;0;
