# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Sep  9 09:58:15 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536501496;2195080798;1883648;25903360;0.00;0.00;0.00;7358;101185;434172;404740;135;603;0;0;1857536;25846016;0.00;0.00;0.00;7256;100961;432868;403844;135;33;0;0;1842944;25958144;0.00;0.00;0.00;7199;101399;434392;405596;135;33;0;0;1873408;26009088;0.00;0.00;0.00;7318;101598;435664;406392;136;33;0;0;1890048;26050304;0.00;0.00;0.00;7383;101759;436568;407036;136;33;0;0;1849856;26049792;0.00;0.00;0.00;7226;101757;435932;407028;136;33;0;0;1946368;26101504;0.00;0.00;0.00;7603;101959;438248;407836;103;33;0;0;1886976;26055936;0.00;0.00;0.00;7371;101781;436608;407124;103;33;0;0;1878016;26085376;0.00;0.00;0.00;7336;101896;436928;407584;103;33;0;0;1973248;26124800;0.00;0.00;0.00;7708;102050;439032;408200;103;33;0;0;1895424;26070528;0.00;0.00;0.00;7404;101838;436968;407352;102;33;0;0;1858816;26085376;0.00;0.00;0.00;7261;101896;436628;407584;103;33;0;0;
1536501497;2195154566;379585024;1571187968;0.64;0.18;0.20;1482754;6137453;30480828;24549812;4087212;7510735;0;0;3096576;42240256;0.00;0.00;0.00;12096;165001;708388;660004;135;33;0;0;3654912;51435776;0.00;0.00;0.00;14277;200921;860792;803684;135;33;0;0;4385536;61063424;0.00;0.00;0.00;17131;238529;1022640;954116;134;33;0;0;5248768;71135488;0.00;0.00;0.00;20503;277873;1193504;1111492;134;33;0;0;5756416;80832512;0.00;0.00;0.00;22486;315752;1352952;1263008;135;33;0;0;6636288;89650176;0.00;0.00;0.00;25923;350196;1504476;1400784;102;33;0;0;7292160;99334144;0.00;0.00;0.00;28485;388024;1666036;1552096;102;33;0;0;7747840;109331968;0.00;0.00;0.00;30265;427078;1829372;1708312;102;33;0;0;9066240;119526656;0.00;0.00;0.00;35415;466901;2009264;1867604;102;33;0;0;9313024;128950528;0.00;0.00;0.00;36379;503713;2160368;2014852;101;33;0;0;9869568;139200512;0.00;0.00;0.00;38553;543752;2329220;2175008;102;33;0;0;
1536501505;17559262832;2964781056;12802529792;0.64;0.15;0.17;11581176;50009882;246364232;200039528;32294557;59094183;0;0;14936576;205078528;0.00;0.00;0.00;58346;801088;3437736;3204352;134;33;0;0;14641152;205785344;0.00;0.00;0.00;57192;803849;3444164;3215396;134;33;0;0;14921728;207082240;0.00;0.00;0.00;58288;808915;3468812;3235660;134;33;0;0;15237632;208193792;0.00;0.00;0.00;59522;813257;3491116;3253028;134;33;0;0;14792192;208688384;0.00;0.00;0.00;57782;815189;3491884;3260756;134;33;0;0;15644672;210461184;0.00;0.00;0.00;61112;822114;3532904;3288456;101;33;0;0;15526400;211409920;0.00;0.00;0.00;60650;825820;3545880;3303280;101;33;0;0;15012864;211477248;0.00;0.00;0.00;58644;826083;3538908;3304332;101;33;0;0;16000768;212177664;0.00;0.00;0.00;62503;828819;3565288;3315276;101;33;0;0;15386368;212698112;0.00;0.00;0.00;60103;830852;3563820;3323408;101;33;0;0;15109632;212798208;0.00;0.00;0.00;59022;831243;3561060;3324972;101;33;0;0;
1536501513;17559221468;2933041664;12783669760;0.64;0.15;0.16;11457194;49936210;245573616;199744840;32016998;58710687;0;0;15005952;206045184;0.00;0.00;0.00;58617;804864;3453924;3219456;134;33;0;0;14571264;205658880;0.00;0.00;0.00;56919;803355;3441096;3213420;134;33;0;0;14723584;204806912;0.00;0.00;0.18;57514;800027;3430164;3200108;134;33;0;0;14930944;203984384;0.00;0.00;0.00;58324;796814;3420552;3187256;134;33;0;0;14391296;203160832;0.00;0.00;0.00;56216;793597;3399252;3174388;134;33;0;0;15258880;204376064;0.00;0.00;0.00;59605;798344;3431796;3193376;101;33;0;0;14832128;202877952;0.00;0.00;0.00;57938;792492;3401720;3169968;101;33;0;0;14354944;202704896;0.00;0.00;0.00;56074;791816;3391560;3167264;101;33;0;0;15465728;203933696;0.00;0.00;0.00;60413;796616;3428116;3186464;101;33;0;0;14578176;201895168;0.00;0.00;0.00;56946;788653;3382396;3154612;101;33;0;0;14336768;202077440;0.00;0.00;0.00;56003;789365;3381472;3157460;101;33;0;0;
1536501521;17559185492;2942325504;12817642752;0.64;0.15;0.17;11493459;50068917;246249504;200275668;32111860;59006813;0;0;14900992;204755968;0.00;0.00;0.00;58207;799828;3432140;3199312;134;33;0;0;14595072;205924864;0.00;0.00;0.00;57012;804394;3445624;3217576;134;33;0;0;14848256;206427648;0.00;0.00;0.00;58001;806358;3457436;3225432;134;33;0;0;15151104;207060736;0.00;0.00;0.00;59184;808831;3472060;3235324;134;33;0;0;14665984;206758400;0.00;0.00;0.00;57289;807650;3459756;3230600;134;33;0;0;15389952;206971648;0.00;0.00;0.00;60117;808483;3474400;3233932;101;33;0;0;15220480;207921920;0.00;0.00;0.00;59455;812195;3486600;3248780;101;33;0;0;14652672;206614272;0.00;0.00;0.00;57237;807087;3457296;3228348;101;33;0;0;15490560;205409024;0.00;0.00;0.00;60510;802379;3451556;3209516;101;33;0;0;14867712;205426944;0.00;0.00;0.00;58077;802449;3442104;3209796;101;33;0;0;14560512;205090048;0.00;0.00;0.00;56877;801133;3432040;3204532;101;33;0;0;
1536501529;17559044570;2930522368;12783461632;0.64;0.15;0.16;11447353;49935397;245531000;199741588;31977863;58670409;0;0;15073280;206499328;0.00;0.00;0.00;58880;806638;3462072;3226552;134;33;0;0;14609920;206133504;0.00;0.00;0.00;57070;805209;3449116;3220836;134;33;0;0;14829056;205911808;0.00;0.00;0.00;57926;804343;3449076;3217372;134;33;0;0;15102976;206486528;0.00;0.00;0.00;58996;806588;3462336;3226352;134;33;0;0;14480640;205065728;0.00;0.00;0.00;56565;801038;3430412;3204152;134;33;0;0;15356160;205655296;0.00;0.00;0.00;59985;803341;3453304;3213364;101;33;0;0;14970112;204570368;0.00;0.00;0.00;58477;799103;3430320;3196412;101;33;0;0;14548224;204907008;0.00;0.00;0.00;56829;800418;3428988;3201672;101;33;0;0;15651072;207046656;0.00;0.00;0.00;61137;808776;3479652;3235104;101;33;0;0;14995456;206720768;0.00;0.00;0.00;58576;807503;3464316;3230012;101;33;0;0;14635264;206504448;0.00;0.00;0.00;57169;806658;3455308;3226632;101;33;0;0;
1536501537;17559210460;2976110080;12665586944;0.65;0.15;0.17;11625430;49474949;244401516;197899796;32864256;58325032;0;0;14467840;198987776;0.00;0.00;0.00;56515;777296;3335244;3109184;134;33;0;0;13629696;192261376;0.00;0.00;0.00;53241;751021;3217048;3004084;134;33;0;0;13343488;185717504;0.00;0.00;0.00;52123;725459;3110328;2901836;134;33;0;0;12983296;177188352;0.00;0.00;0.00;50716;692142;2971432;2768568;134;33;0;0;12044544;169764352;0.00;0.00;0.00;47049;663142;2840764;2652568;134;33;0;0;11896064;159649024;0.00;0.00;0.00;46469;623629;2680392;2494516;101;33;0;0;11019264;149750528;0.00;0.00;0.00;43044;584963;2512028;2339852;101;33;0;0;9960192;140118784;0.00;0.00;0.00;38907;547339;2344984;2189356;101;33;0;0;9859328;130388480;0.00;0.00;0.00;38513;509330;2191372;2037320;101;33;0;0;8657664;119725056;0.00;0.00;0.00;33819;467676;2005980;1870704;101;33;0;0;7794176;110029824;0.00;0.00;0.00;30446;429804;1841000;1719216;101;33;0;0;
1536501545;17559198352;11830650880;10575545088;0.73;0.18;0.20;46213480;41310723;350096812;165242892;172649886;50468396;0;0;15333120;210019072;0.00;0.00;0.00;59895;820387;3521128;3281548;134;33;0;0;15303168;215800832;0.00;0.00;0.00;59778;842972;3611000;3371888;134;33;0;0;16098816;222789888;0.00;0.00;0.00;62886;870273;3732636;3481092;134;33;0;0;16804864;230042880;0.00;0.00;0.00;65644;898605;3856996;3594420;134;33;0;0;16962560;238557184;0.00;0.00;0.00;66260;931864;3992496;3727456;134;33;0;0;18520832;248222976;0.00;0.00;0.00;72347;969621;4167872;3878484;101;33;0;0;18887680;257599744;0.00;0.00;0.00;73780;1006249;4320116;4024996;101;33;0;0;18908928;266936832;0.00;0.00;0.00;73863;1042722;4466340;4170888;101;33;0;0;20973312;278083072;0.00;0.00;0.00;81927;1086262;4672756;4345048;101;33;0;0;20669184;286803200;0.00;0.00;0.00;80739;1120325;4804256;4481300;101;33;0;0;21021952;295971584;0.00;0.00;0.00;82117;1156139;4953024;4624556;101;33;0;0;
1536501553;17559087158;2982015232;12813782528;0.64;0.15;0.16;11648497;50053838;246809340;200215352;32083824;58955399;0;0;14966272;205835520;0.00;0.00;0.00;58462;804045;3450028;3216180;134;33;0;0;14665216;206554624;0.00;0.00;0.00;57286;806854;3456560;3227416;134;33;0;0;14898944;206648576;0.00;0.00;0.00;58199;807221;3461680;3228884;134;33;0;0;15159296;207417344;0.00;0.00;0.00;59216;810224;3477760;3240896;134;33;0;0;14757632;207289344;0.00;0.00;0.00;57647;809724;3469484;3238896;134;33;0;0;15534336;209020160;0.00;0.00;0.00;60681;816485;3508664;3265940;101;33;0;0;15297280;208556544;0.00;0.00;0.00;59755;814674;3497716;3258696;101;33;0;0;14807040;208845056;0.00;0.00;0.00;57840;815801;3494564;3263204;101;33;0;0;15816960;208787200;0.00;0.00;0.00;61785;815575;3509440;3262300;101;33;0;0;14993664;207403776;0.00;0.00;0.00;58569;810171;3474960;3240684;101;33;0;0;14875392;209129984;0.00;0.00;0.00;58107;816914;3500084;3267656;101;33;0;0;
1536501561;17559219186;2972525824;12754305024;0.64;0.15;0.16;11611429;49821504;245731732;199286016;31959488;58642515;0;0;14994176;206196480;0.00;0.00;0.00;58571;805455;3456104;3221820;134;33;0;0;14617856;205736960;0.00;0.00;0.00;57101;803660;3443044;3214640;134;33;0;0;14776064;204529408;0.00;0.00;0.00;57719;798943;3426648;3195772;134;33;0;0;14916096;204967936;0.00;0.00;0.00;58266;800656;3435688;3202624;134;33;0;0;14510336;204392704;0.00;0.00;0.00;56681;798409;3420360;3193636;134;33;0;0;15095552;203030272;0.00;0.00;0.00;58967;793087;3408216;3172348;101;33;0;0;14930944;203084288;0.00;0.00;0.00;58324;793298;3406488;3173192;101;33;0;0;14368512;202169600;0.00;0.00;0.00;56127;789725;3383408;3158900;101;33;0;0;15270144;202761728;0.00;0.00;0.00;59649;792038;3406748;3168152;101;33;0;0;14681344;203055616;0.00;0.00;0.00;57349;793186;3402140;3172744;101;33;0;0;14327296;201700096;0.00;0.00;0.00;55966;787891;3375428;3151564;101;33;0;0;
