# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Sep  9 13:15:59 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536513360;2195014518;1865984;26028544;0.00;0.00;0.00;7289;101674;435852;406696;135;1185;0;0;1882368;25916416;0.00;0.00;0.00;7353;101236;434356;404944;135;33;0;0;1829888;25984512;0.00;0.00;0.00;7148;101502;434600;406008;135;33;0;0;1880832;26074368;0.00;0.00;0.00;7347;101853;436800;407412;136;33;0;0;1884928;26104832;0.00;0.00;0.00;7363;101972;437340;407888;136;33;0;0;1847552;26132224;0.00;0.00;0.00;7217;102079;437184;408316;135;33;0;0;1959424;26370816;0.00;0.00;0.00;7654;103011;442660;412044;102;33;0;0;1958912;26484992;0.00;0.00;0.00;7652;103457;444436;413828;102;33;0;0;1882112;26520064;0.00;0.00;0.00;7352;103594;443784;414376;103;33;0;0;1955584;26605312;0.00;0.00;0.00;7639;103927;446264;415708;103;33;0;0;1903872;26582272;0.00;0.00;0.00;7437;103837;445096;415348;103;33;0;0;1886464;26612992;0.00;0.00;0.00;7369;103957;445304;415828;103;33;0;0;
1536513361;2195239724;240883968;1008714496;0.63;0.18;0.20;940953;3940291;19524976;15761164;2544364;4811339;0;0;2782464;38377984;0.00;0.00;0.00;10869;149914;643132;599656;135;33;0;0;3338496;47345920;0.00;0.00;0.00;13041;184945;791944;739780;135;33;0;0;4092928;56942336;0.00;0.00;0.00;15988;222431;953676;889724;134;33;0;0;4889344;67067136;0.00;0.00;0.00;19099;261981;1124320;1047924;135;33;0;0;5500672;77524992;0.00;0.00;0.00;21487;302832;1297276;1211328;134;33;0;0;6507264;87090432;0.00;0.00;0.00;25419;340197;1462464;1360788;102;33;0;0;7058944;96164096;0.00;0.00;0.00;27574;375641;1612860;1502564;102;33;0;0;7530240;106087680;0.00;0.00;0.00;29415;414405;1775280;1657620;101;33;0;0;8653056;116526336;0.00;0.00;0.00;33801;455181;1955928;1820724;101;33;0;0;9043968;125784320;0.00;0.00;0.00;35328;491345;2106692;1965380;102;33;0;0;9594880;135524096;0.00;0.00;0.00;37480;529391;2267484;2117564;102;33;0;0;
1536513369;17559213016;2987830016;12948839936;0.64;0.16;0.17;11671211;50581406;249010468;202325624;32659330;59925847;0;0;15052544;208159232;0.00;0.00;0.00;58799;813122;3487684;3252488;134;33;0;0;14825728;208816640;0.00;0.00;0.00;57913;815690;3494412;3262760;134;33;0;0;14997760;208687616;0.00;0.00;0.00;58585;815186;3495084;3260744;134;33;0;0;15208192;207845632;0.00;0.00;0.00;59407;811897;3485216;3247588;134;33;0;0;14547200;205765376;0.00;0.00;0.00;56825;803771;3442384;3215084;134;33;0;0;15297280;205741824;0.00;0.00;0.00;59755;803679;3453736;3214716;101;33;0;0;14956032;204521216;0.00;0.00;0.00;58422;798911;3429332;3195644;101;33;0;0;14397952;202828544;0.00;0.00;0.00;56242;792299;3394164;3169196;101;33;0;0;15130368;203473152;0.00;0.00;0.00;59103;794817;3415680;3179268;101;33;0;0;14726400;203776000;0.00;0.00;0.00;57525;796000;3414100;3184000;101;33;0;0;14445312;203701760;0.00;0.00;0.00;56427;795710;3408548;3182840;101;33;0;0;
1536513377;17559254138;2930929920;12764994816;0.64;0.15;0.17;11448945;49863261;245248824;199453044;31993847;58979978;0;0;14828032;205423616;0.00;0.00;0.00;57922;802436;3441432;3209744;134;33;0;0;14590208;205286656;0.00;0.00;0.00;56993;801901;3435576;3207604;134;33;0;0;14796032;206000128;0.00;0.00;0.00;57797;804688;3449940;3218752;134;33;0;0;15073280;206845696;0.00;0.00;0.00;58880;807991;3467484;3231964;134;33;0;0;14708736;207741184;0.00;0.00;0.00;57456;811489;3475780;3245956;134;33;0;0;15510784;208623616;0.00;0.00;0.00;60589;814936;3502100;3259744;101;33;0;0;15342080;209427200;0.00;0.00;0.00;59930;818075;3512020;3272300;101;33;0;0;14909696;210258176;0.00;0.00;0.00;58241;821321;3518248;3285284;101;33;0;0;15602688;210031872;0.00;0.00;0.00;60948;820437;3525540;3281748;101;33;0;0;14976768;207929344;0.00;0.00;0.00;58503;812224;3482908;3248896;101;33;0;0;14779648;208395264;0.00;0.00;0.00;57733;814044;3487108;3256176;101;33;0;0;
1536513385;17559554590;2937549824;12744101888;0.64;0.16;0.17;11474804;49781648;245025808;199126592;32006298;58938677;0;0;14807296;204715008;0.00;0.00;0.00;57841;799668;3430036;3198672;134;33;0;0;14449664;204035584;0.00;0.00;0.00;56444;797014;3413832;3188056;134;33;0;0;14692096;204113920;0.00;0.00;0.00;57391;797320;3418844;3189280;134;33;0;0;14889984;203725056;0.00;0.00;0.00;58164;795801;3415860;3183204;134;33;0;0;14437120;203784192;0.00;0.00;0.00;56395;796032;3409708;3184128;134;33;0;0;15326976;204956928;0.00;0.00;0.00;59871;800613;3441936;3202452;101;33;0;0;15098880;205716480;0.00;0.00;0.00;58980;803580;3450240;3214320;101;33;0;0;14595328;205501952;0.00;0.00;0.00;57013;802742;3439020;3210968;101;33;0;0;15419136;206505216;0.00;0.00;0.00;60231;806661;3467568;3226644;101;33;0;0;14839040;207143680;0.00;0.00;0.00;57965;809155;3468480;3236620;101;33;0;0;14699776;207121408;0.00;0.00;0.00;57421;809068;3465956;3236272;101;33;0;0;
1536513393;17559385544;2979443456;12888170496;0.64;0.15;0.17;11638451;50344416;247931468;201377664;32333921;59432321;0;0;15027456;207910400;0.00;0.00;0.00;58701;812150;3483404;3248600;134;33;0;0;14856448;209436928;0.00;0.00;0.00;58033;818113;3504584;3272452;134;33;0;0;14955520;209145344;0.00;0.00;0.00;58420;816974;3501576;3267896;134;33;0;0;15330560;209948928;0.00;0.00;0.00;59885;820113;3519992;3280452;134;33;0;0;14839808;209447680;0.00;0.00;0.00;57968;818155;3504492;3272620;134;33;0;0;15518464;208829184;0.00;0.00;0.00;60619;815739;3505432;3262956;101;33;0;0;15329536;209019392;0.00;0.00;0.00;59881;816482;3505452;3265928;101;33;0;0;14819840;208766464;0.00;0.00;0.00;57890;815494;3493536;3261976;101;33;0;0;15520256;208019968;0.00;0.00;0.00;60626;812578;3492816;3250312;101;33;0;0;14910208;207204096;0.00;0.00;0.00;58243;809391;3470536;3237564;101;33;0;0;14729728;207662080;0.00;0.00;0.00;57538;811180;3474872;3244720;101;33;0;0;
1536513401;17558949900;3035537920;12631374592;0.65;0.16;0.17;11857570;49341307;244795508;197365228;33586942;58402889;0;0;14471680;199533312;0.00;0.00;0.00;56530;779427;3343828;3117708;134;33;0;0;13763328;193503744;0.00;0.00;0.00;53763;755874;3238548;3023496;134;33;0;0;13520384;187914752;0.00;0.00;0.00;52814;734042;3147424;2936168;134;33;0;0;13280768;182048768;0.00;0.00;0.00;51878;711128;3052024;2844512;134;33;0;0;12314112;173372672;0.00;0.00;0.00;48102;677237;2901356;2708948;134;33;0;0;12329216;164634112;0.00;0.00;0.00;48161;643102;2765052;2572408;101;33;0;0;11260416;153908736;0.00;0.00;0.00;43986;601206;2580768;2404824;101;33;0;0;10264320;144633856;0.00;0.00;0.00;40095;564976;2420284;2259904;101;33;0;0;10160896;135745792;0.00;0.00;0.00;39691;530257;2279792;2121028;101;33;0;0;9068288;125834496;0.00;0.00;0.00;35423;491541;2107856;1966164;101;33;0;0;8214528;115940608;0.00;0.00;0.00;32088;452893;1939924;1811572;101;33;0;0;
1536513409;17558848846;36557006336;2140188672;0.47;0.37;0.43;142800806;8360112;604643672;33440448;271943885;13284450;0;0;14002688;193570560;0.00;0.00;0.00;54698;756135;3243332;3024540;134;33;0;0;13403136;189228544;0.00;0.00;0.00;52356;739174;3166120;2956696;134;33;0;0;13337856;185410048;0.00;0.00;0.00;52101;724258;3105436;2897032;134;33;0;0;13277696;181917440;0.00;0.00;0.00;51866;710615;3049924;2842460;134;33;0;0;12792064;180449536;0.00;0.00;0.00;49969;704881;3019400;2819524;134;33;0;0;13517568;180825600;0.00;0.00;0.00;52803;706350;3036612;2825400;101;33;0;0;13209344;180578304;0.00;0.00;0.00;51599;705384;3027932;2821536;101;33;0;0;12814848;180480512;0.00;0.00;0.00;50058;705002;3020240;2820008;102;33;0;0;13520128;180948224;0.00;0.00;0.00;52813;706829;3038568;2827316;102;33;0;0;12962816;180552192;0.00;0.00;0.00;50636;705282;3023672;2821128;101;33;0;0;12847104;180730624;0.00;0.00;0.00;50184;705979;3024652;2823916;102;33;0;0;
1536513417;17558859430;55791857920;434772736;0.15;0.00;0.00;217936945;1698331;878541104;6793324;257072475;12330;0;0;14900992;205291008;0.00;0.00;0.00;58207;801918;3440500;3207672;134;33;0;0;14566400;205128960;0.00;0.00;0.00;56900;801285;3432740;3205140;134;33;0;0;14725632;205145344;0.00;0.00;0.00;57522;801349;3435484;3205396;134;33;0;0;14992128;205252608;0.00;0.00;0.00;58563;801768;3441324;3207072;134;33;0;0;14540544;204929536;0.00;0.00;0.00;56799;800506;3429220;3202024;135;33;0;0;15360512;205218816;0.00;0.00;0.00;60002;801636;3446552;3206544;102;33;0;0;15044352;204799488;0.00;0.00;0.00;58767;799998;3435060;3199992;102;33;0;0;14515456;204446208;0.00;0.00;0.00;56701;798618;3421276;3194472;102;33;0;0;15190784;204633600;0.00;0.00;0.00;59339;799350;3434756;3197400;101;33;0;0;14679040;204163584;0.00;0.00;0.00;57340;797514;3419416;3190056;101;33;0;0;14489344;204234240;0.00;0.00;0.00;56599;797790;3417556;3191160;101;33;0;0;
1536513425;17558865776;55820686080;432855552;0.15;0.00;0.00;218049555;1690842;878961588;6763368;257166291;3798;0;0;14880512;205231360;0.00;0.00;0.00;58127;801685;3439248;3206740;134;33;0;0;14550784;205135616;0.00;0.00;0.00;56839;801311;3432600;3205244;134;33;0;0;14753280;205102080;0.00;0.00;0.00;57630;801180;3435240;3204720;135;33;0;0;14920192;205158656;0.00;0.00;0.00;58282;801401;3438732;3205604;136;33;0;0;14556928;205007616;0.00;0.00;0.00;56863;800811;3430696;3203244;135;33;0;0;15376128;205428224;0.00;0.00;0.00;60063;802454;3450068;3209816;102;33;0;0;14994944;205136896;0.00;0.00;0.00;58574;801316;3439560;3205264;103;33;0;0;14492416;204950272;0.00;0.00;0.00;56611;800587;3428792;3202348;102;33;0;0;15372800;205451776;0.00;0.00;0.00;60050;802546;3450384;3210184;102;33;0;0;14730496;204711680;0.00;0.00;0.00;57541;799655;3428784;3198620;102;33;0;0;14537984;204720384;0.00;0.00;0.00;56789;799689;3425912;3198756;101;33;0;0;
