# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Sep  9 13:09:24 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536512965;2195015394;1868544;25836032;0.00;0.00;0.00;7299;100922;432884;403688;135;385;0;0;1906176;25919232;0.00;0.00;0.00;7446;101247;434772;404988;135;33;0;0;1844224;25989376;0.00;0.00;0.00;7204;101521;434900;406084;135;33;0;0;1872640;26060288;0.00;0.00;0.00;7315;101798;436452;407192;136;33;0;0;1922560;26127104;0.00;0.00;0.00;7510;102059;438276;408236;136;33;0;0;1860608;26121984;0.00;0.00;0.00;7268;102039;437228;408156;136;33;0;0;1960704;26184448;0.00;0.00;0.00;7659;102283;439768;409132;103;33;0;0;1918208;26141440;0.00;0.00;0.00;7493;102115;438432;408460;103;33;0;0;1851648;26120960;0.00;0.00;0.00;7233;102035;437072;408140;103;33;0;0;1951232;26174976;0.00;0.00;0.00;7622;102246;439472;408984;103;33;0;0;1873408;26099712;0.00;0.00;0.00;7318;101952;437080;407808;103;33;0;0;1842688;26109952;0.00;0.00;0.00;7198;101992;436760;407968;103;33;0;0;
1536512966;2195238812;167552768;708526592;0.63;0.18;0.21;654503;2767682;13688740;11070728;1765915;3395610;0;0;2857728;38715904;0.00;0.00;0.00;11163;151234;649588;604936;134;33;0;0;3414528;48329728;0.00;0.00;0.00;13338;188788;808504;755152;135;33;0;0;4144384;57638144;0.00;0.00;0.00;16189;225149;965352;900596;134;33;0;0;4950528;67723008;0.00;0.00;0.00;19338;264543;1135524;1058172;134;33;0;0;5509120;77545984;0.00;0.00;0.00;21520;302914;1297736;1211656;134;33;0;0;6411520;86235648;0.00;0.00;0.00;25045;336858;1447612;1347432;102;33;0;0;6994176;94784512;0.00;0.00;0.00;27321;370252;1590292;1481008;102;33;0;0;7221248;101775616;0.00;0.00;0.00;28208;397561;1703076;1590244;102;33;0;0;8450560;112444672;0.00;0.00;0.00;33010;439237;1888988;1756948;102;33;0;0;8815104;122038016;0.00;0.00;0.00;34434;476711;2044580;1906844;102;33;0;0;9277184;130955264;0.00;0.00;0.00;36239;511544;2191132;2046176;102;33;0;0;
1536512974;17559085280;2983933440;12899741952;0.64;0.15;0.17;11655990;50389617;248182428;201558468;32527013;59611692;0;0;15216384;208605440;0.00;0.00;0.00;59439;814865;3497216;3259460;134;33;0;0;14782976;208174080;0.00;0.00;0.00;57746;813180;3483704;3252720;134;33;0;0;15040768;208496640;0.00;0.00;0.00;58753;814440;3492772;3257760;134;33;0;0;15143936;208415488;0.00;0.00;0.00;59156;814123;3493116;3256492;134;33;0;0;14750720;208098048;0.00;0.00;0.00;57620;812883;3482012;3251532;134;33;0;0;15588864;209548544;0.00;0.00;0.00;60894;818549;3517772;3274196;101;33;0;0;15445760;209996544;0.00;0.00;0.00;60335;820299;3522536;3281196;101;33;0;0;15070720;212455168;0.00;0.00;0.00;58870;829903;3555092;3319612;101;33;0;0;16016640;213128448;0.00;0.00;0.00;62565;832533;3580392;3330132;101;33;0;0;15227904;211720192;0.00;0.00;0.00;59484;827032;3546064;3308128;101;33;0;0;15074048;212937984;0.00;0.00;0.00;58883;831789;3562688;3327156;101;33;0;0;
1536512982;17559053148;2947075840;12793688320;0.64;0.15;0.17;11512015;49975345;245949440;199901380;32096281;59121981;0;0;15018496;205958400;0.00;0.00;0.00;58666;804525;3452764;3218100;134;33;0;0;14626048;205733888;0.00;0.00;0.00;57133;803648;3443124;3214592;134;33;0;0;14863104;206984192;0.00;0.00;0.00;58059;808532;3466364;3234128;134;33;0;0;15180544;207640064;0.00;0.00;0.00;59299;811094;3481572;3244376;134;33;0;0;14689792;207318528;0.00;0.00;0.00;57382;809838;3468880;3239352;134;33;0;0;15495168;208348928;0.00;0.00;0.00;60528;813863;3497564;3255452;101;33;0;0;15405056;209093888;0.00;0.00;0.00;60176;816773;3507796;3267092;101;33;0;0;14876416;209545984;0.00;0.00;0.00;58111;818539;3506600;3274156;101;33;0;0;15653888;209197568;0.00;0.00;0.00;61148;817178;3513304;3268712;101;33;0;0;15082240;206668032;0.00;0.00;0.00;58915;807297;3464848;3229188;101;33;0;0;14333440;202036992;0.00;0.00;0.00;55990;789207;3380788;3156828;101;33;0;0;
1536512990;17559205584;7380416256;11633874432;0.72;0.17;0.19;28829751;45444822;297098292;181779288;102473740;54888037;0;0;14879232;203932928;0.00;0.00;0.00;58122;796613;3418940;3186452;134;33;0;0;14456832;204035072;0.00;0.00;0.00;56472;797012;3413936;3188048;134;33;0;0;14655488;203481600;0.00;0.00;0.00;57248;794850;3408392;3179400;134;33;0;0;14885888;203569920;0.00;0.00;0.00;58148;795195;3413372;3180780;134;33;0;0;14440448;203933440;0.00;0.00;0.00;56408;796615;3412092;3186460;134;33;0;0;15231744;204612608;0.00;0.00;0.00;59499;799268;3435068;3197072;101;33;0;0;14972672;203055104;0.00;0.00;0.00;58487;793184;3406684;3172736;101;33;0;0;14312448;202179840;0.00;0.00;0.00;55908;789765;3382692;3159060;101;33;0;0;15309824;203433472;0.00;0.00;0.00;59804;794662;3417864;3178648;101;33;0;0;15035904;206207744;0.00;0.00;0.00;58734;805499;3456932;3221996;101;33;0;0;14956288;210554624;0.00;0.00;0.00;58423;822479;3523608;3289916;101;33;0;0;
1536512998;17558988558;2956134144;12802837760;0.64;0.15;0.17;11547399;50011085;246233936;200044340;32082809;59089801;0;0;15078144;206344704;0.00;0.00;0.00;58899;806034;3459732;3224136;134;33;0;0;14689536;206785280;0.00;0.00;0.00;57381;807755;3460544;3231020;134;33;0;0;14796800;205943552;0.00;0.00;0.00;57800;804467;3449068;3217868;134;33;0;0;14941184;205505536;0.00;0.00;0.00;58364;802756;3444480;3211024;134;33;0;0;14451968;203974912;0.00;0.00;0.00;56453;796777;3412920;3187108;134;33;0;0;15203840;203743744;0.00;0.00;0.00;59390;795874;3421056;3183496;101;33;0;0;15053568;204329984;0.00;0.00;0.00;58803;798164;3427868;3192656;101;33;0;0;14425856;203213056;0.00;0.00;0.00;56351;793801;3400608;3175204;101;33;0;0;15207168;202585856;0.00;0.00;0.00;59403;791351;3403016;3165404;101;33;0;0;14626304;200656640;0.00;0.00;0.00;57134;783815;3363796;3135260;101;33;0;0;14141952;199618304;0.00;0.00;0.00;55242;779759;3340004;3119036;101;33;0;0;
1536513006;17559265074;2973394944;12744711424;0.64;0.15;0.17;11614824;49784029;245595412;199136116;32502333;58881634;0;0;14829056;203613696;0.00;0.00;0.00;57926;795366;3413168;3181464;134;33;0;0;14264320;202125056;0.00;0.00;0.00;55720;789551;3381084;3158204;134;33;0;0;14463744;200934912;0.00;0.00;0.00;56499;784902;3365604;3139608;134;33;0;0;14274048;196520448;0.00;0.00;0.00;55758;767658;3293664;3070632;134;33;0;0;13590784;191433216;0.00;0.00;0.00;53089;747786;3203500;2991144;134;33;0;0;13806080;185168128;0.00;0.00;0.00;53930;723313;3108972;2893252;101;33;0;0;12917760;176815104;0.00;0.00;0.00;50460;690684;2964576;2762736;101;33;0;0;11911424;168016640;0.00;0.00;0.00;46529;656315;2811376;2625260;101;33;0;0;11990784;159428352;0.00;0.00;0.00;46839;622767;2678424;2491068;101;33;0;0;11021824;150710016;0.00;0.00;0.00;43054;588711;2527060;2354844;101;33;0;0;10082816;141940480;0.00;0.00;0.00;39386;554455;2375364;2217820;101;33;0;0;
1536513014;17559285668;7399515392;11710651648;0.72;0.19;0.21;28904357;45744733;298596360;182978932;102681289;56819793;0;0;15055104;206536192;0.00;0.00;0.00;58809;806782;3462364;3227128;134;33;0;0;14825728;208615168;0.00;0.00;0.00;57913;814903;3491264;3259612;134;33;0;0;15181312;210246400;0.00;0.00;0.00;59302;821275;3522308;3285100;134;33;0;0;15660288;215465472;0.00;0.00;0.00;61173;841662;3611340;3366648;134;33;0;0;15717120;221337088;0.00;0.00;0.00;61395;864598;3703972;3458392;134;33;0;0;17094144;228928768;0.00;0.00;0.00;66774;894253;3844108;3577012;101;33;0;0;17480448;237484032;0.00;0.00;0.00;68283;927672;3983820;3710688;101;33;0;0;17563904;247311104;0.00;0.00;0.00;68609;966059;4138672;3864236;102;33;0;0;19348736;257373952;0.00;0.00;0.00;75581;1005367;4323792;4021468;101;33;0;0;19309568;264974080;0.00;0.00;0.00;75428;1035055;4441932;4140220;101;33;0;0;19463936;274692096;0.00;0.00;0.00;76031;1073016;4596188;4292064;101;33;0;0;
1536513022;17559136158;2959691776;12768370688;0.64;0.15;0.17;11561296;49876448;245750976;199505792;31986608;58781921;0;0;14986752;205961216;0.00;0.00;0.00;58542;804536;3452312;3218144;134;33;0;0;14607872;205621760;0.00;0.00;0.00;57062;803210;3441088;3212840;134;33;0;0;14707200;204482048;0.00;0.00;0.00;57450;798758;3424832;3195032;134;33;0;0;14821120;203149568;0.00;0.00;0.00;57895;793553;3405792;3174212;134;33;0;0;14450944;203885568;0.00;0.00;0.00;56449;796428;3411508;3185712;134;33;0;0;15188480;204029952;0.00;0.00;0.00;59330;796992;3425288;3187968;101;33;0;0;14992640;203721728;0.00;0.00;0.00;58565;795788;3417412;3183152;101;33;0;0;14416896;203134976;0.00;0.00;0.00;56316;793496;3399248;3173984;101;33;0;0;15377664;204208640;0.00;0.00;0.00;60069;797690;3431036;3190760;101;33;0;0;14829056;205114112;0.00;0.00;0.00;57926;801227;3436612;3204908;101;33;0;0;14572288;205532672;0.00;0.00;0.00;56923;802862;3439140;3211448;101;33;0;0;
1536513030;17559071112;2949024256;12752292096;0.64;0.15;0.16;11519626;49813641;245333068;199254564;31938817;58689408;0;0;14923776;204381696;0.00;0.00;0.00;58296;798366;3426648;3193464;134;33;0;0;14580992;204958464;0.00;0.00;0.00;56957;800619;3430304;3202476;134;33;0;0;14885888;206920704;0.00;0.00;0.00;58148;808284;3465728;3233136;134;33;0;0;15335936;208677376;0.00;0.00;0.00;59906;815146;3500208;3260584;134;33;0;0;14657536;206772736;0.00;0.00;0.00;57256;807706;3459848;3230824;134;33;0;0;15458048;207159552;0.00;0.00;0.00;60383;809217;3478400;3236868;101;33;0;0;15154432;205627904;0.00;0.00;0.00;59197;803234;3449724;3212936;101;33;0;0;14498304;203742976;0.00;0.00;0.00;56634;795871;3410020;3183484;101;33;0;0;15154688;202575104;0.00;0.00;0.00;59198;791309;3402028;3165236;101;33;0;0;14642944;201655808;0.00;0.00;0.00;57199;787718;3379668;3150872;101;33;0;0;14299392;201022208;0.00;0.00;0.00;55857;785243;3364400;3140972;101;33;0;0;
