# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep 10 03:36:05 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536564966;2195018756;1882368;25767680;0.00;0.00;0.00;7353;100655;432032;402620;135;75;0;0;1881088;25930496;0.00;0.00;0.00;7348;101291;434556;405164;135;33;0;0;1853440;26014208;0.00;0.00;0.00;7240;101618;435432;406472;135;33;0;0;1898496;26106880;0.00;0.00;0.00;7416;101980;437584;407920;136;33;0;0;1930496;26163456;0.00;0.00;0.00;7541;102201;438968;408804;136;33;0;0;1874432;26162688;0.00;0.00;0.00;7322;102198;438080;408792;136;33;0;0;2055936;26278144;0.00;0.00;0.00;8031;102649;442720;410596;103;33;0;0;1856000;26146048;0.00;0.00;0.00;7250;102133;437532;408532;103;33;0;0;1847040;26137856;0.00;0.00;0.00;7215;102101;437264;408404;103;33;0;0;2064896;26289152;0.00;0.00;0.00;8066;102692;443032;410768;103;33;0;0;1847040;26138368;0.00;0.00;0.00;7215;102103;437272;408412;103;33;0;0;1864704;26155776;0.00;0.00;0.00;7284;102171;437820;408684;103;33;0;0;
1536564967;2195358282;437897728;1791598848;0.63;0.18;0.19;1710538;6998433;34835884;27993732;4623346;8502267;0;0;2959616;41082880;0.00;0.00;0.00;11561;160480;688164;641920;135;33;0;0;3613440;51011328;0.00;0.00;0.00;14115;199263;853512;797052;135;33;0;0;4425216;61080832;0.00;0.00;0.00;17286;238597;1023532;954388;134;33;0;0;5160704;70314496;0.00;0.00;0.00;20159;274666;1179300;1098664;134;33;0;0;5741824;80540928;0.00;0.00;0.00;22429;314613;1348168;1258452;135;33;0;0;7102976;91058944;0.00;0.00;0.00;27746;355699;1533780;1422796;102;33;0;0;7160320;100514048;0.00;0.00;0.00;27970;392633;1682412;1570532;101;33;0;0;7874048;111094784;0.00;0.00;0.00;30758;433964;1858888;1735856;102;33;0;0;9449216;122309120;0.00;0.00;0.00;36911;477770;2058724;1911080;102;33;0;0;9372416;131653120;0.00;0.00;0.00;36611;514270;2203524;2057080;102;33;0;0;10026240;141348096;0.00;0.00;0.00;39165;552141;2365224;2208564;102;33;0;0;
1536564975;17559200296;3048862720;13031289856;0.64;0.15;0.17;11909620;50903476;251252384;203613904;32833858;60099072;0;0;15993088;219675904;0.00;0.00;0.00;62473;858109;3682328;3432436;268;66;0;0;16339456;230430976;0.00;0.00;0.00;63826;900121;3855788;3600484;268;66;0;0;17275648;240048384;0.00;0.00;0.00;67483;937689;4020688;3750756;268;66;0;0;18343168;251112704;0.00;0.00;0.00;71653;980909;4210248;3923636;268;66;0;0;18510336;261551104;0.00;0.00;0.00;72306;1021684;4375960;4086736;268;66;0;0;21904384;275106560;0.00;0.00;0.00;85564;1074635;4640796;4298540;202;66;0;0;20060160;283164160;0.00;0.00;0.00;78360;1106110;4737880;4424440;204;66;0;0;20768768;292634880;0.00;0.00;0.00;81128;1143105;4896932;4572420;234;66;0;0;23347456;303365632;0.00;0.00;0.00;91201;1185022;5104892;4740088;202;66;0;0;21420032;302174464;0.00;0.00;0.00;83672;1180369;5056164;4721476;202;66;0;0;21368320;301692416;0.00;0.00;0.00;83470;1178486;5047824;4713944;202;66;0;0;
1536564991;35118137332;5964269312;25631520768;0.64;0.15;0.17;23297927;100123128;493684220;400492512;64261696;118091359;0;0;30006784;413146880;0.00;0.00;0.00;117214;1613855;6924276;6455420;268;66;0;0;29328384;412722688;0.00;0.00;0.00;114564;1612198;6907048;6448792;268;66;0;0;29734656;413057024;0.00;0.00;0.00;116151;1613504;6918620;6454016;268;66;0;0;30318592;413992960;0.00;0.00;0.00;118432;1617160;6942368;6468640;268;66;0;0;29316864;413587456;0.00;0.00;0.00;114519;1615576;6920380;6462304;268;66;0;0;32908544;414086912;0.00;0.00;0.00;128549;1617527;6984304;6470108;202;66;0;0;29227776;411510528;0.00;0.00;0.00;114171;1607463;6886536;6429852;202;66;0;0;29196800;411930624;0.00;0.00;0.00;114050;1609104;6892616;6436416;202;66;0;0;32075776;415032064;0.00;0.00;0.00;125296;1621219;6986060;6484876;202;66;0;0;30885120;414554624;0.00;0.00;0.00;120645;1619354;6959996;6477416;202;66;0;0;29438720;414769920;0.00;0.00;0.00;114995;1620195;6940760;6480780;202;66;0;0;
1536565007;35117951636;6084144640;25055607808;0.65;0.15;0.17;23766190;97873468;486558632;391493872;67044591;115371626;0;0;28432128;391821568;0.00;0.00;0.00;111063;1530553;6566464;6122212;268;66;0;0;26742272;376952832;0.00;0.00;0.00;104462;1472472;6307736;5889888;268;66;0;0;25710592;358097920;0.00;0.00;0.00;100432;1398820;5997008;5595280;268;66;0;0;24695040;338094848;0.00;0.00;0.00;96465;1320683;5668592;5282732;268;66;0;0;22474752;316672768;0.00;0.00;0.00;87792;1237003;5299180;4948012;268;66;0;0;23388672;298742016;0.00;0.00;0.00;91362;1166961;5033292;4667844;202;66;0;0;21328896;277697024;0.00;0.00;0.00;83316;1084754;4672280;4339016;202;66;0;0;18215424;257191936;0.00;0.00;0.00;71154;1004656;4303240;4018624;202;66;0;0;18320128;236986624;0.00;0.00;0.00;71563;925729;3989168;3702916;203;66;0;0;17082624;226647552;0.00;0.00;0.00;66729;885342;3808284;3541368;203;66;0;0;15311616;215537664;0.00;0.00;0.00;59811;841944;3607020;3367776;202;66;0;0;
1536565023;35117891232;14734181888;23767693312;0.72;0.17;0.18;57555398;92842552;601591800;371370208;202762995;111671851;0;0;31111936;429062400;0.00;0.00;0.00;121531;1676025;7190224;6704100;268;66;0;0;31357440;441784832;0.00;0.00;0.00;122490;1725722;7392848;6902888;268;66;0;0;33271808;460948480;0.00;0.00;0.00;129968;1800580;7722192;7202320;268;66;0;0;35252736;481230848;0.00;0.00;0.00;137706;1879808;8070056;7519232;268;66;0;0;35463168;500415488;0.00;0.00;0.00;138528;1954748;8373104;7818992;268;66;0;0;41330432;522838272;0.00;0.00;0.00;161447;2042337;8815136;8169348;202;66;0;0;45608192;539025408;0.00;0.00;0.00;178157;2105568;9134900;8422272;203;66;0;0;39584256;558025216;0.00;0.00;0.00;154626;2179786;9337648;8719144;202;66;0;0;45031680;580619264;0.00;0.00;0.00;175905;2268044;9775796;9072176;202;66;0;0;45155072;590536704;0.00;0.00;0.00;176387;2306784;9932684;9227136;202;66;0;0;42493440;598310656;0.00;0.00;0.00;165990;2337151;10012564;9348604;202;66;0;0;
1536565039;35117814432;5959586304;25554644992;0.64;0.15;0.17;23279634;99822832;492409864;399291328;64035522;117682448;0;0;29808128;410356224;0.00;0.00;0.00;116438;1602954;6877568;6411816;268;66;0;0;29064960;410641664;0.00;0.00;0.00;113535;1604069;6870416;6416276;268;66;0;0;29647616;411623680;0.00;0.00;0.00;115811;1607905;6894864;6431620;268;66;0;0;30142720;412257280;0.00;0.00;0.00;117745;1610380;6912500;6441520;268;66;0;0;29307648;413396224;0.00;0.00;0.00;114483;1614829;6917248;6459316;268;66;0;0;32919040;419970816;0.00;0.00;0.00;128590;1640511;7076404;6562044;202;66;0;0;35364096;420543488;0.00;0.00;0.00;138141;1642748;7123556;6570992;203;66;0;0;29772800;419210240;0.00;0.00;0.00;116300;1637540;7015360;6550160;202;66;0;0;32447488;419267072;0.00;0.00;0.00;126748;1637762;7058040;6551048;202;66;0;0;30526464;416679680;0.00;0.00;0.00;119244;1627655;6987596;6510620;202;66;0;0;29532928;415926528;0.00;0.00;0.00;115363;1624713;6960304;6498852;202;66;0;0;
1536565055;35117904800;13751178496;18398305536;0.72;0.16;0.18;53715541;71868381;502335688;287473524;195062669;85963034;0;0;27545856;378958848;0.00;0.00;0.00;107601;1480308;6351636;5921232;540;132;0;0;25567232;359960320;0.00;0.00;0.00;99872;1406095;6023868;5624380;542;132;0;0;24356864;339353856;0.00;0.00;0.00;95144;1325601;5682980;5302404;539;132;0;0;23340544;319301632;0.00;0.00;0.00;91174;1247272;5353784;4989088;541;132;0;0;21030656;297162240;0.00;0.00;0.00;82151;1160790;4971764;4643160;541;132;0;0;22021632;275276800;0.00;0.00;0.00;86022;1075300;4645288;4301200;411;132;0;0;18651648;252492800;0.00;0.00;0.00;72858;986300;4236632;3945200;410;132;0;0;16544000;233347584;0.00;0.00;0.00;64625;911514;3904556;3646056;411;132;0;0;16794880;216199680;0.00;0.00;0.00;65605;844530;3640540;3378120;411;132;0;0;15625216;206551040;0.00;0.00;0.00;61036;806840;3471504;3227360;411;132;0;0;13870592;195906048;0.00;0.00;0.00;54182;765258;3277760;3061032;411;132;0;0;
1536565071;35117926184;6008642048;25784476416;0.64;0.16;0.17;23471258;100720611;496767476;402882444;64993215;119309071;0;0;31693312;437023744;0.00;0.00;0.00;123802;1707124;7323704;6828496;403;99;0;0;32386048;456193536;0.00;0.00;0.00;126508;1782006;7634056;7128024;403;99;0;0;34337024;476177152;0.00;0.00;0.00;134129;1860067;7976784;7440268;402;99;0;0;36268800;495125760;0.00;0.00;0.00;141675;1934085;8303040;7736340;402;99;0;0;36428032;513652480;0.00;0.00;0.00;142297;2006455;8595008;8025820;403;99;0;0;42373632;535562240;0.00;0.00;0.00;165522;2092040;9030248;8368160;304;99;0;0;41753088;551849472;0.00;0.00;0.00;163098;2155662;9275040;8622648;304;99;0;0;40498688;569784064;0.00;0.00;0.00;158198;2225719;9535668;8902876;304;99;0;0;46183936;591968768;0.00;0.00;0.00;180406;2312378;9971136;9249512;304;99;0;0;46007040;609905664;0.00;0.00;0.00;179715;2382444;10248636;9529776;304;99;0;0;44526592;626549504;0.00;0.00;0.00;173932;2447459;10485564;9789836;304;99;0;0;
1536565087;35117923984;5915235328;25517800448;0.64;0.15;0.17;23106388;99678908;491141184;398715632;64011316;117877686;0;0;29750528;410618112;0.00;0.00;0.00;116213;1603977;6880760;6415908;268;66;0;0;29195776;410980096;0.00;0.00;0.00;114046;1605391;6877748;6421564;268;66;0;0;29573376;409787392;0.00;0.00;0.00;115521;1600732;6865012;6402928;268;66;0;0;29838592;408755456;0.00;0.00;0.00;116557;1596701;6853032;6386804;268;66;0;0;29014528;408243200;0.00;0.00;0.00;113338;1594700;6832152;6378800;268;66;0;0;32520960;412567552;0.00;0.00;0.00;127035;1611592;6954508;6446368;202;66;0;0;31293696;412342528;0.00;0.00;0.00;122241;1610713;6931816;6442852;202;66;0;0;29120768;410346240;0.00;0.00;0.00;113753;1602915;6866672;6411660;202;66;0;0;32079616;412033024;0.00;0.00;0.00;125311;1609504;6939260;6438016;202;66;0;0;30018816;411427328;0.00;0.00;0.00;117261;1607138;6897596;6428552;202;66;0;0;29118720;410132480;0.00;0.00;0.00;113745;1602080;6863300;6408320;202;66;0;0;
