# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep 10 04:11:56 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536567117;2195061418;1892864;25749760;0.00;0.00;0.00;7394;100585;431916;402340;137;33;0;0;1894656;25892608;0.00;0.00;0.00;7401;101143;434176;404572;135;33;0;0;1845504;25967104;0.00;0.00;0.00;7209;101434;434572;405736;135;33;0;0;1869568;26034944;0.00;0.00;0.00;7303;101699;436008;406796;135;33;0;0;1936128;26110976;0.00;0.00;0.00;7563;101996;438236;407984;136;33;0;0;1840128;26074368;0.00;0.00;0.00;7188;101853;436164;407412;136;33;0;0;1948160;26159616;0.00;0.00;0.00;7610;102186;439184;408744;103;33;0;0;1892352;26106112;0.00;0.00;0.00;7392;101977;437476;407908;103;33;0;0;1860096;26113536;0.00;0.00;0.00;7266;102006;437088;408024;103;33;0;0;1957376;26169344;0.00;0.00;0.00;7646;102224;439480;408896;103;33;0;0;1880064;26199296;0.00;0.00;0.00;7344;102341;438740;409364;103;410;0;0;1842432;26096128;0.00;0.00;0.00;7197;101938;436540;407752;103;33;0;0;
1536567118;2195182330;2853120;39004416;0.00;0.00;0.00;11145;152361;654024;609444;137;33;0;0;2875392;40113664;0.00;0.00;0.00;11232;156694;671704;626776;134;33;0;0;2876160;40660736;0.00;0.00;0.00;11235;158831;680264;635324;136;33;0;0;4079360;56901376;0.00;0.00;0.00;15935;222271;952824;889084;135;33;0;0;4226816;58290944;0.00;0.00;0.00;16511;227699;976840;910796;134;33;0;0;4187904;59052800;0.00;0.00;0.00;16359;230675;988136;922700;134;33;0;0;4509184;59968768;0.00;0.00;0.00;17614;234253;1007468;937012;102;33;0;0;4532992;61520640;0.00;0.00;0.00;17707;240315;1032088;961260;102;33;0;0;4423680;62425344;0.00;0.00;0.00;17280;243849;1044516;975396;103;33;0;0;5814784;77351168;0.00;0.00;0.00;22714;302153;1299468;1208612;102;33;0;0;2286733824;1417012480;0.48;0.34;0.35;8932554;5535205;57871036;22140820;17264674;8327913;0;0;5633024;79492864;0.00;0.00;0.00;22004;310519;1330092;1242076;103;33;0;0;
1536567122;8781302956;8755456;119312128;0.00;0.00;0.00;34201;466063;2001056;1864252;134;33;0;0;11789824;162246912;0.00;0.00;0.00;46054;633777;2719324;2535108;134;33;0;0;14525440;204655872;0.00;0.00;0.00;56740;799437;3424708;3197748;134;33;0;0;17405440;241009408;0.00;0.00;0.00;67990;941443;4037732;3765772;134;33;0;0;20931840;287231488;0.00;0.00;0.00;81765;1121998;4815052;4487992;134;33;0;0;23906048;337020672;0.00;0.00;0.00;93383;1316487;5639480;5265948;134;33;0;0;29118976;387499776;0.00;0.00;0.00;113746;1513671;6509668;6054684;101;33;0;0;31876352;435139840;0.00;0.00;0.00;124517;1699765;7297128;6799060;101;33;0;0;34516992;486324736;0.00;0.00;0.00;134832;1899706;8138152;7598824;102;33;0;0;39484160;525562624;0.00;0.00;0.00;154235;2052979;8828856;8211916;102;33;0;0;22028901120;14697955584;0.48;0.28;0.29;86050395;57413889;573857136;229655556;166962292;80025541;0;0;43333888;610171648;0.00;0.00;0.00;169273;2383483;10211024;9533932;102;33;0;0;
1536567154;70235429156;60172032;820925440;0.00;0.00;0.00;235047;3206740;13767148;12826960;168;33;0;0;59239424;816831488;0.00;0.00;0.00;231404;3190748;13688608;12762992;134;33;0;0;57976576;816422912;0.00;0.00;0.00;226471;3189152;13662492;12756608;134;33;0;0;62336256;863958528;0.00;0.00;0.00;243501;3374838;14473356;13499352;134;33;0;0;66381056;909325824;0.00;0.00;0.00;259301;3552054;15245420;14208216;134;33;0;0;67841024;957039872;0.00;0.00;0.00;265004;3738437;16013764;14953748;134;33;0;0;75814400;1012532992;0.00;0.00;0.00;296150;3955207;17005428;15820828;101;33;0;0;77456896;1055933440;0.00;0.00;0.00;302566;4124740;17709224;16498960;101;33;0;0;78480896;1106505216;0.00;0.00;0.00;306566;4322286;18515408;17289144;101;33;0;0;87037696;1156663552;0.00;0.00;0.00;339991;4518217;19432832;18072868;101;33;0;0;45311473664;30706750208;0.49;0.28;0.30;176997944;119948243;1187784748;479792972;347501467;166692468;0;0;89892864;1266310656;0.00;0.00;0.00;351144;4946526;21190680;19786104;101;33;0;0;
1536567218;140471525074;120749568;1649615360;0.00;0.00;0.00;471678;6443810;27661952;25775240;292;66;0;0;120688384;1662008832;0.00;0.00;0.00;471439;6492222;27854644;25968888;268;66;0;0;121983744;1719111424;0.00;0.00;0.00;476499;6715279;28767112;26861116;268;66;0;0;123328512;1713157376;0.00;0.00;0.00;481752;6692021;28695092;26768084;268;66;0;0;125458944;1715548672;0.00;0.00;0.00;490074;6701362;28765744;26805448;268;66;0;0;121604864;1712981760;0.00;0.00;0.00;475019;6691335;28665416;26765340;268;66;0;0;128089856;1708824576;0.00;0.00;0.00;500351;6675096;28701788;26700384;202;66;0;0;124713472;1700588800;0.00;0.00;0.00;487162;6642925;28520348;26571700;202;66;0;0;119384320;1680226048;0.00;0.00;0.00;466345;6563383;28118912;26253532;202;66;0;0;125706240;1676653056;0.00;0.00;0.00;491040;6549426;28161864;26197704;202;66;0;0;63093024512;42576243456;0.49;0.28;0.31;246457127;166313451;1651082312;665253804;482903731;231271675;0;0;118103552;1666395904;0.00;0.00;0.00;461342;6509359;27882804;26037436;234;66;0;0;
1536567282;140470688842;120001792;1640210176;0.00;0.00;0.00;468757;6407071;27503312;25628284;322;66;0;0;118225920;1631264512;0.00;0.00;0.00;461820;6372127;27335788;25488508;268;66;0;0;112023552;1577227776;0.00;0.00;0.00;437592;6161046;26394552;24644184;268;66;0;0;113239552;1571989248;0.00;0.00;0.00;442342;6140583;26331700;24562332;268;66;0;0;110723072;1515795712;0.00;0.00;0.00;432512;5921077;25414356;23684308;268;66;0;0;100561920;1417098752;0.00;0.00;0.00;392820;5535542;23713448;22142168;268;66;0;0;99559424;1327388160;0.00;0.00;0.00;388904;5185110;22296056;20740440;202;66;0;0;90929920;1236581376;0.00;0.00;0.00;355195;4830396;20742364;19321584;202;66;0;0;81638400;1150383104;0.00;0.00;0.00;318900;4493684;19250336;17974736;202;66;0;0;79428864;1060691968;0.00;0.00;0.00;310269;4143328;17814388;16573312;202;66;0;0;36043970560;24202170368;0.49;0.28;0.33;140796760;94539728;941345952;378158912;278729166;132031566;0;0;61265408;863488000;0.00;0.00;0.00;239318;3373000;14449272;13492000;203;66;0;0;
1536567346;140471686396;120406016;1644829696;0.00;0.00;0.00;470336;6425116;27581808;25700464;328;66;0;0;119459072;1648597248;0.00;0.00;0.00;466637;6439833;27625880;25759332;268;66;0;0;117053696;1649915904;0.00;0.00;0.00;457241;6444984;27608900;25779936;268;66;0;0;119874304;1665730816;0.00;0.00;0.00;468259;6506761;27900080;26027044;268;66;0;0;126706944;1735845632;0.00;0.00;0.00;494949;6780647;29102384;27122588;268;66;0;0;130090240;1832215040;0.00;0.00;0.00;508165;7157090;30661020;28628360;268;66;0;0;145401088;1931951616;0.00;0.00;0.00;567973;7546686;32458636;30186744;203;66;0;0;148378368;2021565184;0.00;0.00;0.00;579603;7896739;33905368;31586956;203;66;0;0;150713856;2124361472;0.00;0.00;0.00;588726;8298287;35548052;33193148;204;66;0;0;167028736;2230365440;0.00;0.00;0.00;652456;8712365;37459284;34849460;203;66;0;0;95205434624;57012888064;0.54;0.29;0.31;371896229;222706594;2378411292;890826376;801552191;311972666;0;0;171396608;2415404544;0.00;0.00;0.00;669518;9435174;40418768;37740696;203;66;0;0;
1536567410;140470484116;120044800;1637280512;0.00;0.00;0.00;468925;6395627;27458208;25582508;356;66;0;0;118842112;1639040256;0.00;0.00;0.00;464227;6402501;27466912;25610004;268;66;0;0;116057600;1636332032;0.00;0.00;0.00;453350;6391922;27381088;25567688;268;66;0;0;117762048;1637224960;0.00;0.00;0.00;460008;6395410;27421672;25581640;268;66;0;0;119188992;1633092864;0.00;0.00;0.00;465582;6379269;27379404;25517076;268;66;0;0;114970624;1620081920;0.00;0.00;0.00;449104;6328445;27110196;25313780;268;66;0;0;121914624;1620858880;0.00;0.00;0.00;476229;6331480;27230836;25325920;202;66;0;0;118234112;1611518208;0.00;0.00;0.00;461852;6294993;27027380;25179972;202;66;0;0;113724160;1605392128;0.00;0.00;0.00;444235;6271063;26861192;25084252;202;66;0;0;120995840;1613895168;0.00;0.00;0.00;472640;6304278;27107672;25217112;202;66;0;0;60951974400;40459148288;0.49;0.28;0.31;238093650;158043548;1584548792;632174192;466734296;219999696;0;0;115544576;1628457984;0.00;0.00;0.00;451346;6361164;27250040;25444656;235;66;0;0;
1536567474;140470474492;118517248;1615742464;0.00;0.00;0.00;462958;6311494;27097808;25245976;299;66;0;0;113334784;1562480896;0.00;0.00;0.00;442714;6103441;26184620;24413764;268;66;0;0;107613696;1515760128;0.00;0.00;0.00;420366;5920938;25365216;23683752;268;66;0;0;101634048;1413625856;0.00;0.00;0.00;397008;5521976;23675936;22087904;269;66;0;0;95905024;1315041792;0.00;0.00;0.00;374629;5136882;22046044;20547528;269;66;0;0;86830592;1224605184;0.00;0.00;0.00;339182;4783614;20491184;19134456;269;66;0;0;85287680;1134113280;0.00;0.00;0.00;333155;4430130;19053140;17720520;203;66;0;0;76595456;1045648384;0.00;0.00;0.00;299201;4084564;17535060;16338256;203;66;0;0;67069696;944414720;0.00;0.00;0.00;261991;3689120;15804444;14756480;203;66;0;0;63031808;841246208;0.00;0.00;0.00;246218;3286118;14129344;13144472;203;66;0;0;33912532992;16772804608;0.61;0.36;0.42;132470832;65518768;791958400;262075072;338254311;101979789;0;0;44775936;630205184;0.00;0.00;0.00;174906;2461739;10546580;9846956;203;66;0;0;
1536567538;140470526736;120431360;1643608576;0.00;0.00;0.00;470435;6420346;27563124;25681384;280;66;0;0;119205632;1642909440;0.00;0.00;0.00;465647;6417615;27533048;25670460;269;66;0;0;116589824;1642640896;0.00;0.00;0.00;455429;6416566;27487980;25666264;269;66;0;0;118192896;1643512832;0.00;0.00;0.00;461691;6419972;27526652;25679888;268;66;0;0;119995648;1644997120;0.00;0.00;0.00;468733;6425770;27578012;25703080;268;66;0;0;116567296;1643679488;0.00;0.00;0.00;455341;6420623;27503856;25682492;269;66;0;0;124086272;1648429056;0.00;0.00;0.00;484712;6439176;27695552;25756704;203;66;0;0;120919040;1646155520;0.00;0.00;0.00;472340;6430295;27610540;25721180;203;66;0;0;116758784;1644927744;0.00;0.00;0.00;456089;6425499;27526352;25701996;204;66;0;0;123731200;1649427200;0.00;0.00;0.00;483325;6443075;27705600;25772300;203;66;0;0;201992214016;54107570432;0.02;0.00;0.00;789032086;211357697;4001559132;845430788;807443718;198625888;0;0;116902144;1646368512;0.00;0.00;0.00;456649;6431127;27551104;25724508;203;66;0;0;
