# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep 10 07:00:55 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536577256;2195099176;1878528;25707008;0.00;0.00;0.00;7338;100418;431024;401672;102;67;0;0;1872640;25821184;0.00;0.00;0.00;7315;100864;432716;403456;102;33;0;0;1841408;25742592;0.00;0.00;0.00;7193;100557;431000;402228;101;33;0;0;1839616;25649664;0.00;0.00;0.00;7186;100194;429520;400776;103;33;0;0;1874688;25638912;0.00;0.00;0.00;7323;100152;429900;400608;102;33;0;0;1824512;25592320;0.00;0.00;0.00;7127;99970;428388;399880;102;33;0;0;1940480;25799936;0.00;0.00;0.00;7580;100781;433444;403124;134;33;0;0;1925120;25920000;0.00;0.00;0.00;7520;101250;435080;405000;135;33;0;0;1838080;25920768;0.00;0.00;0.00;7180;101253;433732;405012;135;33;0;0;1964288;26117888;0.00;0.00;0.00;7673;102023;438784;408092;134;33;0;0;1904384;26111744;0.00;0.00;0.00;7439;101999;437752;407996;134;33;0;0;1970630400;34102784;0.00;0.00;0.00;7697775;133214;31323956;532856;135;33;0;0;
1536577257;2195779484;199348736;858250496;0.72;0.38;0.39;778706;3352541;16524988;13410164;2740499;5375534;0;0;1927424;26603008;0.00;0.00;0.00;7529;103918;445788;415672;102;33;0;0;1960448;27585792;0.00;0.00;0.00;7658;107757;461660;431028;102;33;0;0;2063616;28867328;0.00;0.00;0.00;8061;112763;483296;451052;101;33;0;0;2183424;30075136;0.00;0.00;0.00;8529;117481;504040;469924;101;33;0;0;2212352;31355136;0.00;0.00;0.00;8642;122481;524492;489924;102;33;0;0;2411776;32565248;0.00;0.00;0.00;9421;127208;546516;508832;134;33;0;0;2462464;33716480;0.00;0.00;0.00;9619;131705;565296;526820;135;33;0;0;2469888;34812928;0.00;0.00;0.00;9648;135988;582544;543952;134;33;0;0;2736640;36023296;0.00;0.00;0.00;10690;140716;605624;562864;134;33;0;0;2684416;37120256;0.00;0.00;0.00;10486;145001;621948;580004;135;33;0;0;2901602560;50003200;0.00;0.00;0.00;11334385;195325;46118840;781300;134;33;0;0;
1536577258;2195206914;375067136;1627053312;0.72;0.37;0.38;1465106;6355677;31283132;25422708;5162038;10099210;0;0;1978624;26921728;0.00;0.00;0.00;7729;105163;451568;420652;101;33;0;0;1926656;27175424;0.00;0.00;0.00;7526;106154;454720;424616;101;33;0;0;1959168;27143424;0.00;0.00;0.00;7653;106029;454728;424116;101;33;0;0;1986816;27219200;0.00;0.00;0.00;7761;106325;456344;425300;101;33;0;0;1934848;27195136;0.00;0.00;0.00;7558;106231;455156;424924;101;33;0;0;2050816;27255040;0.00;0.00;0.00;8011;106465;457904;425860;134;33;0;0;1999616;27084544;0.00;0.00;0.00;7811;105799;454440;423196;134;33;0;0;1923840;27144192;0.00;0.00;0.00;7515;106032;454188;424128;134;33;0;0;2073344;27266048;0.00;0.00;0.00;8099;106508;458428;426032;134;33;0;0;1966592;27183616;0.00;0.00;0.00;7682;106186;455472;424744;134;33;0;0;2063676160;35480576;0.00;0.00;0.00;8061235;138596;32799324;554384;135;33;0;0;
1536577259;2195111670;364836096;1588047104;0.72;0.37;0.38;1425141;6203309;30513800;24813236;5016392;9790602;0;0;1866752;25609728;0.00;0.00;0.00;7292;100038;429320;400152;101;33;0;0;1796352;25515520;0.00;0.00;0.00;7017;99670;426748;398680;101;33;0;0;1832448;25543424;0.00;0.00;0.00;7158;99779;427748;399116;101;33;0;0;1890816;25610240;0.00;0.00;0.00;7386;100040;429704;400160;101;33;0;0;1802496;25560320;0.00;0.00;0.00;7041;99845;427544;399380;101;33;0;0;1924352;25599232;0.00;0.00;0.00;7517;99997;430056;399988;134;33;0;0;1893888;25631744;0.00;0.00;0.00;7398;100124;430088;400496;134;33;0;0;1842688;25881344;0.00;0.00;0.00;7198;101099;433188;404396;134;33;0;0;1976320;26100992;0.00;0.00;0.00;7720;101957;438708;407828;134;33;0;0;1907712;26040064;0.00;0.00;0.00;7452;101719;436684;406876;134;33;0;0;1979398144;34060288;0.00;0.00;0.00;7732024;133048;31460288;532192;135;33;0;0;
1536577260;2195178138;363059712;1585865728;0.72;0.37;0.38;1418202;6194788;30451960;24779152;4997965;9796406;0;0;1861120;25551360;0.00;0.00;0.00;7270;99810;428320;399240;101;33;0;0;1826048;25559040;0.00;0.00;0.00;7133;99840;427892;399360;101;33;0;0;1842176;25503744;0.00;0.00;0.00;7196;99624;427280;398496;101;33;0;0;1876736;25661184;0.00;0.00;0.00;7331;100239;430280;400956;101;33;0;0;1813760;25641728;0.00;0.00;0.00;7085;100163;428992;400652;101;33;0;0;1889280;25541376;0.00;0.00;0.00;7380;99771;428604;399084;134;33;0;0;1893120;25948672;0.00;0.00;0.00;7395;101362;435028;405448;134;33;0;0;1822976;25679872;0.00;0.00;0.00;7121;100312;429732;401248;134;33;0;0;1923328;25592320;0.00;0.00;0.00;7513;99970;429932;399880;134;33;0;0;1833984;25479424;0.00;0.00;0.00;7164;99529;426772;398116;134;33;0;0;1928293376;33195264;0.00;0.00;0.00;7532396;129669;30648260;518676;135;33;0;0;
1536577261;2195262238;364856576;1605431296;0.72;0.36;0.37;1425221;6271216;30785748;25084864;5007061;9837018;0;0;1873664;25801984;0.00;0.00;0.00;7319;100789;432432;403156;101;33;0;0;1860096;25963520;0.00;0.00;0.00;7266;101420;434744;405680;101;33;0;0;1895424;26164480;0.00;0.00;0.00;7404;102205;438436;408820;101;33;0;0;1939200;26383360;0.00;0.00;0.00;7575;103060;442540;412240;101;33;0;0;1862144;26494976;0.00;0.00;0.00;7274;103496;443080;413984;101;33;0;0;2005248;26837248;0.00;0.00;0.00;7833;104833;450664;419332;134;33;0;0;1896448;26271488;0.00;0.00;0.00;7408;102623;440124;410492;134;33;0;0;1856256;26204672;0.00;0.00;0.00;7251;102362;438452;409448;134;33;0;0;1985024;26291968;0.00;0.00;0.00;7754;102703;441828;410812;134;33;0;0;1903360;26198016;0.00;0.00;0.00;7435;102336;439084;409344;134;33;0;0;1963380992;33824000;0.00;0.00;0.00;7669457;132125;31206328;528500;135;33;0;0;
1536577262;2195111212;616340992;1097612800;0.74;0.36;0.38;2407582;4287550;26780528;17150200;9154689;6728919;0;0;1727488;23583488;0.00;0.00;0.00;6748;92123;395484;368492;101;33;0;0;1573376;22210304;0.00;0.00;0.00;6146;86759;371620;347036;101;33;0;0;1501696;20954368;0.00;0.00;0.00;5866;81853;350876;327412;101;33;0;0;1399040;19462400;0.00;0.00;0.00;5465;76025;325960;304100;101;33;0;0;1276160;18132992;0.00;0.00;0.00;4985;70832;303268;283328;101;33;0;0;1266944;16933632;0.00;0.00;0.00;4949;66147;284384;264588;134;33;0;0;1154816;15892992;0.00;0.00;0.00;4511;62082;266372;248328;134;33;0;0;1048832;14755072;0.00;0.00;0.00;4097;57637;246936;230548;134;33;0;0;1027584;13672192;0.00;0.00;0.00;4014;53407;229684;213628;134;33;0;0;919296;12542976;0.00;0.00;0.00;3591;48996;210348;195984;134;33;0;0;889209344;15275264;0.00;0.00;0.00;3473474;59669;14132572;238676;135;33;0;0;
1536577263;2195108330;1241551872;62128384;0.75;0.00;0.05;4849812;242689;20370004;970756;19239818;150489;0;0;1875968;25709056;0.00;0.00;0.00;7328;100426;431016;401704;101;33;0;0;1827328;25787136;0.00;0.00;0.00;7138;100731;431476;402924;101;33;0;0;1853696;25757440;0.00;0.00;0.00;7241;100615;431424;402460;101;33;0;0;1909248;25842944;0.00;0.00;0.00;7458;100949;433628;403796;101;33;0;0;1831680;25775104;0.00;0.00;0.00;7155;100684;431356;402736;101;33;0;0;1938944;25947136;0.00;0.00;0.00;7574;101356;435720;405424;134;33;0;0;1927680;25974528;0.00;0.00;0.00;7530;101463;435972;405852;134;33;0;0;1836800;25958400;0.00;0.00;0.00;7175;101400;434300;405600;134;33;0;0;1978880;26088704;0.00;0.00;0.00;7730;101909;438556;407636;134;33;0;0;1895424;26035968;0.00;0.00;0.00;7404;101703;436428;406812;134;33;0;0;1978115584;34049792;0.00;0.00;0.00;7727014;133007;31440084;532028;134;33;0;0;
1536577264;2195112252;476352000;1195639296;0.51;0.52;0.53;1860750;4670466;26124864;18681864;3811354;9641173;0;0;1843456;25635072;0.00;0.00;0.00;7201;100137;429352;400548;101;33;0;0;1832192;25567488;0.00;0.00;0.00;7157;99873;428120;399492;101;33;0;0;1843712;25475072;0.00;0.00;0.00;7202;99512;426856;398048;101;33;0;0;1863680;25492736;0.00;0.00;0.00;7280;99581;427444;398324;101;33;0;0;1789952;25415936;0.00;0.00;0.00;6992;99281;425092;397124;102;33;0;0;1915904;25317120;0.00;0.00;0.00;7484;98895;425516;395580;134;33;0;0;1839872;25076480;0.00;0.00;0.00;7187;97955;420568;391820;134;33;0;0;1767168;24911872;0.00;0.00;0.00;6903;97312;416860;389248;135;33;0;0;1869568;24742400;0.00;0.00;0.00;7303;96650;415812;386600;135;33;0;0;1786880;24510976;0.00;0.00;0.00;6980;95746;410904;382984;136;33;0;0;1842887168;31702528;0.00;0.00;0.00;7198778;123838;29290464;495352;135;33;0;0;
1536577265;2195114140;254531584;31245056;0.74;0.00;0.00;994264;122051;4465260;488204;3751982;17631;0;0;1901312;25707264;0.00;0.00;0.00;7427;100419;431384;401676;102;33;0;0;1818880;25665536;0.00;0.00;0.00;7105;100256;429444;401024;102;33;0;0;1832704;25659648;0.00;0.00;0.00;7159;100233;429568;400932;101;33;0;0;1880832;25694208;0.00;0.00;0.00;7347;100368;430860;401472;101;33;0;0;1818368;25653760;0.00;0.00;0.00;7103;100210;429252;400840;102;33;0;0;1918208;25804288;0.00;0.00;0.00;7493;100798;433164;403192;135;33;0;0;1908736;25910272;0.00;0.00;0.00;7456;101212;434672;404848;134;33;0;0;1838080;26018816;0.00;0.00;0.00;7180;101636;435264;406544;134;33;0;0;1975552;26213632;0.00;0.00;0.00;7717;102397;440456;409588;135;33;0;0;1904896;26237952;0.00;0.00;0.00;7441;102492;439732;409968;134;33;0;0;1990024704;34269184;0.00;0.00;0.00;7773534;133864;31629592;535456;136;33;0;0;
