# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep 11 10:44:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536677099;2195109374;1959424;25871616;0.00;0.00;0.00;7654;101061;434860;404244;134;917;0;0;1862912;25661952;0.00;0.00;0.00;7277;100242;430076;400968;134;33;0;0;1824512;25709312;0.00;0.00;0.00;7127;100427;430216;401708;135;33;0;0;2031616;25896704;0.00;0.00;0.00;7936;101159;436380;404636;136;33;0;0;1911808;25844224;0.00;0.00;0.00;7468;100954;433688;403816;136;33;0;0;1826560;25794304;0.00;0.00;0.00;7135;100759;431576;403036;136;33;0;0;1991936;25946368;0.00;0.00;0.00;7781;101353;436536;405412;102;33;0;0;1940224;26071296;0.00;0.00;0.00;7579;101841;437680;407364;102;33;0;0;1838080;26112000;0.00;0.00;0.00;7180;102000;436720;408000;102;33;0;0;2004224;26306816;0.00;0.00;0.00;7829;102761;442360;411044;103;33;0;0;1885952;26228480;0.00;0.00;0.00;7367;102455;439288;409820;103;33;0;0;1869056;26282496;0.00;0.00;0.00;7301;102666;439868;410664;103;33;0;0;
1536677100;2195127440;228573952;1037177344;0.67;0.21;0.23;892867;4051474;19777364;16205896;2681033;5142377;0;0;2699776;36737280;0.00;0.00;0.00;10546;143505;616204;574020;135;33;0;0;3079424;43508224;0.00;0.00;0.00;12029;169954;727932;679816;134;33;0;0;4021248;51314176;0.00;0.00;0.00;15708;200446;864616;801784;134;33;0;0;4278016;58290944;0.00;0.00;0.00;16711;227699;977640;910796;135;33;0;0;4630016;65456640;0.00;0.00;0.00;18086;255690;1095104;1022760;135;33;0;0;5538304;72412160;0.00;0.00;0.00;21634;282860;1217976;1131440;101;33;0;0;5876992;79633408;0.00;0.00;0.00;22957;311068;1336100;1244272;101;33;0;0;6118912;86693120;0.00;0.00;0.00;23902;338645;1450188;1354580;102;33;0;0;7298816;94460928;0.00;0.00;0.00;28511;368988;1589996;1475952;101;33;0;0;7390464;101435904;0.00;0.00;0.00;28869;396234;1700412;1584936;101;33;0;0;7696640;108158976;0.00;0.00;0.00;30065;422496;1810244;1689984;101;33;0;0;
1536677104;8779815734;1388855552;6384171776;0.67;0.18;0.19;5425217;24938171;121453552;99752684;16422943;30418836;0;0;7459072;102737664;0.00;0.00;0.00;29137;401319;1721824;1605276;134;33;0;0;7333632;103204608;0.00;0.00;0.00;28647;403143;1727160;1612572;134;33;0;0;8158464;103038464;0.00;0.00;0.00;31869;402494;1737452;1609976;134;33;0;0;7443968;102563328;0.00;0.00;0.00;29078;400638;1718864;1602552;134;33;0;0;7329792;102855424;0.00;0.00;0.00;28632;401779;1721644;1607116;134;33;0;0;7963392;103597568;0.00;0.00;0.00;31107;404678;1743140;1618712;101;33;0;0;7530496;102648320;0.00;0.00;0.00;29416;400970;1721544;1603880;101;33;0;0;7258368;102128640;0.00;0.00;0.00;28353;398940;1709172;1595760;101;33;0;0;7819520;102487296;0.00;0.00;0.00;30545;400341;1723544;1601364;101;33;0;0;7485184;102477312;0.00;0.00;0.00;29239;400302;1718164;1601208;101;33;0;0;7334912;103414272;0.00;0.00;0.00;28652;403962;1730456;1615848;101;33;0;0;
1536677108;8779684540;1398692352;6461697280;0.67;0.18;0.19;5463642;25241005;122818588;100964020;16569414;30842541;0;0;7469056;103219456;0.00;0.00;0.00;29176;403201;1729508;1612804;134;33;0;0;7309824;102684416;0.00;0.00;0.00;28554;401111;1718660;1604444;134;33;0;0;8157952;103986432;0.00;0.00;0.00;31867;406197;1752256;1624788;134;33;0;0;7570432;103262208;0.00;0.00;0.00;29572;403368;1731760;1613472;134;33;0;0;7265792;102863872;0.00;0.00;0.00;28382;401812;1720776;1607248;134;33;0;0;7924224;103563008;0.00;0.00;0.00;30954;404543;1741988;1618172;101;33;0;0;7566336;102856448;0.00;0.00;0.00;29556;401783;1725356;1607132;101;33;0;0;7274496;102763264;0.00;0.00;0.00;28416;401419;1719340;1605676;101;33;0;0;7908864;102931968;0.00;0.00;0.00;30894;402078;1731888;1608312;101;33;0;0;7429632;102096384;0.00;0.00;0.00;29022;398814;1711344;1595256;101;33;0;0;7206400;101687040;0.00;0.00;0.00;28150;397215;1701460;1588860;101;33;0;0;
1536677112;8779663456;1391640064;6428511488;0.67;0.18;0.19;5436094;25111373;122189868;100445492;16475012;30672572;0;0;7474432;103092736;0.00;0.00;0.00;29197;402706;1727612;1610824;134;33;0;0;7325440;103366656;0.00;0.00;0.00;28615;403776;1729564;1615104;134;33;0;0;8295424;104166912;0.00;0.00;0.00;32404;406902;1757224;1627608;134;33;0;0;7659008;103844352;0.00;0.00;0.00;29918;405642;1742240;1622568;135;33;0;0;7426816;103985664;0.00;0.00;0.00;29011;406194;1740820;1624776;134;33;0;0;7940864;103735552;0.00;0.00;0.00;31019;405217;1744944;1620868;101;33;0;0;7586304;103749632;0.00;0.00;0.00;29634;405272;1739624;1621088;101;33;0;0;7404032;104697344;0.00;0.00;0.00;28922;408974;1751584;1635896;101;33;0;0;8100864;105051392;0.00;0.00;0.00;31644;410357;1768004;1641428;101;33;0;0;7670272;104741120;0.00;0.00;0.00;29962;409145;1756428;1636580;101;33;0;0;7455744;105245696;0.00;0.00;0.00;29124;411116;1760960;1644464;101;33;0;0;
1536677116;8779682634;1384506112;6400379392;0.67;0.18;0.19;5408227;25001482;121638836;100005928;16373434;30500074;0;0;7422976;102277120;0.00;0.00;0.00;28996;399520;1714064;1598080;134;33;0;0;7247360;102133504;0.00;0.00;0.00;28310;398959;1709076;1595836;134;33;0;0;8040704;102174464;0.00;0.00;0.00;31409;399119;1722112;1596476;134;33;0;0;7487232;101782784;0.00;0.00;0.00;29247;397589;1707344;1590356;134;33;0;0;7177728;101236736;0.00;0.00;0.00;28038;395456;1693976;1581824;134;33;0;0;7849472;102262016;0.00;0.00;0.00;30662;399461;1720492;1597844;101;33;0;0;7563008;102544128;0.00;0.00;0.00;29543;400563;1720424;1602252;101;33;0;0;7201536;101495040;0.00;0.00;0.00;28131;396465;1698384;1585860;101;33;0;0;7891456;102632192;0.00;0.00;0.00;30826;400907;1726932;1603628;101;33;0;0;7438848;102076416;0.00;0.00;0.00;29058;398736;1711176;1594944;101;33;0;0;7206400;101517824;0.00;0.00;0.00;28150;396554;1698816;1586216;101;33;0;0;
1536677120;8779665378;1391203072;6430060800;0.67;0.18;0.19;5434387;25117425;122207248;100469700;16445518;30604137;0;0;7474688;103327744;0.00;0.00;0.00;29198;403624;1731288;1614496;134;33;0;0;7380736;104029440;0.00;0.00;0.00;28831;406365;1740784;1625460;134;33;0;0;8263168;105182720;0.00;0.00;0.00;32278;410870;1772592;1643480;134;33;0;0;7612160;104240128;0.00;0.00;0.00;29735;407188;1747692;1628752;134;33;0;0;7406592;104133376;0.00;0.00;0.00;28932;406771;1742812;1627084;134;33;0;0;8029952;104411904;0.00;0.00;0.00;31367;407859;1756904;1631436;101;33;0;0;7569408;103120128;0.00;0.00;0.00;29568;402813;1729524;1611252;101;33;0;0;7348736;103360000;0.00;0.00;0.00;28706;403750;1729824;1615000;101;33;0;0;7923712;103512576;0.00;0.00;0.00;30952;404346;1741192;1617384;101;33;0;0;7666944;103741952;0.00;0.00;0.00;29949;405242;1740764;1620968;101;33;0;0;7303936;103234048;0.00;0.00;0.00;28531;403258;1727156;1613032;101;33;0;0;
1536677124;8779741234;1379423232;6381646080;0.67;0.18;0.19;5388372;24928305;121266708;99713220;16320412;30412869;0;0;7704064;101682688;0.00;0.00;0.00;30094;397198;1709168;1588792;134;33;0;0;7173376;100972288;0.00;0.00;0.00;28021;394423;1689776;1577692;134;33;0;0;7931648;101475072;0.00;0.00;0.00;30983;396387;1709480;1585548;134;33;0;0;7435008;101393408;0.00;0.00;0.00;29043;396068;1700444;1584272;134;33;0;0;7230208;101915136;0.00;0.00;0.00;28243;398106;1705396;1592424;134;33;0;0;7847424;102385920;0.00;0.00;0.00;30654;399945;1722396;1599780;101;33;0;0;7552512;102642432;0.00;0.00;0.00;29502;400947;1721796;1603788;101;33;0;0;7305984;102781952;0.00;0.00;0.00;28539;401492;1720124;1605968;101;33;0;0;7914752;103202048;0.00;0.00;0.00;30917;403133;1736200;1612532;101;33;0;0;7467264;101160960;0.00;0.00;0.00;29169;395160;1697316;1580640;101;33;0;0;6874624;96757248;0.00;0.00;0.00;26854;377958;1619248;1511832;101;33;0;0;
1536677128;8779644280;4931510016;4853274368;0.74;0.18;0.20;19263711;18958103;152887256;75832412;73099420;23131578;0;0;7155712;92018176;0.00;0.00;0.00;27952;359446;1549592;1437784;134;33;0;0;5967104;84394752;0.00;0.00;0.00;23309;329667;1411904;1318668;134;33;0;0;6185472;77903104;0.00;0.00;0.00;24162;304309;1313884;1217236;134;33;0;0;5193472;70153984;0.00;0.00;0.00;20287;274039;1177304;1096156;134;33;0;0;4426496;62264576;0.00;0.00;0.00;17291;243221;1042048;972884;134;33;0;0;4225280;55380992;0.00;0.00;0.00;16505;216332;931348;865328;101;33;0;0;3556608;48269568;0.00;0.00;0.00;13893;188553;809784;754212;101;33;0;0;2876160;40738816;0.00;0.00;0.00;11235;159136;681484;636544;101;33;0;0;2543616;33509120;0.00;0.00;0.00;9936;130895;563324;523580;101;33;0;0;2030336;27596288;0.00;0.00;0.00;7931;107798;462916;431192;101;33;0;0;1767936;25007360;0.00;0.00;0.00;6906;97685;418364;390740;101;33;0;0;
1536677132;8779520706;15326965504;704976640;0.34;0.61;0.66;59870959;2753815;250499096;11015260;90807388;6991987;0;0;8050688;103183616;0.00;0.00;0.00;31448;403061;1738036;1612244;134;33;0;0;7280128;102700288;0.00;0.00;0.00;28438;401173;1718444;1604692;134;33;0;0;7862016;103151104;0.00;0.00;0.00;30711;402934;1734580;1611736;134;33;0;0;7520768;102886912;0.00;0.00;0.00;29378;401902;1725120;1607608;134;33;0;0;7307008;102822912;0.00;0.00;0.00;28543;401652;1720780;1606608;134;33;0;0;7931392;103276800;0.00;0.00;0.00;30982;403425;1737628;1613700;101;33;0;0;7580160;103025920;0.00;0.00;0.00;29610;402445;1728220;1609780;101;33;0;0;7340544;103008000;0.00;0.00;0.00;28674;402375;1724196;1609500;101;33;0;0;7976704;103433728;0.00;0.00;0.00;31159;404038;1740788;1616152;102;33;0;0;7644672;103117824;0.00;0.00;0.00;29862;402804;1730664;1611216;101;33;0;0;7296256;102989824;0.00;0.00;0.00;28501;402304;1723220;1609216;101;33;0;0;
