# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep 11 08:04:27 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536667468;2195098672;2000128;26043904;0.00;0.00;0.00;7813;101734;438188;406936;102;777;0;0;1890048;25912832;0.00;0.00;0.00;7383;101222;434420;404888;102;33;0;0;1826816;25993216;0.00;0.00;0.00;7136;101536;434688;406144;102;33;0;0;2078720;26262272;0.00;0.00;0.00;8120;102587;442828;410348;103;33;0;0;1940480;26184192;0.00;0.00;0.00;7580;102282;439448;409128;103;33;0;0;1840128;26153472;0.00;0.00;0.00;7188;102162;437400;408648;102;33;0;0;2027776;26465536;0.00;0.00;0.00;7921;103381;445208;413524;135;33;0;0;2190336;29472000;0.00;0.00;0.00;8556;115125;494724;460500;135;33;0;0;2242560;31791360;0.00;0.00;0.00;8760;124185;531780;496740;135;33;0;0;2768640;35934208;0.00;0.00;0.00;10815;140368;604732;561472;136;33;0;0;3060224;41750528;0.00;0.00;0.00;11954;163088;700168;652352;135;33;0;0;3332352;47276800;0.00;0.00;0.00;13017;184675;790768;738700;135;33;0;0;
1536667469;2194996552;382501376;1775947776;0.69;0.23;0.24;1494146;6937296;33725768;27749184;4745365;9005994;0;0;2637568;35887104;0.00;0.00;0.00;10303;140184;601948;560736;101;33;0;0;2999552;42300672;0.00;0.00;0.00;11717;165237;707816;660948;102;33;0;0;3895552;48995328;0.00;0.00;0.00;15217;191388;826420;765552;101;33;0;0;4058368;55516416;0.00;0.00;0.00;15853;216861;930856;867444;101;33;0;0;4364544;61579520;0.00;0.00;0.00;17049;240545;1030376;962180;101;33;0;0;5246464;68265472;0.00;0.00;0.00;20494;266662;1148624;1066648;135;33;0;0;5292544;71608320;0.00;0.00;0.00;20674;279720;1201576;1118880;134;33;0;0;5351168;75705600;0.00;0.00;0.00;20903;295725;1266512;1182900;134;33;0;0;6033152;78645760;0.00;0.00;0.00;23567;307210;1323108;1228840;134;33;0;0;5707264;78850816;0.00;0.00;0.00;22294;308011;1321220;1232044;134;33;0;0;5634816;79466496;0.00;0.00;0.00;22011;310416;1329708;1241664;134;33;0;0;
1536667473;8780446092;1380403968;6465989632;0.68;0.20;0.21;5392203;25257772;122599900;101031088;16862211;31563053;0;0;7625984;103660800;0.00;0.00;0.00;29789;404925;1738856;1619700;101;33;0;0;7349760;103619584;0.00;0.00;0.00;28710;404764;1733896;1619056;101;33;0;0;7953664;104364800;0.00;0.00;0.00;31069;407675;1754976;1630700;101;33;0;0;7580416;103783424;0.00;0.00;0.00;29611;405404;1740060;1621616;101;33;0;0;7396352;104026368;0.00;0.00;0.00;28892;406353;1740980;1625412;101;33;0;0;8016128;104825600;0.00;0.00;0.00;31313;409475;1763152;1637900;134;33;0;0;7761664;104269568;0.00;0.00;0.00;30319;407303;1750488;1629212;134;33;0;0;7330304;103759616;0.00;0.00;0.00;28634;405311;1735780;1621244;134;33;0;0;7953664;104302592;0.00;0.00;0.00;31069;407432;1754004;1629728;134;33;0;0;7586048;104106240;0.00;0.00;0.00;29633;406665;1745192;1626660;134;33;0;0;7414272;104124416;0.00;0.00;0.00;28962;406736;1742792;1626944;134;33;0;0;
1536667477;8779901878;1366294272;6408195072;0.68;0.20;0.21;5337087;25032012;121476396;100128048;16681543;31238725;0;0;7457024;102169600;0.00;0.00;0.00;29129;399100;1712916;1596400;101;33;0;0;7212032;102311680;0.00;0.00;0.00;28172;399655;1711308;1598620;101;33;0;0;7967232;102859008;0.00;0.00;0.00;31122;401793;1731660;1607172;101;33;0;0;7496704;102596096;0.00;0.00;0.00;29284;400766;1720200;1603064;101;33;0;0;7255296;102565632;0.00;0.00;0.00;28341;400647;1715952;1602588;101;33;0;0;7882752;102793472;0.00;0.00;0.00;30792;401537;1729316;1606148;134;33;0;0;7755520;103361024;0.00;0.00;0.00;30295;403754;1736196;1615016;135;33;0;0;7366144;103828224;0.00;0.00;0.00;28774;405579;1737412;1622316;134;33;0;0;7975424;103959808;0.00;0.00;0.00;31154;406093;1748988;1624372;134;33;0;0;7521024;103499776;0.00;0.00;0.00;29379;404296;1734700;1617184;134;33;0;0;7349760;103943936;0.00;0.00;0.00;28710;406031;1738964;1624124;134;33;0;0;
1536667481;8780666994;1371789056;6420584448;0.68;0.20;0.21;5358551;25080408;121755836;100321632;16693481;31223027;0;0;7456768;102650112;0.00;0.00;0.00;29128;400977;1720420;1603908;101;33;0;0;7240192;102401024;0.00;0.00;0.88;28282;400004;1713144;1600016;101;33;0;0;8055552;103126016;0.00;0.00;0.00;31467;402836;1737212;1611344;101;33;0;0;7501568;102486272;0.00;0.00;0.00;29303;400337;1718560;1601348;101;33;0;0;7302656;102640128;0.00;0.00;0.00;28526;400938;1717856;1603752;101;33;0;0;7937024;102871296;0.00;0.00;0.00;31004;401841;1731380;1607364;134;33;0;0;7602944;102056960;0.00;0.00;0.00;29699;398660;1713436;1594640;134;33;0;0;7207424;101687296;0.00;0.00;0.00;28154;397216;1701480;1588864;134;33;0;0;7846400;102272512;0.00;0.00;0.00;30650;399502;1720608;1598008;134;33;0;0;7262976;101231616;0.00;0.00;0.00;28371;395436;1695228;1581744;134;33;0;0;7152128;100888064;0.00;0.00;0.00;27938;394094;1688128;1576376;134;33;0;0;
1536667485;8779750176;1369487616;6408476928;0.68;0.20;0.21;5349561;25033113;121530696;100132452;16654815;31170244;0;0;7525376;102898176;0.00;0.00;0.00;29396;401946;1725368;1607784;101;33;0;0;7322112;102996480;0.00;0.00;0.00;28602;402330;1723728;1609320;101;33;0;0;7926016;103523584;0.00;0.00;0.00;30961;404389;1741400;1617556;101;33;0;0;7500032;103176448;0.00;0.00;0.00;29297;403033;1729320;1612132;101;33;0;0;7347968;102905600;0.00;0.00;0.00;28703;401975;1722712;1607900;101;33;0;0;7944448;103517440;0.00;0.00;0.00;31033;404365;1741592;1617460;134;33;0;0;7709184;103230208;0.00;0.00;0.00;30114;403243;1733428;1612972;134;33;0;0;7307008;103099136;0.00;0.00;0.00;28543;402731;1725096;1610924;134;33;0;0;7943680;103707648;0.00;0.00;0.00;31030;405108;1744552;1620432;134;33;0;0;7510272;103870208;0.00;0.00;0.00;29337;405743;1740320;1622972;134;33;0;0;7417344;104278272;0.00;0.00;0.00;28974;407337;1745244;1629348;134;33;0;0;
1536667489;8779645076;3763659264;4978799360;0.73;0.19;0.21;14701794;19448435;136600916;77793740;55131718;24081058;0;0;6753536;91845632;0.00;0.00;0.00;26381;358772;1540612;1435088;101;33;0;0;6038272;85216000;0.00;0.00;0.00;23587;332875;1425848;1331500;101;33;0;0;6130944;78928640;0.00;0.00;0.00;23949;308315;1329056;1233260;101;33;0;0;5257728;72134400;0.00;0.00;0.00;20538;281775;1209252;1127100;101;33;0;0;4656896;65630976;0.00;0.00;0.00;18191;256371;1098248;1025484;101;33;0;0;4541696;59204352;0.00;0.00;0.00;17741;231267;996032;925068;134;33;0;0;3946752;52728320;0.00;0.00;0.00;15417;205970;885548;823880;134;33;0;0;3255808;46001152;0.00;0.00;0.00;12718;179692;769640;718768;134;33;0;0;3027712;39563520;0.00;0.00;0.00;11827;154545;665488;618180;134;33;0;0;2410240;32889344;0.00;0.00;0.00;9415;128474;551556;513896;134;33;0;0;1878016;26392064;0.00;0.00;0.00;7336;103094;441720;412376;134;33;0;0;
1536667493;8780670772;3433614336;5737514240;0.73;0.22;0.23;13412556;22412165;143298884;89648660;49340405;28627960;0;0;8236032;113328640;0.00;0.00;0.00;32172;442690;1899448;1770760;102;33;0;0;8477696;119725568;0.00;0.00;0.00;33116;467678;2003176;1870712;101;33;0;0;9911552;126496512;0.00;0.00;0.00;38717;494127;2131376;1976508;102;33;0;0;9700864;132583424;0.00;0.00;0.00;37894;517904;2223192;2071616;101;33;0;0;9858048;139238912;0.00;0.00;0.00;38508;543902;2329640;2175608;101;33;0;0;11257856;146414592;0.00;0.00;0.00;43976;571932;2463632;2287728;134;33;0;0;11456768;152771328;0.00;0.00;0.00;44753;596763;2566064;2387052;134;33;0;0;11279360;158987008;0.00;0.00;0.00;44060;621043;2660412;2484172;135;33;0;0;12611072;165679616;0.00;0.00;0.00;49262;647186;2785792;2588744;134;33;0;0;12457472;171813632;0.00;0.00;0.00;48662;671147;2879236;2684588;135;33;0;0;12616960;178002944;0.00;0.00;0.00;49285;695324;2978436;2781296;134;33;0;0;
1536667497;8780338064;1375854336;6438919168;0.68;0.20;0.21;5374431;25152028;122105836;100608112;16730697;31361561;0;0;7486720;102628352;0.00;0.00;0.00;29245;400892;1720548;1603568;101;33;0;0;7254016;102369792;0.00;0.00;0.00;28336;399882;1712872;1599528;101;33;0;0;8257280;103964416;0.00;0.00;0.00;32255;406111;1753464;1624444;101;33;0;0;7586816;103362816;0.00;0.00;0.00;29636;403761;1733588;1615044;101;33;0;0;7328000;103059968;0.00;0.00;0.00;28625;402578;1724812;1610312;101;33;0;0;7944960;103365120;0.00;0.00;0.00;31035;403770;1739220;1615080;134;33;0;0;7747840;103375360;0.00;0.00;0.00;30265;403810;1736300;1615240;134;33;0;0;7353856;103545600;0.00;0.00;0.00;28726;404475;1732804;1617900;134;33;0;0;8023552;104243456;0.00;0.00;0.00;31342;407201;1754172;1628804;134;33;0;0;7547392;103963392;0.00;0.00;0.00;29482;406107;1742356;1624428;134;33;0;0;7422464;104391424;0.00;0.00;0.00;28994;407779;1747092;1631116;134;33;0;0;
1536667501;8780676806;1367600640;6401472768;0.68;0.20;0.21;5342190;25005753;121391772;100023012;16614553;31147664;0;0;7509760;102874880;0.00;0.00;0.00;29335;401855;1724760;1607420;101;33;0;0;7273984;102932224;0.00;0.00;0.00;28414;402079;1721972;1608316;101;33;0;0;8216576;103415552;0.00;0.00;0.00;32096;403967;1744252;1615868;101;33;0;0;7532288;102536960;0.00;0.00;0.00;29423;400535;1719832;1602140;101;33;0;0;7263744;102298880;0.00;0.00;0.00;28374;399605;1711916;1598420;101;33;0;0;7936256;102861056;0.00;0.00;0.00;31001;401801;1731208;1607204;134;33;0;0;7616256;102347520;0.00;0.00;0.00;29751;399795;1718184;1599180;134;33;0;0;7283456;102224384;0.00;0.00;0.00;28451;399314;1711060;1597256;134;33;0;0;7889152;102792448;0.00;0.00;0.00;30817;401533;1729400;1606132;134;33;0;0;7405312;101802752;0.00;0.00;0.00;28927;397667;1706376;1590668;134;33;0;0;7228928;101698816;0.00;0.00;0.00;28238;397261;1701996;1589044;134;33;0;0;
