# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep 11 08:46:24 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536669985;2195099822;2008064;25871104;0.00;0.00;0.00;7844;101059;435612;404236;102;73;0;0;1869056;25889024;0.00;0.00;0.00;7301;101129;433720;404516;102;33;0;0;1859072;25974784;0.00;0.00;0.00;7262;101464;434904;405856;102;33;0;0;1873920;26102528;0.00;0.00;0.00;7320;101963;437132;407852;102;33;0;0;1906432;26186752;0.00;0.00;0.00;7447;102292;438956;409168;103;33;0;0;1885952;26221824;0.00;0.00;0.00;7367;102429;439184;409716;103;33;0;0;2102016;26408960;0.00;0.00;0.00;8211;103160;445484;412640;136;33;0;0;1979904;26305024;0.00;0.00;0.00;7734;102754;441952;411016;136;33;0;0;1884672;26259200;0.00;0.00;0.00;7362;102575;439748;410300;136;33;0;0;2017024;26362368;0.00;0.00;0.00;7879;102978;443428;411912;136;33;0;0;1888256;26243328;0.00;0.00;0.00;7376;102513;439556;410052;136;33;0;0;1868800;26188032;0.00;0.00;0.00;7300;102297;438388;409188;136;33;0;0;
1536669986;2195269068;226041856;1031198464;0.68;0.24;0.26;882976;4028119;19644380;16112476;2778193;5329342;0;0;2524672;35299840;0.00;0.00;0.00;9862;137890;591008;551560;102;33;0;0;2966784;41646592;0.00;0.00;0.00;11589;162682;697084;650728;102;33;0;0;3472640;48185088;0.00;0.00;0.00;13565;188223;807152;752892;102;33;0;0;4032000;55184640;0.00;0.00;0.00;15750;215565;925260;862260;101;33;0;0;4404224;61841152;0.00;0.00;0.00;17204;241567;1035084;966268;101;33;0;0;5476864;68846592;0.00;0.00;0.00;21394;268932;1161304;1075728;135;33;0;0;5625088;75121664;0.00;0.00;0.00;21973;293444;1261668;1173776;135;33;0;0;5836800;81562368;0.00;0.00;0.00;22800;318603;1365612;1274412;135;33;0;0;6727936;88381696;0.00;0.00;0.00;26281;345241;1486088;1380964;135;33;0;0;6877440;94753024;0.00;0.00;0.00;26865;370129;1587976;1480516;135;33;0;0;7294464;101805056;0.00;0.00;0.00;28494;397676;1704680;1590704;135;33;0;0;
1536669990;8780459960;1392063232;6489498368;0.68;0.20;0.21;5437747;25349603;123149400;101398412;16924704;31689924;0;0;7545088;103908352;0.00;0.00;0.00;29473;405892;1741460;1623568;101;33;0;0;7433216;104115968;0.00;0.00;0.00;29036;406703;1742956;1626812;101;33;0;0;7491840;104193280;0.00;0.00;0.00;29265;407005;1745080;1628020;101;33;0;0;7600640;104246016;0.00;0.00;0.00;29690;407211;1747604;1628844;101;33;0;0;7433216;104232704;0.00;0.00;0.00;29036;407159;1744780;1628636;101;33;0;0;8271104;104877824;0.00;0.00;0.00;32309;409679;1767952;1638716;134;33;0;0;7871488;104400384;0.00;0.00;0.00;30748;407814;1754248;1631256;134;33;0;0;7517184;104959232;0.00;0.00;0.00;29364;409997;1757444;1639988;134;33;0;0;8080640;105677056;0.00;0.00;0.00;31565;412801;1777464;1651204;134;33;0;0;7599616;105168640;0.00;0.00;0.00;29686;410815;1762004;1643260;134;33;0;0;7465472;104631296;0.00;0.00;0.00;29162;408716;1751512;1634864;134;33;0;0;
1536669994;8780346666;1373490688;6418267136;0.68;0.20;0.21;5365198;25071356;121746216;100285424;16714029;31276469;0;0;7473664;103088128;0.00;0.00;0.00;29194;402688;1727528;1610752;101;33;0;0;7344128;102801920;0.00;0.00;0.00;28688;401570;1721032;1606280;101;33;0;0;7442944;102947328;0.00;0.00;0.00;29074;402138;1724848;1608552;101;33;0;0;7516416;103123456;0.00;0.00;0.00;29361;402826;1728748;1611304;101;33;0;0;7403008;103399936;0.00;0.00;0.00;28918;403906;1731296;1615624;101;33;0;0;8327168;104544768;0.00;0.00;0.00;32528;408378;1763624;1633512;134;33;0;0;7839744;103985920;0.00;0.00;0.00;30624;406195;1747276;1624780;134;33;0;0;7352064;102765568;0.00;0.00;0.00;28719;401428;1720588;1605712;134;33;0;0;7807232;102829056;0.00;0.00;0.00;30497;401676;1728692;1606704;134;33;0;0;7460608;103059712;0.00;0.00;0.00;29143;402577;1726880;1610308;134;33;0;0;7408384;103156224;0.00;0.00;0.00;28939;402954;1727572;1611816;134;33;0;0;
1536669998;8779957224;1374057984;6417779456;0.68;0.20;0.21;5367414;25069451;121747460;100277804;16688303;31229300;0;0;7446272;103092224;0.00;0.00;0.00;29087;402704;1727164;1610816;101;33;0;0;7346944;103189248;0.00;0.00;0.00;28699;403083;1727128;1612332;101;33;0;0;7450368;103280384;0.00;0.00;0.00;29103;403439;1730168;1613756;101;33;0;0;7516928;102924800;0.00;0.00;0.00;29363;402050;1725652;1608200;101;33;0;0;7317760;102325248;0.00;0.00;0.00;28585;399708;1713172;1598832;101;33;0;0;8172288;103259648;0.00;0.00;0.00;31923;403358;1741124;1613432;134;33;0;0;7784192;103545088;0.00;0.00;0.00;30407;404473;1739520;1617892;134;33;0;0;7449344;103674624;0.00;0.00;0.00;29099;404979;1736312;1619916;134;33;0;0;7940352;104248576;0.00;0.00;0.00;31017;407221;1752952;1628884;134;33;0;0;7506944;103587840;0.00;0.00;0.00;29324;404640;1735856;1618560;134;33;0;0;7397120;103854592;0.00;0.00;0.00;28895;405682;1738308;1622728;134;33;0;0;
1536670002;8780263678;1372604928;6415545088;0.68;0.20;0.21;5361738;25060723;121689844;100242892;16658114;31200223;0;0;7431424;102101248;0.00;0.00;0.00;29029;398833;1711448;1595332;101;33;0;0;7320832;102203648;0.00;0.00;0.00;28597;399233;1711320;1596932;101;33;0;0;7378688;102268672;0.00;0.00;0.00;28823;399487;1713240;1597948;101;33;0;0;7448064;101700864;0.00;0.00;0.00;29094;397269;1705452;1589076;101;33;0;0;7294976;101520896;0.00;0.00;0.00;28496;396566;1700248;1586264;101;33;0;0;7958784;101416960;0.00;0.00;0.00;31089;396160;1708996;1584640;134;33;0;0;7564288;100638208;0.00;0.00;0.00;29548;393118;1690664;1572472;134;33;0;0;7161856;100410368;0.00;0.00;0.00;27976;392228;1680816;1568912;134;33;0;0;7690752;100989184;0.00;0.00;0.00;30042;394489;1698124;1577956;134;33;0;0;7328768;100591360;0.00;0.00;0.00;28628;392935;1686252;1571740;134;33;0;0;7185664;100514816;0.00;0.00;0.00;28069;392636;1682820;1570544;134;33;0;0;
1536670006;8779822656;2369429760;5649753856;0.72;0.20;0.21;9255585;22069351;125299744;88277404;32848719;27443700;0;0;6642176;91553792;0.00;0.00;0.00;25946;357632;1534312;1430528;101;33;0;0;6072832;84976896;0.00;0.00;0.00;23722;331941;1422652;1327764;101;33;0;0;5646848;78466048;0.00;0.00;0.00;22058;306508;1314264;1226032;101;33;0;0;5332224;72615680;0.00;0.00;0.00;20829;283655;1217936;1134620;101;33;0;0;4710912;65990400;0.00;0.00;0.00;18402;257775;1104708;1031100;101;33;0;0;4738048;59791616;0.00;0.00;0.00;18508;233561;1008276;934244;134;33;0;0;4038912;53265920;0.00;0.00;0.00;15777;208070;895388;832280;134;33;0;0;3338752;46434304;0.00;0.00;0.00;13042;181384;777704;725536;134;33;0;0;3068416;39792640;0.00;0.00;0.00;11986;155440;669704;621760;134;33;0;0;2425344;33018624;0.00;0.00;0.00;9474;128979;553812;515916;134;33;0;0;1881856;26370560;0.00;0.00;0.00;7351;103010;441444;412040;134;33;0;0;
1536670010;8779735554;13284457472;709157888;0.49;0.61;0.66;51892412;2770148;218650240;11080592;101226374;7024640;0;0;7458048;102757632;0.00;0.00;0.00;29133;401397;1722120;1605588;101;33;0;0;7361024;102793984;0.00;0.00;0.00;28754;401539;1721172;1606156;101;33;0;0;7429632;102854912;0.00;0.00;0.00;29022;401777;1723196;1607108;101;33;0;0;7528448;102938368;0.00;0.00;0.00;29408;402103;1726044;1608412;101;33;0;0;7364608;102813952;0.00;0.00;0.00;28768;401617;1721540;1606468;101;33;0;0;8279552;103611392;0.00;0.00;0.00;32342;404732;1748296;1618928;134;33;0;0;7843840;103209216;0.00;0.00;0.00;30640;403161;1735204;1612644;134;33;0;0;7351808;102976256;0.00;0.00;0.00;28718;402251;1723876;1609004;134;33;0;0;7936768;103460608;0.00;0.00;0.00;31003;404143;1740584;1616572;134;33;0;0;7481088;103120896;0.00;0.00;0.00;29223;402816;1728156;1611264;134;33;0;0;7377408;103102720;0.00;0.00;0.00;28818;402745;1726252;1610980;134;33;0;0;
1536670014;8779648732;27925977344;217843968;0.13;0.00;0.00;109085849;850953;439747208;3403812;125734883;652;0;0;7441664;102632960;0.00;0.00;0.00;29069;400910;1719916;1603640;102;33;0;0;7340800;102490624;0.00;0.00;0.00;28675;400354;1716116;1601416;103;33;0;0;7384320;102475520;0.00;0.00;0.00;28845;400295;1716560;1601180;102;33;0;0;7517440;102434304;0.00;0.00;0.00;29365;400134;1717996;1600536;101;33;0;0;7319296;102192896;0.00;0.00;0.00;28591;399191;1711128;1596764;102;33;0;0;8137984;102652160;0.00;0.00;0.00;31789;400985;1731096;1603940;134;33;0;0;7625984;102285824;0.00;0.00;0.00;29789;399554;1717372;1598216;135;33;0;0;7295744;101995264;0.00;0.00;0.00;28499;398419;1707672;1593676;135;33;0;0;7857408;102278912;0.00;0.00;0.00;30693;399527;1720880;1598108;135;33;0;0;7290368;101640960;0.00;0.00;0.00;28478;397035;1702052;1588140;134;33;0;0;7305984;101735168;0.00;0.00;0.00;28539;397403;1703768;1589612;136;33;0;0;
1536670018;8779748480;27931914496;218306816;0.13;0.00;0.00;109109041;852761;439847208;3411044;125772591;340;0;0;7446272;102699776;0.00;0.00;0.00;29087;401171;1721032;1604684;101;33;0;0;7365376;102813952;0.00;0.00;0.00;28771;401617;1721552;1606468;102;33;0;0;7434752;102957056;0.00;0.00;0.00;29042;402176;1724872;1608704;102;33;0;0;7556352;103174400;0.00;0.00;0.00;29517;403025;1730168;1612100;101;33;0;0;7391488;103071744;0.00;0.00;0.00;28873;402624;1725988;1610496;102;33;0;0;8193792;103710720;0.00;0.00;0.00;32007;405120;1748508;1620480;134;33;0;0;7713024;103255296;0.00;0.00;0.00;30129;403341;1733880;1613364;134;33;0;0;7418880;103108864;0.00;0.00;0.00;28980;402769;1726996;1611076;134;33;0;0;7984128;103664640;0.00;0.00;0.00;31188;404940;1744512;1619760;134;33;0;0;7517440;103323904;0.00;0.00;0.00;29365;403609;1731896;1614436;135;33;0;0;7385600;103288064;0.00;0.00;0.00;28850;403469;1729276;1613876;135;33;0;0;
