# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep 11 09:10:42 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536671443;2195097812;1877248;25868288;0.00;0.00;0.00;7333;101048;433524;404192;102;599;0;0;1900800;25749248;0.00;0.00;0.00;7425;100583;432032;402332;102;33;0;0;1833728;25693184;0.00;0.00;0.00;7163;100364;430108;401456;103;33;0;0;2691840;25505024;0.00;0.00;0.00;10515;99629;440576;398516;102;33;0;0;1885696;25668096;0.00;0.00;0.00;7366;100266;430528;401064;102;33;0;0;3610624;26000896;0.00;0.00;0.00;14104;101566;462680;406264;103;33;0;0;1996032;25734400;0.00;0.00;0.00;7797;100525;433288;402100;135;33;0;0;1912320;25480960;0.00;0.00;0.00;7470;99535;428020;398140;135;33;0;0;1812480;25303552;0.00;0.00;0.00;7080;98842;423688;395368;136;33;0;0;1959168;25342720;0.00;0.00;0.00;7653;98995;426592;395980;135;33;0;0;1839360;25207552;0.00;0.00;0.00;7185;98467;422608;393868;135;33;0;0;3561728;25534208;0.00;0.00;0.00;13913;99743;454624;398972;135;33;0;0;
1536671444;2195550684;151326976;667553280;0.65;0.21;0.24;591121;2607630;12795004;10430520;1698580;3309375;0;0;2626048;35628032;0.00;0.00;0.00;10258;139172;597720;556688;101;33;0;0;3169280;44461568;0.00;0.00;0.00;12380;173678;744232;694712;101;33;0;0;5531648;52833024;0.00;0.00;0.00;21608;206379;911948;825516;101;33;0;0;4453120;61014272;0.00;0.00;0.00;17395;238337;1022928;953348;101;33;0;0;9822976;70505728;0.00;0.00;0.00;38371;275413;1255136;1101652;102;33;0;0;6147840;78589440;0.00;0.00;0.00;24015;306990;1324020;1227960;136;33;0;0;6527744;87289600;0.00;0.00;0.00;25499;340975;1465896;1363900;102;33;0;0;6787072;94635776;0.00;0.00;0.00;26512;369671;1584732;1478684;102;33;0;0;7985920;102889728;0.00;0.00;0.00;31195;401913;1732432;1607652;102;33;0;0;7826432;108761344;0.00;0.00;0.00;30572;424849;1821684;1699396;102;33;0;0;16541184;117754624;0.00;0.00;0.00;64614;459979;2098372;1839916;102;33;0;0;
1536671448;8780183324;1417868544;6492710912;0.67;0.18;0.20;5538549;25362152;123602804;101448608;16728188;31013806;0;0;7623936;103524608;0.00;0.00;0.00;29781;404393;1736696;1617572;134;33;0;0;7188224;101456128;0.00;0.00;0.00;28079;396313;1697568;1585252;134;33;0;0;10416384;99065856;0.00;0.00;0.00;40689;386976;1710660;1547904;135;33;0;0;7232000;98697216;0.00;0.00;0.00;28250;385536;1655144;1542144;134;33;0;0;13555712;98585088;0.00;0.00;0.00;52952;385098;1752200;1540392;134;33;0;0;7486720;96204544;0.00;0.00;0.00;29245;375799;1620176;1503196;101;33;0;0;6977280;93621760;0.00;0.00;0.00;27255;365710;1571860;1462840;101;33;0;0;6599168;93035008;0.00;0.00;0.00;25778;363418;1556784;1453672;101;33;0;0;7267072;93304832;0.00;0.00;0.00;28387;364472;1571436;1457888;101;33;0;0;6777600;93522944;0.00;0.00;0.00;26475;365324;1567196;1461296;101;33;0;0;13322240;95246080;0.00;0.00;0.00;52040;372055;1696380;1488220;101;33;0;0;
1536671452;8779650264;1395799040;6430434560;0.67;0.18;0.19;5452340;25118885;122284900;100475540;16479342;30676685;0;0;7574784;103576320;0.00;0.00;0.00;29589;404595;1736736;1618380;134;33;0;0;7366400;103998720;0.00;0.00;0.00;28775;406245;1740080;1624980;134;33;0;0;10911232;103600384;0.00;0.00;0.00;42622;404689;1789244;1618756;134;33;0;0;7617792;104486400;0.00;0.00;0.00;29757;408150;1751628;1632600;134;33;0;0;12165376;104678400;0.00;0.00;0.00;47521;408900;1825684;1635600;134;33;0;0;8233984;104774400;0.00;0.00;0.00;32164;409275;1765756;1637100;101;33;0;0;7868160;105013248;0.00;0.00;0.00;30735;410208;1763772;1640832;101;33;0;0;7501056;105294592;0.00;0.00;0.00;29301;411307;1762432;1645228;101;33;0;0;8188416;105913856;0.00;0.00;0.00;31986;413726;1782848;1654904;101;33;0;0;7661056;105573120;0.00;0.00;0.00;29926;412395;1769284;1649580;101;33;0;0;14834688;107072256;0.00;0.00;0.00;57948;418251;1904796;1673004;101;33;0;0;
1536671456;8779644334;1378585600;6363347712;0.67;0.18;0.19;5385100;24856827;120967708;99427308;16291511;30374085;0;0;7590912;102256384;0.00;0.00;0.00;29652;399439;1716364;1597756;134;33;0;0;7211008;102107648;0.00;0.00;0.00;28168;398858;1708104;1595432;134;33;0;0;11031808;102297088;0.00;0.00;0.00;43093;399598;1770764;1598392;134;33;0;0;7571712;102787072;0.00;0.00;0.00;29577;401512;1724356;1606048;134;33;0;0;7289088;102825984;0.00;0.00;0.00;28473;401664;1720548;1606656;134;33;0;0;8113152;103355136;0.00;0.00;0.00;31692;403731;1741692;1614924;101;33;0;0;7695872;102875904;0.00;0.00;0.00;30062;401859;1727684;1607436;101;33;0;0;7230976;102284288;0.00;0.00;0.00;28246;399548;1711176;1598192;101;33;0;0;7845376;102334464;0.00;0.00;0.00;30646;399744;1721560;1598976;101;33;0;0;7378688;102018816;0.00;0.00;0.00;28823;398511;1709336;1594044;101;33;0;0;14173696;103218176;0.00;0.00;0.00;55366;403196;1834248;1612784;101;33;0;0;
1536671460;8779690626;1402470656;6455126528;0.67;0.18;0.19;5478401;25215338;122774956;100861352;16509394;30707432;0;0;7867392;103571712;0.00;0.00;0.00;30732;404577;1741236;1618308;134;33;0;0;7319552;102954496;0.00;0.00;0.00;28592;402166;1723032;1608664;134;33;0;0;10964736;102500608;0.00;0.00;0.00;42831;400393;1772896;1601572;134;33;0;0;7597824;103673088;0.00;0.00;0.00;29679;404973;1738608;1619892;134;33;0;0;7328768;103294976;0.00;0.00;0.00;28628;403496;1728496;1613984;134;33;0;0;8130048;104290048;0.00;0.00;0.00;31758;407383;1756564;1629532;101;33;0;0;7680512;103837696;0.00;0.00;0.00;30002;405616;1742472;1622464;101;33;0;0;7345920;103747072;0.00;0.00;0.00;28695;405262;1735828;1621048;101;33;0;0;8031488;104266752;0.00;0.00;0.00;31373;407292;1754660;1629168;101;33;0;0;7521280;103609600;0.00;0.00;0.00;29380;404725;1736420;1618900;101;33;0;0;13696256;103851776;0.00;0.00;0.00;53501;405671;1836688;1622684;101;33;0;0;
1536671464;8779669654;1386611200;6394799104;0.67;0.18;0.19;5416450;24979684;121584536;99918736;16360251;30512148;0;0;7800576;102781184;0.00;0.00;0.00;30471;401489;1727840;1605956;134;33;0;0;7249152;102324736;0.00;0.00;0.00;28317;399706;1712092;1598824;134;33;0;0;10779136;101536256;0.00;0.00;0.00;42106;396626;1754928;1586504;134;33;0;0;7428608;101552128;0.00;0.00;0.00;29018;396688;1702824;1586752;134;33;0;0;7220480;100937216;0.00;0.00;0.00;28205;394286;1689964;1577144;134;33;0;0;7915008;101040384;0.00;0.00;0.00;30918;394689;1702428;1578756;101;33;0;0;7515136;100585472;0.00;0.00;0.00;29356;392912;1689072;1571648;101;33;0;0;7116800;100448512;0.00;0.00;0.00;27800;392377;1680708;1569508;101;33;0;0;7865600;100586752;0.00;0.00;0.00;30725;392917;1694568;1571668;101;33;0;0;7201024;100221696;0.00;0.00;0.00;28129;391491;1678480;1565964;101;33;0;0;12369408;99994112;0.00;0.00;0.00;48318;390602;1755680;1562408;101;33;0;0;
1536671468;8779683234;1391814400;6410710528;0.67;0.18;0.19;5436775;25041838;121914452;100167352;16424855;30574716;0;0;7673856;102420736;0.00;0.00;0.00;29976;400081;1720228;1600324;134;33;0;0;7279616;102493440;0.00;0.00;0.00;28436;400365;1715204;1601460;134;33;0;0;11003392;102279680;0.00;0.00;0.00;42982;399530;1770048;1598120;134;33;0;0;7591936;102940928;0.00;0.00;0.00;29656;402113;1727076;1608452;134;33;0;0;7304192;103201280;0.00;0.00;0.00;28532;403130;1726648;1612520;134;33;0;0;8133120;104449792;0.00;0.00;0.00;31770;408007;1759108;1632028;101;33;0;0;7765504;103916800;0.00;0.00;0.00;30334;405925;1745036;1623700;101;33;0;0;7312896;103581952;0.00;0.00;0.00;28566;404617;1732732;1618468;101;33;0;0;8211968;105115136;0.00;0.00;0.00;32078;410606;1770736;1642424;101;33;0;0;7574784;104341248;0.00;0.00;0.00;29589;407583;1748688;1630332;101;33;0;0;12389376;101648640;0.00;0.00;0.00;48396;397065;1781844;1588260;101;33;0;0;
1536671472;8779645190;4252039168;5109409280;0.73;0.18;0.20;16609528;19958630;146272632;79834520;62259821;24441839;0;0;6699776;91581184;0.00;0.00;0.00;26171;357739;1535640;1430956;134;33;0;0;5994496;84474112;0.00;0.00;0.00;23416;329977;1413572;1319908;134;33;0;0;8214784;77177088;0.00;0.00;0.00;32089;301473;1334248;1205892;134;33;0;0;5159424;70472192;0.00;0.00;0.00;20154;275282;1181744;1101128;134;33;0;0;4499200;63405056;0.00;0.00;0.00;17575;247676;1061004;990704;134;33;0;0;4405248;56352256;0.00;0.00;0.00;17208;220126;949336;880504;101;33;0;0;3684864;49339904;0.00;0.00;0.00;14394;192734;828512;770936;101;33;0;0;3004416;42203904;0.00;0.00;0.00;11736;164859;706380;659436;101;33;0;0;2699008;34657024;0.00;0.00;0.00;10543;135379;583688;541516;101;33;0;0;1961216;27438592;0.00;0.00;0.00;7661;107182;459372;428728;101;33;0;0;2763008;22641408;0.00;0.00;0.00;10793;88443;396944;353772;101;33;0;0;
1536671476;8779649090;4631106304;5603665152;0.73;0.21;0.22;18090259;21889317;159918304;87557268;67519762;27567570;0;0;8395520;114949632;0.00;0.00;0.00;32795;449022;1927268;1796088;135;33;0;0;8656128;122045440;0.00;0.00;0.00;33813;476740;2042212;1906960;134;33;0;0;13530880;128260096;0.00;0.00;0.00;52855;501016;2215484;2004064;134;33;0;0;10009856;136168704;0.00;0.00;0.00;39101;531909;2284040;2127636;134;33;0;0;10168576;143029248;0.00;0.00;0.00;39721;558708;2393716;2234832;135;33;0;0;11851264;151043072;0.00;0.00;0.00;46294;590012;2545224;2360048;101;33;0;0;11752960;157311488;0.00;0.00;0.00;45910;614498;2641632;2457992;101;33;0;0;11627520;164103424;0.00;0.00;0.00;45420;641029;2745796;2564116;101;33;0;0;13312256;172020480;0.00;0.00;0.00;52001;671955;2895824;2687820;102;33;0;0;12861952;178391808;0.00;0.00;0.00;50242;696843;2988340;2787372;101;33;0;0;18532096;187118848;0.00;0.00;0.00;72391;730933;3213296;2923732;102;33;0;0;
