Mon Nov 19 20:41:58 2018, sequential_write, DRAM, t, 1, 1492282856
Mon Nov 19 20:42:06 2018, random_write, DRAM, t, 1, 11729057448
Mon Nov 19 20:42:23 2018, backwards_write, DRAM, t, 1, 1404118174
Mon Nov 19 20:42:29 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 2312661102
Mon Nov 19 20:42:29 2018, sequential_write, DRAM, s, 20, 1513436176
Mon Nov 19 20:42:42 2018, random_write, /mnt/pmem0/copy-test, p, 1, 10570103822
Mon Nov 19 20:42:42 2018, random_write, DRAM, s, 20, 12520979442
Mon Nov 19 20:43:06 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 2905067160
Mon Nov 19 20:43:06 2018, backwards_write, DRAM, s, 20, 3493634320
Mon Nov 19 20:43:14 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 2403001724
Mon Nov 19 20:43:14 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 2396117596
Mon Nov 19 20:43:14 2018, sequential_write, DRAM, s, 20, 953200726
Mon Nov 19 20:43:32 2018, random_write, /mnt/pmem0/copy-test, p, 1, 10651761678
Mon Nov 19 20:43:32 2018, random_write, /mnt/pmem0/copy-test, p, 2, 10731192466
Mon Nov 19 20:43:32 2018, random_write, DRAM, s, 20, 12686025414
Mon Nov 19 20:44:00 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 2930022176
Mon Nov 19 20:44:00 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 2745724382
Mon Nov 19 20:44:00 2018, backwards_write, DRAM, s, 20, 3406335102
Mon Nov 19 20:44:15 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 2452369032
Mon Nov 19 20:44:15 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 2444620816
Mon Nov 19 20:44:15 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 2459975066
Mon Nov 19 20:44:15 2018, sequential_write, DRAM, s, 20, 1518332120
Mon Nov 19 20:44:37 2018, random_write, /mnt/pmem0/copy-test, p, 1, 10765725678
Mon Nov 19 20:44:37 2018, random_write, /mnt/pmem0/copy-test, p, 2, 10860108098
Mon Nov 19 20:44:37 2018, random_write, /mnt/pmem0/copy-test, p, 3, 10905534782
Mon Nov 19 20:44:37 2018, random_write, DRAM, s, 20, 13591634498
Mon Nov 19 20:45:10 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 3171243846
Mon Nov 19 20:45:10 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 2743820010
Mon Nov 19 20:45:10 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 2915625646
Mon Nov 19 20:45:10 2018, backwards_write, DRAM, s, 20, 3263140650
Mon Nov 19 20:45:29 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 2548892704
Mon Nov 19 20:45:29 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 2538556040
