Sun Nov 25 10:16:51 2018, sequential_write, DRAM, t, 1, 876083286
Sun Nov 25 10:16:57 2018, random_write, DRAM, t, 1, 9140194756
Sun Nov 25 10:17:15 2018, backwards_write, DRAM, t, 1, 1163350060
Sun Nov 25 10:17:19 2018, sequential_write, DRAM, p, 1, 892818534
Sun Nov 25 10:17:19 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2281307570
Sun Nov 25 10:17:28 2018, random_write, DRAM, p, 1, 8957730378
Sun Nov 25 10:17:28 2018, random_write, /mnt/pmem0/copy-test, s, 23, 10977106672
Sun Nov 25 10:17:51 2018, backwards_write, DRAM, p, 1, 1183901466
Sun Nov 25 10:17:51 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2506819662
Sun Nov 25 10:17:54 2018, sequential_write, DRAM, p, 1, 921017730
Sun Nov 25 10:17:54 2018, sequential_write, DRAM, p, 2, 915183922
Sun Nov 25 10:17:54 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2278149032
Sun Nov 25 10:18:04 2018, random_write, DRAM, p, 1, 8750893862
Sun Nov 25 10:18:04 2018, random_write, DRAM, p, 2, 8840389428
Sun Nov 25 10:18:04 2018, random_write, /mnt/pmem0/copy-test, s, 23, 10993039280
Sun Nov 25 10:18:26 2018, backwards_write, DRAM, p, 1, 1188168572
Sun Nov 25 10:18:26 2018, backwards_write, DRAM, p, 2, 819365866
Sun Nov 25 10:18:26 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2531460594
Sun Nov 25 10:18:30 2018, sequential_write, DRAM, p, 1, 950788712
Sun Nov 25 10:18:30 2018, sequential_write, DRAM, p, 2, 940843112
Sun Nov 25 10:18:30 2018, sequential_write, DRAM, p, 3, 947598410
Sun Nov 25 10:18:30 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2272738206
Sun Nov 25 10:18:40 2018, random_write, DRAM, p, 1, 8831707064
Sun Nov 25 10:18:40 2018, random_write, DRAM, p, 2, 8917327282
Sun Nov 25 10:18:40 2018, random_write, DRAM, p, 3, 8980683976
Sun Nov 25 10:18:40 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11096447132
Sun Nov 25 10:19:03 2018, backwards_write, DRAM, p, 1, 1299834092
Sun Nov 25 10:19:03 2018, backwards_write, DRAM, p, 2, 962887826
Sun Nov 25 10:19:03 2018, backwards_write, DRAM, p, 3, 935689216
Sun Nov 25 10:19:03 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2277518390
Sun Nov 25 10:19:07 2018, sequential_write, DRAM, p, 1, 963091430
Sun Nov 25 10:19:07 2018, sequential_write, DRAM, p, 2, 952151114
Sun Nov 25 10:19:07 2018, sequential_write, DRAM, p, 3, 958591242
Sun Nov 25 10:19:07 2018, sequential_write, DRAM, p, 4, 976294942
Sun Nov 25 10:19:07 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2264418000
Sun Nov 25 10:19:16 2018, random_write, DRAM, p, 1, 8814814078
Sun Nov 25 10:19:16 2018, random_write, DRAM, p, 2, 8900199858
Sun Nov 25 10:19:16 2018, random_write, DRAM, p, 3, 8963380344
Sun Nov 25 10:19:16 2018, random_write, DRAM, p, 4, 9096470726
Sun Nov 25 10:19:16 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11088019638
Sun Nov 25 10:19:39 2018, backwards_write, DRAM, p, 1, 922603088
Sun Nov 25 10:19:39 2018, backwards_write, DRAM, p, 2, 712857440
Sun Nov 25 10:19:39 2018, backwards_write, DRAM, p, 3, 1108919236
Sun Nov 25 10:19:39 2018, backwards_write, DRAM, p, 4, 1398094038
Sun Nov 25 10:19:39 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2337691800
Sun Nov 25 10:19:43 2018, sequential_write, DRAM, p, 1, 979295028
Sun Nov 25 10:19:43 2018, sequential_write, DRAM, p, 2, 961827076
Sun Nov 25 10:19:43 2018, sequential_write, DRAM, p, 3, 969739206
Sun Nov 25 10:19:43 2018, sequential_write, DRAM, p, 4, 979456684
Sun Nov 25 10:19:43 2018, sequential_write, DRAM, p, 5, 994934060
Sun Nov 25 10:19:43 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2269509746
Sun Nov 25 10:19:52 2018, random_write, DRAM, p, 1, 8839718746
Sun Nov 25 10:19:52 2018, random_write, DRAM, p, 2, 8931081292
Sun Nov 25 10:19:52 2018, random_write, DRAM, p, 3, 8982254292
Sun Nov 25 10:19:52 2018, random_write, DRAM, p, 4, 9113227948
Sun Nov 25 10:19:52 2018, random_write, DRAM, p, 5, 9148368836
Sun Nov 25 10:19:52 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11108711902
Sun Nov 25 10:20:15 2018, backwards_write, DRAM, p, 1, 1277542380
Sun Nov 25 10:20:15 2018, backwards_write, DRAM, p, 2, 842368494
Sun Nov 25 10:20:15 2018, backwards_write, DRAM, p, 3, 720489784
Sun Nov 25 10:20:15 2018, backwards_write, DRAM, p, 4, 1452126724
Sun Nov 25 10:20:15 2018, backwards_write, DRAM, p, 5, 732080558
Sun Nov 25 10:20:15 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2444920482
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 1, 984057194
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 2, 968662356
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 3, 975365104
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 4, 996730196
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 5, 1007449374
Sun Nov 25 10:20:19 2018, sequential_write, DRAM, p, 6, 1012325538
Sun Nov 25 10:20:19 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2281732486
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 1, 8858349992
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 2, 8944163590
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 3, 9002320888
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 4, 9132328142
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 5, 9164116564
Sun Nov 25 10:20:29 2018, random_write, DRAM, p, 6, 8956732500
Sun Nov 25 10:20:29 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11113915016
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 1, 730002498
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 2, 1470142858
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 3, 730287932
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 4, 736975946
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 5, 741709092
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 6, 733024714
Sun Nov 25 10:20:51 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2573643484
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 1, 1038305198
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 2, 997248342
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 3, 1013191194
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 4, 1022995204
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 5, 1050823680
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 6, 1028948074
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 7, 1003755578
Sun Nov 25 10:20:56 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2272977128
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 1, 8882358772
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 2, 8972152036
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 3, 9025576494
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 4, 9154595648
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 5, 9187294348
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 6, 8973623482
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 7, 8969648322
Sun Nov 25 10:21:05 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11157389954
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 1, 741524466
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 2, 741126048
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 3, 741669970
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 4, 748713462
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 5, 752279730
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 6, 744522370
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 7, 741657346
Sun Nov 25 10:21:28 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2579852520
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 1, 1045135496
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 2, 1011075026
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 3, 996015202
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 4, 1042871256
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 5, 1066871144
