start test (v6) Wed Apr 3 07:30:43 EDT 2019
Wed Apr  3 07:30:44 2019, sequential_write, DRAM, t, 1, 803729370
Wed Apr  3 07:30:50 2019, random_write, t, DRAM, 1, 9130322766
Wed Apr  3 07:31:08 2019, backwards_write, t, DRAM, 1, 1406515814
Wed Apr  3 07:31:09 2019, sequential_write, s, DRAM, 36, 806574338
Wed Apr  3 07:31:15 2019, random_write, s, DRAM, 36, 9270902682
Wed Apr  3 07:31:34 2019, backwards_write, s, DRAM, 36, 1260014812
Wed Apr  3 07:31:35 2019, sequential_write, s, DRAM, 36, 805130558
Wed Apr  3 07:31:41 2019, random_write, s, DRAM, 36, 9264059752
Wed Apr  3 07:32:01 2019, backwards_write, s, DRAM, 36, 1142114896
Wed Apr  3 07:32:02 2019, sequential_write, s, DRAM, 36, 805783210
Wed Apr  3 07:32:08 2019, random_write, s, DRAM, 36, 9281788634
Wed Apr  3 07:32:27 2019, backwards_write, s, DRAM, 36, 1259006228
Wed Apr  3 07:32:27 2019, sequential_write, s, DRAM, 36, 805300426
Wed Apr  3 07:32:34 2019, random_write, s, DRAM, 36, 9266269448
Wed Apr  3 07:32:52 2019, backwards_write, s, DRAM, 36, 1259217438
Wed Apr  3 07:32:53 2019, sequential_write, s, DRAM, 36, 806020120
Wed Apr  3 07:33:00 2019, random_write, s, DRAM, 36, 9262132004
Wed Apr  3 07:33:18 2019, backwards_write, s, DRAM, 36, 1259084808
Wed Apr  3 07:33:19 2019, sequential_write, s, DRAM, 36, 805234634
Wed Apr  3 07:33:25 2019, random_write, s, DRAM, 36, 9286454648
Wed Apr  3 07:33:44 2019, backwards_write, s, DRAM, 36, 1259867518
Wed Apr  3 07:33:45 2019, sequential_write, s, DRAM, 36, 805320544
Wed Apr  3 07:33:51 2019, random_write, s, DRAM, 36, 9264581112
Wed Apr  3 07:34:10 2019, backwards_write, s, DRAM, 36, 1258330876
Wed Apr  3 07:34:10 2019, sequential_write, s, DRAM, 36, 806033544
Wed Apr  3 07:34:17 2019, random_write, s, DRAM, 36, 9262357974
Wed Apr  3 07:34:35 2019, backwards_write, s, DRAM, 36, 1259358064
Wed Apr  3 07:34:36 2019, sequential_write, s, DRAM, 36, 805052274
Wed Apr  3 07:34:43 2019, random_write, s, DRAM, 36, 9299979644
Wed Apr  3 07:35:01 2019, backwards_write, s, DRAM, 36, 1258789512
Wed Apr  3 07:35:02 2019, sequential_write, s, DRAM, 36, 806039014
Wed Apr  3 07:35:08 2019, random_write, s, DRAM, 36, 9261681050
Wed Apr  3 07:35:27 2019, backwards_write, s, DRAM, 36, 1258162578
Wed Apr  3 07:35:28 2019, sequential_write, s, DRAM, 36, 805226890
Wed Apr  3 07:35:34 2019, random_write, s, DRAM, 36, 9266098266
Wed Apr  3 07:35:53 2019, backwards_write, s, DRAM, 36, 1258317904
Wed Apr  3 07:35:53 2019, sequential_write, s, DRAM, 36, 806029264
Wed Apr  3 07:36:00 2019, random_write, s, DRAM, 36, 9259263892
Wed Apr  3 07:36:18 2019, backwards_write, s, DRAM, 36, 1259577010
Wed Apr  3 07:36:19 2019, sequential_write, s, DRAM, 36, 805619810
Wed Apr  3 07:36:26 2019, random_write, s, DRAM, 36, 9292824022
Wed Apr  3 07:36:44 2019, backwards_write, s, DRAM, 36, 1258606592
Wed Apr  3 07:36:45 2019, sequential_write, s, DRAM, 36, 805171488
Wed Apr  3 07:36:51 2019, random_write, s, DRAM, 36, 9300158310
Wed Apr  3 07:37:10 2019, backwards_write, s, DRAM, 36, 1259416996
Wed Apr  3 07:37:11 2019, sequential_write, s, DRAM, 36, 806219112
Wed Apr  3 07:37:17 2019, random_write, s, DRAM, 36, 9305412702
Wed Apr  3 07:37:36 2019, backwards_write, s, DRAM, 36, 1258782774
Wed Apr  3 07:37:36 2019, sequential_write, s, DRAM, 36, 805239136
Wed Apr  3 07:37:43 2019, random_write, s, DRAM, 36, 9258921126
Wed Apr  3 07:38:01 2019, backwards_write, s, DRAM, 36, 1257687388
Wed Apr  3 07:38:02 2019, sequential_write, s, DRAM, 36, 805364098
Wed Apr  3 07:38:09 2019, random_write, s, DRAM, 36, 9277303900
Wed Apr  3 07:38:27 2019, backwards_write, s, DRAM, 36, 1259835128
Wed Apr  3 07:38:28 2019, sequential_write, s, DRAM, 36, 805426108
Wed Apr  3 07:38:34 2019, random_write, s, DRAM, 36, 9263350048
Wed Apr  3 07:38:53 2019, backwards_write, s, DRAM, 36, 1259572752
Wed Apr  3 07:38:54 2019, sequential_write, s, DRAM, 36, 805572968
Wed Apr  3 07:39:00 2019, random_write, s, DRAM, 36, 9279316660
Wed Apr  3 07:39:19 2019, backwards_write, s, DRAM, 36, 1258785674
Wed Apr  3 07:39:19 2019, sequential_write, s, DRAM, 36, 805332618
Wed Apr  3 07:39:26 2019, random_write, s, DRAM, 36, 9264423918
Wed Apr  3 07:39:44 2019, backwards_write, s, DRAM, 36, 1257940250
Wed Apr  3 07:39:45 2019, sequential_write, s, DRAM, 2, 803367870
Wed Apr  3 07:39:52 2019, random_write, s, DRAM, 2, 9226878720
Wed Apr  3 07:40:10 2019, backwards_write, s, DRAM, 2, 1383883364
Wed Apr  3 07:40:11 2019, sequential_write, s, DRAM, 2, 802644742
Wed Apr  3 07:40:17 2019, random_write, s, DRAM, 2, 9233495916
Wed Apr  3 07:40:36 2019, backwards_write, s, DRAM, 2, 1379566932
Wed Apr  3 07:40:37 2019, sequential_write, s, DRAM, 2, 803482712
Wed Apr  3 07:40:43 2019, random_write, s, DRAM, 2, 9228299320
Wed Apr  3 07:41:02 2019, backwards_write, s, DRAM, 2, 1381929340
Wed Apr  3 07:41:03 2019, sequential_write, s, DRAM, 2, 802701222
Wed Apr  3 07:41:09 2019, random_write, s, DRAM, 2, 9225710596
Wed Apr  3 07:41:28 2019, backwards_write, s, DRAM, 2, 1379382142
Wed Apr  3 07:41:28 2019, sequential_write, s, DRAM, 2, 802673860
Wed Apr  3 07:41:35 2019, random_write, s, DRAM, 2, 9230678624
Wed Apr  3 07:41:53 2019, backwards_write, s, DRAM, 2, 1380694300
Wed Apr  3 07:41:54 2019, sequential_write, s, DRAM, 2, 803554930
Wed Apr  3 07:42:01 2019, random_write, s, DRAM, 2, 9226978650
Wed Apr  3 07:42:19 2019, backwards_write, s, DRAM, 2, 1380258884
Wed Apr  3 07:42:20 2019, sequential_write, s, DRAM, 2, 802614382
Wed Apr  3 07:42:27 2019, random_write, s, DRAM, 2, 9230075914
Wed Apr  3 07:42:45 2019, backwards_write, s, DRAM, 2, 1384965146
Wed Apr  3 07:42:46 2019, sequential_write, s, DRAM, 2, 803932050
Wed Apr  3 07:42:52 2019, random_write, s, DRAM, 2, 9232942198
Wed Apr  3 07:43:11 2019, backwards_write, s, DRAM, 2, 1381215324
Wed Apr  3 07:43:12 2019, sequential_write, s, DRAM, 2, 802963044
Wed Apr  3 07:43:18 2019, random_write, s, DRAM, 2, 9227835952
Wed Apr  3 07:43:37 2019, backwards_write, s, DRAM, 2, 1381260368
Wed Apr  3 07:43:38 2019, sequential_write, s, DRAM, 2, 802993818
Wed Apr  3 07:43:44 2019, random_write, s, DRAM, 2, 9230133154
Wed Apr  3 07:44:03 2019, backwards_write, s, DRAM, 2, 1386039108
Wed Apr  3 07:44:03 2019, sequential_write, s, DRAM, 2, 802457702
Wed Apr  3 07:44:10 2019, random_write, s, DRAM, 2, 9230232586
Wed Apr  3 07:44:28 2019, backwards_write, s, DRAM, 2, 1383726388
Wed Apr  3 07:44:29 2019, sequential_write, s, DRAM, 2, 802548298
Wed Apr  3 07:44:36 2019, random_write, s, DRAM, 2, 9228438358
Wed Apr  3 07:44:54 2019, backwards_write, s, DRAM, 2, 1379427426
Wed Apr  3 07:44:55 2019, sequential_write, s, DRAM, 2, 804225344
Wed Apr  3 07:45:01 2019, random_write, s, DRAM, 2, 9240368868
Wed Apr  3 07:45:20 2019, backwards_write, s, DRAM, 2, 1389554426
Wed Apr  3 07:45:21 2019, sequential_write, s, DRAM, 2, 802768700
Wed Apr  3 07:45:27 2019, random_write, s, DRAM, 2, 9227920128
Wed Apr  3 07:45:46 2019, backwards_write, s, DRAM, 2, 1359184578
Wed Apr  3 07:45:47 2019, sequential_write, s, DRAM, 2, 802836010
Wed Apr  3 07:45:53 2019, random_write, s, DRAM, 2, 9233090872
Wed Apr  3 07:46:12 2019, backwards_write, s, DRAM, 2, 1380930582
Wed Apr  3 07:46:12 2019, sequential_write, s, DRAM, 2, 802903010
Wed Apr  3 07:46:19 2019, random_write, s, DRAM, 2, 9231630270
Wed Apr  3 07:46:37 2019, backwards_write, s, DRAM, 2, 1379878802
Wed Apr  3 07:46:38 2019, sequential_write, s, DRAM, 2, 803870434
Wed Apr  3 07:46:45 2019, random_write, s, DRAM, 2, 9232130256
Wed Apr  3 07:47:03 2019, backwards_write, s, DRAM, 2, 1383721408
Wed Apr  3 07:47:04 2019, sequential_write, s, DRAM, 2, 803032882
Wed Apr  3 07:47:11 2019, random_write, s, DRAM, 2, 9230215540
Wed Apr  3 07:47:29 2019, backwards_write, s, DRAM, 2, 1383855730
Wed Apr  3 07:47:30 2019, sequential_write, s, DRAM, 2, 803431292
Wed Apr  3 07:47:36 2019, random_write, s, DRAM, 2, 9233318182
Wed Apr  3 07:47:55 2019, backwards_write, s, DRAM, 2, 1385155718
Wed Apr  3 07:47:56 2019, sequential_write, s, DRAM, 2, 803057492
